domain,subject,baseline_component_count,filtered_component_count,baseline_detached_fp_count,filtered_detached_fp_count,baseline_detached_fp_voxels,filtered_detached_fp_voxels,removed_component_count,removed_component_voxels,largest_removed_component_voxels,largest_removed_centroid_i,largest_removed_centroid_j,largest_removed_centroid_k,removed_expert_overlap_voxels,largest_removed_expert_overlap_voxels,baseline_prediction_path,filtered_prediction_path
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_6_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_6_prediction.nii.gz
Mouse,POLYIC_20190531_polyic_m__E3_P1_7,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_7_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_7_prediction.nii.gz
Mouse,POLYIC_20190531_polyic_m__E3_P1_8,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_8_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_8_prediction.nii.gz
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,2,1,1,0,12,0,1,12,12,90.5,68.0,26.0,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E3_P1_9_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E3_P1_9_prediction.nii.gz
Mouse,POLYIC_20190531_polyic_m__E5_P1_11,2,1,1,0,7,0,1,7,7,20.714285714285715,111.57142857142857,15.0,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190531_polyic_m__E5_P1_11_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190531_polyic_m__E5_P1_11_prediction.nii.gz
Mouse,POLYIC_20190612_polyic___E10_P1_1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190612_polyic___E10_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190612_polyic___E10_P1_1_prediction.nii.gz
Mouse,POLYIC_20190612_polyic___E12_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190612_polyic___E12_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190612_polyic___E12_P1_prediction.nii.gz
Mouse,POLYIC_20190612_polyic___E3_P1,2,1,1,0,19,0,1,19,19,117.05263157894737,87.47368421052632,9.68421052631579,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190612_polyic___E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190612_polyic___E3_P1_prediction.nii.gz
Mouse,POLYIC_20190612_polyic___E3_P1_1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190612_polyic___E3_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190612_polyic___E3_P1_1_prediction.nii.gz
Mouse,POLYIC_20190612_polyic___E3_P1_2,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190612_polyic___E3_P1_2_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190612_polyic___E3_P1_2_prediction.nii.gz
Mouse,POLYIC_20190612_polyic___E3_P1_3,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190612_polyic___E3_P1_3_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190612_polyic___E3_P1_3_prediction.nii.gz
Mouse,POLYIC_20190612_polyic___E3_P1_4,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190612_polyic___E3_P1_4_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190612_polyic___E3_P1_4_prediction.nii.gz
Mouse,POLYIC_20190614_polyic___E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190614_polyic___E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190614_polyic___E3_P1_prediction.nii.gz
Mouse,POLYIC_20190614_polyic___E3_P1_1,3,1,2,0,143,0,2,143,121,88.62809917355372,74.94214876033058,22.421487603305785,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190614_polyic___E3_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190614_polyic___E3_P1_1_prediction.nii.gz
Mouse,POLYIC_20190614_polyic___E3_P1_3,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190614_polyic___E3_P1_3_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190614_polyic___E3_P1_3_prediction.nii.gz
Mouse,POLYIC_20190614_polyic___E3_P1_4,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190614_polyic___E3_P1_4_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190614_polyic___E3_P1_4_prediction.nii.gz
Mouse,POLYIC_20190614_polyic___E3_P1_5,5,1,4,0,441,0,4,441,393,98.44783715012723,89.69211195928753,36.089058524173026,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190614_polyic___E3_P1_5_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190614_polyic___E3_P1_5_prediction.nii.gz
Mouse,POLYIC_20190614_polyic___E3_P1_6,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190614_polyic___E3_P1_6_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190614_polyic___E3_P1_6_prediction.nii.gz
Mouse,POLYIC_20190614_polyic___E4_P1_5,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190614_polyic___E4_P1_5_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190614_polyic___E4_P1_5_prediction.nii.gz
Mouse,POLYIC_20190618_mouse33__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190618_mouse33__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190618_mouse33__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190618_mouse34__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190618_mouse34__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190618_mouse34__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190618_mouse35__E3_P1,2,1,1,0,552,0,1,552,552,95.19202898550725,28.452898550724637,11.701086956521738,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190618_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190618_mouse35__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190618_mouse36__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190618_mouse36__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190618_mouse36__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190619_mouse38__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190619_mouse38__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190619_mouse38__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190619_mouse39__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190619_mouse39__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190619_mouse39__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190619_mouse42__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190619_mouse42__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190619_mouse42__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190619_mouse43__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190619_mouse43__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190619_mouse43__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190628_mouse33__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190628_mouse33__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190628_mouse33__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190628_mouse34__E6_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190628_mouse34__E6_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190628_mouse34__E6_P1_prediction.nii.gz
Mouse,POLYIC_20190628_mouse35__E3_P1,2,1,1,0,3,0,1,3,3,42.0,168.0,0.0,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190628_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190628_mouse35__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190628_mouse36__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190628_mouse36__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190628_mouse36__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190629_polyic_mo__E3_P1,2,1,1,0,14,0,1,14,14,124.28571428571429,97.64285714285714,9.357142857142858,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190629_polyic_mo__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190629_polyic_mo__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190629_polyic_mo__E3_P1_1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190629_polyic_mo__E3_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190629_polyic_mo__E3_P1_1_prediction.nii.gz
Mouse,POLYIC_20190629_polyic_mo__E3_P1_2,2,1,1,0,6,0,1,6,6,23.5,108.0,13.0,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190629_polyic_mo__E3_P1_2_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190629_polyic_mo__E3_P1_2_prediction.nii.gz
Mouse,POLYIC_20190629_polyic_mo__E3_P1_3,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190629_polyic_mo__E3_P1_3_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190629_polyic_mo__E3_P1_3_prediction.nii.gz
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190629_polyic_mo__E3_P1_5_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190629_polyic_mo__E3_P1_5_prediction.nii.gz
Mouse,POLYIC_20190629_polyic_mo__E4_P1_2,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190629_polyic_mo__E4_P1_2_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190629_polyic_mo__E4_P1_2_prediction.nii.gz
Mouse,POLYIC_20190629_polyic_mo__E4_P1_4,2,1,1,0,25,0,1,25,25,79.08,59.6,27.04,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190629_polyic_mo__E4_P1_4_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190629_polyic_mo__E4_P1_4_prediction.nii.gz
