domain,condition,subjects,embedding_dim,level0_width,dice,iou,precision,recall,hd95_mm,assd_mm,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm
CAMRI,baseline_filtered,6,48,48,0.9888344176413911,0.9779172456549725,0.9889227454633153,0.9887613427188362,0.13333333532015482,0.01781695212227931,0.894310994258483,0.9390374271781865,0.9992841762771719,1.0
CAMRI,sweep_filtered,6,48,48,0.9888941794747023,0.9780332369177395,0.9877845544824586,0.9900159534200798,0.13333333532015482,0.018728685943251642,0.8952903197513379,0.9389389073751254,0.9982040969062291,1.0
Mouse,baseline_filtered,80,48,48,0.9795373497258911,0.9599207936327362,0.9782745726101927,0.980839538566092,0.11505781976442339,0.026014212537706204,0.7986276158155088,0.9709883677088044,0.9992037904031532,0.9999015882048887
Mouse,sweep_filtered,80,48,48,0.9798891877911531,0.9606117038192981,0.9791785184634929,0.9806486143989414,0.11857685322866499,0.025965948785614014,0.8065058752811408,0.9709506282853031,0.9982592676558888,0.9997238091219858
