slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.35773557071731515,0.21783067594879857,3483,0,3483,970,first 20%,True,True
1,0.43209876543209874,0.2755905511811024,4784,0,4784,1820,first 20%,True,True
2,0.7421953675730111,0.5900720576461169,2560,0,2560,3685,first 20%,True,True
3,0.8529636873883834,0.7436239620403321,1706,23,1729,5038,first 20%,True,True
4,0.8863778054862843,0.7959412176347096,1410,48,1458,5735,first 20%,True,True
5,0.9115325020290711,0.8374457700650759,1110,89,1199,6266,first 20%,True,True
6,0.9052901023890785,0.8269680436477007,1252,80,1332,6446,first 20%,True,True
7,0.890616167326173,0.8028025477707006,1491,57,1548,6359,first 20%,True,True
8,0.9033462205039328,0.8237296377340141,1103,347,1450,7123,first 20%,True,True
9,0.887302926101343,0.7974344023323615,1302,435,1737,7273,middle 60%,True,True
10,0.878702570379437,0.7836480733544373,1552,430,1982,7609,middle 60%,True,True
11,0.9293653639297239,0.8680509042196919,934,248,1182,8024,middle 60%,True,True
12,0.9398300283286118,0.8864899529713552,926,136,1062,8430,middle 60%,True,True
13,0.9418103448275862,0.890020366598778,932,148,1080,8888,middle 60%,True,True
14,0.9443004496165036,0.8944784046497645,958,95,1053,9021,middle 60%,True,True
15,0.9571253572886893,0.9177760375880971,568,272,840,9648,middle 60%,True,True
16,0.9579359502058026,0.9192678227360308,629,209,838,9751,middle 60%,True,True
17,0.9637638807714787,0.9300620417371687,539,205,744,10099,middle 60%,True,True
18,0.9629524619601172,0.9285519001184727,622,162,784,10351,middle 60%,True,True
19,0.9446599186453505,0.895123700250986,997,173,1170,10159,middle 60%,True,True
20,0.956473110261907,0.9165773490532333,777,157,934,10419,middle 60%,True,True
21,0.9597939092832827,0.9226959136741553,782,92,874,10524,middle 60%,True,True
22,0.9519779208831647,0.9083567415730337,971,73,1044,10421,middle 60%,True,True
23,0.9540794832186491,0.9121911922663802,932,49,981,10240,middle 60%,True,True
24,0.9631887456037515,0.9289914066033469,697,88,785,10358,middle 60%,True,True
25,0.9595998460946518,0.9223372781065089,774,66,840,10042,middle 60%,True,True
26,0.9580154550376532,0.9194142654700047,780,73,853,9805,middle 60%,True,True
27,0.9554726240989725,0.9147415818324197,805,66,871,9411,middle 60%,True,True
28,0.9567325428194994,0.9170539502929885,735,86,821,9163,middle 60%,True,True
29,0.948826939000828,0.9026362777019221,859,68,927,8662,middle 60%,True,True
30,0.9412793748906642,0.8890724829257546,937,70,1007,8141,middle 60%,True,True
31,0.9486064318529862,0.9022372407364251,812,27,839,7770,middle 60%,True,True
32,0.9474375821287779,0.9001248439450686,754,46,800,7256,middle 60%,True,True
33,0.945930802633422,0.8974086378737541,727,45,772,6798,middle 60%,True,True
34,0.9488793368130181,0.9027311231196145,635,31,666,6212,last 20%,True,True
35,0.9473778254266059,0.9000169750466814,476,113,589,5415,last 20%,True,True
36,0.9112635538836026,0.8369918699186992,729,73,802,4191,last 20%,True,True
37,0.890535621424857,0.8026716662760722,772,70,842,3495,last 20%,True,True
38,0.8481764206955047,0.7363770250368189,886,9,895,2509,last 20%,True,True
39,0.7955729166666666,0.6605405405405406,942,0,942,1833,last 20%,True,True
40,0.8547189819724285,0.7462962962962963,684,1,685,2016,last 20%,True,True
41,0.8270972823946435,0.7051712558764271,878,0,878,2100,last 20%,True,True
42,0.8231418571134446,0.6994401679496152,855,4,859,2003,last 20%,True,True
