level,metric,camri_mean,mouse_mean,mouse_minus_camri,mannwhitney_u,p_value
level4,entropy,0.9999987692625295,0.9999988032198361,3.39573066332477e-08,180.0,0.5978625674290079
level4,sparsity_above_uniform,0.36890625,0.38507812500000005,0.016171875000000058,104.0,0.009707584282475581
level4,spread,4.3279132352976095,4.327720046749557,-0.00019318854805217,322.0,0.0010140986852160438
level4,attended_voxels_above_10pct_peak,640.0,640.0,0.0,200.0,1.0
level4,feature_norm,6.1410850286483765,6.14614782333374,0.005062794685363414,152.0,0.19883449020829447
level3,entropy,0.9977267754419306,0.9966536577628716,-0.0010731176790589325,400.0,6.795615128173357e-08
level3,sparsity_above_uniform,0.518828125,0.5180859375,-0.0007421874999999911,193.5,0.8710212112382282
level3,spread,8.559336870120244,8.643698932667728,0.08436206254748413,0.0,6.795615128173357e-08
level3,attended_voxels_above_10pct_peak,5120.0,5120.0,0.0,200.0,1.0
level3,feature_norm,3.145692217350006,3.218327796459198,0.07263557910919216,111.0,0.01666879882427546
level2,entropy,0.9992379666109248,0.9993613187351069,0.00012335212418213004,3.0,1.0645689837502491e-07
level2,sparsity_above_uniform,0.31795166015625,0.339654541015625,0.021702880859374996,27.5,3.2740451601710984e-06
level2,spread,17.260703983480504,17.338848983848237,0.07814500036773353,0.0,6.795615128173357e-08
level2,attended_voxels_above_10pct_peak,40960.0,40960.0,0.0,200.0,1.0
level2,feature_norm,3.1541457414627074,3.245463991165161,0.09131824970245361,18.0,9.126646630193907e-07
level1,entropy,0.9964527131741482,0.994319875393162,-0.002132837780986163,400.0,6.795615128173357e-08
level1,sparsity_above_uniform,0.25358566284179684,0.2542056274414063,0.0006199645996094461,201.0,0.9892089047911196
level1,spread,33.75857593668458,33.45977851959377,-0.2987974170908103,396.0,1.2346350154956706e-07
level1,attended_voxels_above_10pct_peak,290867.95,24662.65,-266205.3,398.0,7.755831018895295e-08
level1,feature_norm,3.249193263053894,3.1150375485420225,-0.1341557145118717,394.0,1.657079293385879e-07
