domain,subject,level,entropy,sparsity_above_uniform,centroid_x,centroid_y,centroid_z,spread,attended_voxels_above_10pct_peak,feature_norm
CAMRI,108,level4,0.9999990004806788,0.390625,3.50119342679338,3.5002652747814107,4.4992950581879825,4.3280085191081445,640.0,6.203295707702637
CAMRI,108,level3,0.9975785915700656,0.52890625,7.621726318986891,7.3497731275668325,9.432553748554003,8.547270437184514,5120.0,3.310171604156494
CAMRI,108,level2,0.9992728535475196,0.3243408203125,15.604765941249278,15.436702609701328,19.639918335060777,17.280268388289763,40960.0,3.230079174041748
CAMRI,108,level1,0.9973078149440797,0.284283447265625,31.560228146616762,31.32217928100519,39.44048689198066,33.982974782617546,327680.0,3.3734641075134277
CAMRI,075,level4,0.9999989585184466,0.3796875,3.5009423146877645,3.500709474846352,4.498569228505939,4.328034226063717,640.0,6.246627330780029
CAMRI,075,level3,0.9976327332880812,0.5083984375,7.603635584088168,7.3632957308660885,9.471471195819309,8.537378547419427,5120.0,3.2473320960998535
CAMRI,075,level2,0.9992658193259337,0.32587890625,15.666650266655495,15.508541014502015,19.636723613861562,17.257227448137403,40960.0,3.1900806427001953
CAMRI,075,level1,0.9973904963970849,0.2788543701171875,31.63861504490648,31.338673730334904,39.377192556043084,33.91429504864764,327680.0,3.3209388256073
CAMRI,111,level4,0.9999990128304691,0.3734375,3.5013863100680394,3.500465380253244,4.499636041937656,4.3279658665480305,640.0,6.202149868011475
CAMRI,111,level3,0.9977113057602298,0.5205078125,7.57277961637733,7.3535903492805605,9.445838386205047,8.551141874745557,5120.0,3.297287702560425
CAMRI,111,level2,0.9992686092958054,0.3256591796875,15.60896431730405,15.467376600566425,19.605820723992927,17.27764331792668,40960.0,3.2232184410095215
CAMRI,111,level1,0.9974246061207298,0.283111572265625,31.533484972193524,31.359327106648767,39.53284558046841,33.94054855791671,327680.0,3.3575210571289062
CAMRI,051,level4,0.9999990406614764,0.3953125,3.5012024047244426,3.5000069840458137,4.498798640335845,4.328093861963665,640.0,6.192190647125244
CAMRI,051,level3,0.9978743133745888,0.51875,7.563532368805291,7.352993552326095,9.446070279984097,8.550467864029228,5120.0,3.1897048950195312
CAMRI,051,level2,0.9992187620036124,0.3162841796875,15.68523628549115,15.457317742601022,19.653004457433767,17.268591200825018,40960.0,3.168274402618408
CAMRI,051,level1,0.9972437218321077,0.2767913818359375,31.616294194445445,31.32358628040177,39.439066149406855,33.86975773103331,327680.0,3.336148738861084
CAMRI,110,level4,0.9999990498570592,0.396875,3.50096856270385,3.5003473080484055,4.499032796095749,4.328042329719768,640.0,6.189981937408447
CAMRI,110,level3,0.997640139373737,0.5177734375,7.561212073907138,7.345519335316752,9.447889897423295,8.558021054808552,5120.0,3.3063995838165283
CAMRI,110,level2,0.9992728950509837,0.3224609375,15.637928793534382,15.464527664825752,19.62479734660486,17.293694524157416,40960.0,3.223531723022461
CAMRI,110,level1,0.9973586065674407,0.2887298583984375,31.527439334552355,31.428216104245067,39.41466664562664,33.96560390918068,327680.0,3.36775279045105
CAMRI,074,level4,0.9999991660142621,0.3765625,3.499680667955157,3.499689660689123,4.499081451777597,4.328159631849958,640.0,6.189827919006348
CAMRI,074,level3,0.9975845930642082,0.518359375,7.489216467200288,7.243591871205674,9.387375756286179,8.539810690820397,5120.0,3.1847949028015137
CAMRI,074,level2,0.999324965493145,0.3226806640625,15.49054630399739,15.645478821170252,19.662826300947913,17.27172291490447,40960.0,3.1296982765197754
CAMRI,074,level1,0.9972007177694432,0.263568115234375,31.07261913256379,31.581984568467753,39.4919992612689,33.88315914000848,327680.0,3.313781261444092
CAMRI,015,level4,0.9999984274330431,0.3546875,3.5005634962867314,3.5000376236256017,4.499488062776029,4.327743377648891,640.0,6.100733280181885
CAMRI,015,level3,0.9976263127259339,0.51875,7.560193264565932,7.214702556705507,9.493037529866895,8.558574012585908,5120.0,3.084101438522339
CAMRI,015,level2,0.9992565831210956,0.31748046875,15.540972204430409,15.468638302483651,19.609251935087133,17.25760722825663,40960.0,3.1391053199768066
CAMRI,015,level1,0.9957802035982686,0.235546875,31.19862120915228,31.576828678462594,39.26057003704239,33.67081786208886,286581.0,3.176525592803955
CAMRI,106,level4,0.9999990501376763,0.38125,3.5009064738670306,3.5001180124776994,4.499466419529707,4.327989245791195,640.0,6.130265712738037
CAMRI,106,level3,0.9978441147631193,0.5455078125,7.554462781873852,7.3200532026102145,9.451812941730717,8.587925121270567,5120.0,3.224921464920044
CAMRI,106,level2,0.9992739915661424,0.3149658203125,15.6205547248028,15.471071828743817,19.633343977329723,17.274057830045145,40960.0,3.194704055786133
CAMRI,106,level1,0.9972162647086955,0.2808929443359375,31.555676333676892,31.340732087876034,39.49985311683933,33.91022283630385,327680.0,3.32319712638855
CAMRI,058,level4,0.999999115632894,0.390625,3.5009876791357333,3.4999806279079744,4.498738281170132,4.328109382553261,640.0,6.142994403839111
CAMRI,058,level3,0.9979928793083851,0.5330078125,7.495181184106397,7.329757303410476,9.440540080160062,8.584249360118415,5120.0,3.158989906311035
CAMRI,058,level2,0.9991547395547199,0.3062744140625,15.782788076879022,15.462172980285548,19.655691205562633,17.26047071653114,40960.0,3.182090997695923
CAMRI,058,level1,0.9972038342088252,0.2793975830078125,31.722360294053303,31.267305927674126,39.365768945537994,33.90591071768407,327680.0,3.3240134716033936
CAMRI,062,level4,0.9999991057189664,0.409375,3.5007650588920782,3.5002459050866213,4.498639350278744,4.328084361918145,640.0,6.260163307189941
CAMRI,062,level3,0.9978101383592946,0.502734375,7.552112694697443,7.380447157481416,9.435651191857637,8.536396916753274,5120.0,3.2545268535614014
CAMRI,062,level2,0.9992128490628581,0.328759765625,15.642311014313732,15.486958774532457,19.569236960123714,17.253773073821904,40960.0,3.2130463123321533
CAMRI,062,level1,0.9974849241874933,0.2861968994140625,31.535982956693207,31.314335835638314,39.28651199664929,33.94535389097128,327680.0,3.3348488807678223
CAMRI,121,level4,0.999998383784232,0.3453125,3.5007873795295907,3.4999248696822787,4.499732293473347,4.3276098922598365,640.0,6.084656238555908
CAMRI,121,level3,0.9977070135018395,0.51328125,7.570674189893334,7.2227983139730885,9.495884522410186,8.565956206060331,5120.0,3.0218920707702637
CAMRI,121,level2,0.9992103479185968,0.3056640625,15.574764520667753,15.463651653081733,19.654878218069367,17.260723351817557,40960.0,3.08465576171875
CAMRI,121,level1,0.9957502471143996,0.23232421875,31.283523894360215,31.58833418538425,39.443808708066086,33.553174328760655,196583.0,3.161564350128174
CAMRI,041,level4,0.9999985227937674,0.3390625,3.499951333390592,3.500255848043132,4.499693361349957,4.327926057542028,640.0,6.106410503387451
CAMRI,041,level3,0.9978182856183645,0.523046875,7.607267352498212,7.2197799954510975,9.500922552683313,8.556442092076217,5120.0,3.1331608295440674
CAMRI,041,level2,0.9992590114752192,0.32412109375,15.365527783669009,15.48533378437898,19.674816808731457,17.265430606023113,40960.0,3.165245532989502
CAMRI,041,level1,0.9957628099266731,0.2252593994140625,30.81480203114586,31.569921552432294,39.47267844419781,33.68640710844652,222959.0,3.2060890197753906
CAMRI,013,level4,0.9999986475058288,0.3453125,3.500452614860185,3.5001673606476285,4.499774788038098,4.32792157430509,640.0,6.086379051208496
CAMRI,013,level3,0.9978087713515784,0.5296875,7.581829482754055,7.222214020924969,9.483546142212687,8.561399450918943,5120.0,3.06196928024292
