domain,subject,level,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
CAMRI,108,level4,0.32010167837142944,0.32201796770095825,-0.16654576361179352,-1.1720359325408936,-0.32366853952407837,1.7878586053848267,-0.32383784651756287,0.3392985463142395,-0.9993855357170105,1.3052170276641846,-0.6454504728317261,0.5006956458091736,0.6002460718154907,1.002213716506958,0.9903095364570618,-1.0897839069366455,0.6395389437675476,1.4009130001068115,-0.29118189215660095,1.9329475164413452,-1.5843801498413086,1.1259292364120483,0.10675309598445892,2.581529140472412,0.6164916753768921,-0.12374691665172577,-0.8731252551078796,0.7617858052253723,-0.5037468075752258,0.49508237838745117,1.1932933330535889,0.969678521156311
CAMRI,108,level3,0.22381988167762756,0.2700827717781067,0.27169281244277954,0.2878161072731018,0.2806682884693146,0.26458126306533813,0.2537567615509033,0.2802102565765381,0.23497934639453888,0.2629850506782532,0.2598559260368347,0.27313390374183655,0.2492106705904007,0.2805509567260742,0.29143527150154114,0.27338534593582153,0.2338055670261383,0.27242937684059143,0.2451145201921463,0.2540191411972046,0.27828508615493774,0.25652700662612915,0.23258033394813538,0.25682342052459717,0.24299678206443787,0.2778131365776062,0.223537877202034,0.2579205632209778,0.2361028492450714,0.23994669318199158,0.28537797927856445,0.2666785418987274
CAMRI,108,level2,0.22145137190818787,0.21998023986816406,0.26695364713668823,0.2853162884712219,0.261387437582016,0.2054465264081955,0.1927933394908905,0.3138664662837982,0.2581939101219177,0.2491021454334259,0.2664490044116974,0.26181522011756897,0.26658856868743896,0.261615514755249,0.2733517289161682,0.25738367438316345,0.26372450590133667,0.2710888981819153,0.21170106530189514,0.29856008291244507,0.24008002877235413,0.2605878412723541,0.23173074424266815,0.27194714546203613,0.24887900054454803,0.24236731231212616,0.23770971596240997,0.22219033539295197,0.25668010115623474,0.2501886785030365,0.24437204003334045,0.27643266320228577
CAMRI,108,level1,0.2563173174858093,0.2818049192428589,0.2782420217990875,0.2770029604434967,0.23900918662548065,0.1945694088935852,0.2797143757343292,0.27961623668670654,0.2370413839817047,0.23792973160743713,0.26613616943359375,0.2886418402194977,0.2968940734863281,0.2074218988418579,0.2653373181819916,0.3047507405281067,0.27678370475769043,0.2773032784461975,0.27689799666404724,0.29520300030708313,0.25490978360176086,0.19304755330085754,0.23686377704143524,0.3160508871078491,0.28703027963638306,0.3052709698677063,0.28685712814331055,0.2927284240722656,0.2842227518558502,0.2863426208496094,0.1852334439754486,0.3108294606208801
CAMRI,075,level4,0.3120594620704651,0.2946951985359192,-0.1568061113357544,-1.2119017839431763,-0.3348866403102875,1.8217716217041016,-0.3322070837020874,0.3622494637966156,-1.0193986892700195,1.306563138961792,-0.6507887840270996,0.5304117202758789,0.6243621110916138,1.0059168338775635,1.0409793853759766,-1.1135848760604858,0.6572703719139099,1.3931325674057007,-0.28203052282333374,1.942018747329712,-1.5771923065185547,1.1311792135238647,0.0980553850531578,2.563507080078125,0.6632516384124756,-0.14696069061756134,-0.8763425946235657,0.7504647970199585,-0.49804598093032837,0.5033348798751831,1.1922365427017212,0.9454450607299805
CAMRI,075,level3,0.20665423572063446,0.2648152709007263,0.26551538705825806,0.2947266697883606,0.28041326999664307,0.27030032873153687,0.2461647242307663,0.26804831624031067,0.22229966521263123,0.26434481143951416,0.2634076476097107,0.2748402953147888,0.25390124320983887,0.2677125930786133,0.28508561849594116,0.2681063711643219,0.23853357136249542,0.28453218936920166,0.23337045311927795,0.24515342712402344,0.2820187509059906,0.24422423541545868,0.2309553623199463,0.23043684661388397,0.23964600265026093,0.27742892503738403,0.23041526973247528,0.24224558472633362,0.24216923117637634,0.25102269649505615,0.28608250617980957,0.26648467779159546
CAMRI,075,level2,0.2189599573612213,0.21171113848686218,0.268428236246109,0.2827717661857605,0.2607201039791107,0.19247645139694214,0.1844743937253952,0.3158051371574402,0.26459819078445435,0.2525457739830017,0.2694559693336487,0.2649036645889282,0.25274989008903503,0.26702648401260376,0.25635769963264465,0.2649455964565277,0.26169639825820923,0.27045026421546936,0.19831492006778717,0.2982950806617737,0.24117103219032288,0.24819576740264893,0.22405867278575897,0.2702668011188507,0.24678120017051697,0.22922424972057343,0.22537370026111603,0.20391753315925598,0.25586336851119995,0.23654904961585999,0.22222647070884705,0.2655177712440491
CAMRI,075,level1,0.25510483980178833,0.26977625489234924,0.2791357934474945,0.27655020356178284,0.2348136007785797,0.18952831625938416,0.2835127115249634,0.2808913588523865,0.22542186081409454,0.23916015028953552,0.26535817980766296,0.2824694514274597,0.28925642371177673,0.19843849539756775,0.2570153474807739,0.2989567518234253,0.27724748849868774,0.259414404630661,0.27202197909355164,0.29036182165145874,0.2535768151283264,0.1869824379682541,0.23601754009723663,0.3028082251548767,0.27892929315567017,0.3003771901130676,0.28565412759780884,0.29053643345832825,0.28900888562202454,0.27703529596328735,0.17529572546482086,0.2983132600784302
CAMRI,111,level4,0.313088983297348,0.3217223286628723,-0.16542044281959534,-1.1628462076187134,-0.3271234631538391,1.7898603677749634,-0.3277447819709778,0.3271081745624542,-1.0048519372940063,1.3090198040008545,-0.6488631963729858,0.4974575936794281,0.6087660789489746,1.0081541538238525,0.9834085702896118,-1.0976722240447998,0.6351331472396851,1.3914835453033447,-0.30182966589927673,1.940211534500122,-1.580073595046997,1.1055190563201904,0.11346838623285294,2.5779566764831543,0.6265634298324585,-0.1305565983057022,-0.8554471731185913,0.7683369517326355,-0.506616473197937,0.5020197629928589,1.1852998733520508,0.9544941186904907
CAMRI,111,level3,0.21960584819316864,0.2722390294075012,0.2730465233325958,0.2886565923690796,0.28134849667549133,0.2623431086540222,0.2558354437351227,0.28671130537986755,0.22675423324108124,0.2583365738391876,0.2604239284992218,0.2709880769252777,0.2510969042778015,0.2802622318267822,0.28976860642433167,0.26670151948928833,0.23861145973205566,0.2755768895149231,0.2376347780227661,0.25454479455947876,0.2794172167778015,0.25180989503860474,0.23143437504768372,0.25069350004196167,0.24615439772605896,0.2806076109409332,0.22795076668262482,0.2581018805503845,0.24054241180419922,0.2422647923231125,0.28607767820358276,0.2652745246887207
