level,centroid_cosine_similarity,centroid_l2_distance,camri_mean_feature_norm,mouse_mean_feature_norm
level4,0.9996208545278386,0.17264388337680928,5.7231426468052,5.789547494752778
level3,0.9987079019215124,0.07224108827006159,1.4222768969355033,1.419519168387016
level2,0.9984297803975828,0.08327807005113215,1.387640211608256,1.4148300219571506
level1,0.9986314613681158,0.09474624241748712,1.467535827842989,1.4093373979004153
