domain,subject,region,bin_center,density
CAMRI,001,whole,0.009999999776482582,10.011736775700328
CAMRI,001,whole,0.029999999329447746,12.079239161593598
CAMRI,001,whole,0.04999999701976776,7.235527200300854
CAMRI,001,whole,0.07000000029802322,3.3749899029108614
CAMRI,001,whole,0.09000000357627869,1.8619534301536123
CAMRI,001,whole,0.10999999940395355,1.2866340778203371
CAMRI,001,whole,0.12999999523162842,1.014391414945738
CAMRI,001,whole,0.15000000596046448,0.8371354895814784
CAMRI,001,whole,0.17000000178813934,0.699996572734764
CAMRI,001,whole,0.1899999976158142,0.6309510593610231
CAMRI,001,whole,0.21000000834465027,0.553321953810861
CAMRI,001,whole,0.22999998927116394,0.5047481318286138
CAMRI,001,whole,0.25,0.4538854910095067
CAMRI,001,whole,0.26999998092651367,0.41796343952391807
CAMRI,001,whole,0.2900000214576721,0.3927864510767822
CAMRI,001,whole,0.3100000023841858,0.3777189678055138
CAMRI,001,whole,0.32999998331069946,0.3520327904843223
CAMRI,001,whole,0.3500000238418579,0.3510791166795065
CAMRI,001,whole,0.3700000047683716,0.350888904783476
CAMRI,001,whole,0.38999998569488525,0.33601107056341756
CAMRI,001,whole,0.4099999964237213,0.32653839734878287
CAMRI,001,whole,0.4300000071525574,0.3086724214920326
CAMRI,001,whole,0.44999998807907104,0.30854526498472384
CAMRI,001,whole,0.4699999988079071,0.2985003457072694
CAMRI,001,whole,0.49000000953674316,0.28629287620568955
CAMRI,001,whole,0.5099999904632568,0.27643865881474067
CAMRI,001,whole,0.5299999713897705,0.258254481515147
CAMRI,001,whole,0.550000011920929,0.24827345047644025
CAMRI,001,whole,0.5699999928474426,0.24038973527565188
CAMRI,001,whole,0.5900000333786011,0.22729191812325222
CAMRI,001,whole,0.6100000143051147,0.22176127919636968
CAMRI,001,whole,0.6299999952316284,0.21425903408594205
CAMRI,001,whole,0.6499999761581421,0.2162293184719387
CAMRI,001,whole,0.6700000166893005,0.20523090861407148
CAMRI,001,whole,0.6899999976158142,0.20917276621446568
CAMRI,001,whole,0.7100000381469727,0.2082820486074893
CAMRI,001,whole,0.7300000190734863,0.20402291999459585
CAMRI,001,whole,0.75,0.20020821909098854
CAMRI,001,whole,0.7699999809265137,0.19900023047151294
CAMRI,001,whole,0.7899999618530273,0.1995082626771372
CAMRI,001,whole,0.8100000023841858,0.20249703963315294
CAMRI,001,whole,0.8299999833106995,0.19550342130987294
CAMRI,001,whole,0.8500000238418579,0.18113417475053026
CAMRI,001,whole,0.8700000047683716,0.16466792233904745
CAMRI,001,whole,0.8899999856948853,0.161107534829014
CAMRI,001,whole,0.9099999666213989,0.14890004818032357
CAMRI,001,whole,0.9300000071525574,0.13764712427182924
CAMRI,001,whole,0.949999988079071,0.12582155147064666
CAMRI,001,whole,0.9700000286102295,0.10922727701699225
CAMRI,001,whole,0.9900000095367432,0.5936310389496857
CAMRI,001,brain,0.009999999776482582,0.010291091085654508
CAMRI,001,brain,0.029999999329447746,0.015804175595826565
CAMRI,001,brain,0.04999999701976776,0.027197883583515485
CAMRI,001,brain,0.07000000029802322,0.03528374086510117
CAMRI,001,brain,0.09000000357627869,0.058806223821655616
CAMRI,001,brain,0.10999999940395355,0.07975597076952998
CAMRI,001,brain,0.12999999523162842,0.11136428636226033
CAMRI,001,brain,0.15000000596046448,0.17237580779220996
CAMRI,001,brain,0.17000000178813934,0.24367819918379718
CAMRI,001,brain,0.1899999976158142,0.32049403922133707
CAMRI,001,brain,0.21000000834465027,0.44178192103675124
CAMRI,001,brain,0.22999998927116394,0.5450603900977555
CAMRI,001,brain,0.25,0.6222435876166554
CAMRI,001,brain,0.26999998092651367,0.7718314001296743
CAMRI,001,brain,0.2900000214576721,0.9508227772073655
CAMRI,001,brain,0.3100000023841858,1.145987567465214
CAMRI,001,brain,0.32999998331069946,1.2896935157404892
CAMRI,001,brain,0.3500000238418579,1.531534021114454
CAMRI,001,brain,0.3700000047683716,1.6234211306907795
CAMRI,001,brain,0.38999998569488525,1.6561296614211014
CAMRI,001,brain,0.4099999964237213,1.670098623015373
CAMRI,001,brain,0.4300000071525574,1.617170552652651
CAMRI,001,brain,0.44999998807907104,1.631504564369345
CAMRI,001,brain,0.4699999988079071,1.5998986148736616
CAMRI,001,brain,0.49000000953674316,1.5480732654029468
CAMRI,001,brain,0.5099999904632568,1.5065436302244748
CAMRI,001,brain,0.5299999713897705,1.420902736453598
CAMRI,001,brain,0.550000011920929,1.367613771179622
CAMRI,001,brain,0.5699999928474426,1.332329997453945
CAMRI,001,brain,0.5900000333786011,1.2669042246651714
CAMRI,001,brain,0.6100000143051147,1.2470608776168928
CAMRI,001,brain,0.6299999952316284,1.203323699769439
CAMRI,001,brain,0.6499999761581421,1.2242697918072776
CAMRI,001,brain,0.6700000166893005,1.1684074653534045
CAMRI,001,brain,0.6899999976158142,1.186049352216243
CAMRI,001,brain,0.7100000381469727,1.1853107410923056
CAMRI,001,brain,0.7300000190734863,1.1617917577798402
CAMRI,001,brain,0.75,1.1448849495362865
CAMRI,001,brain,0.7699999809265137,1.1338587702470126
CAMRI,001,brain,0.7899999618530273,1.1419412318058275
CAMRI,001,brain,0.8100000023841858,1.157013746754488
CAMRI,001,brain,0.8299999833106995,1.1213624337191688
CAMRI,001,brain,0.8500000238418579,1.0401331464468915
CAMRI,001,brain,0.8700000047683716,0.9464137223293542
CAMRI,001,brain,0.8899999856948853,0.9247289030604486
CAMRI,001,brain,0.9099999666213989,0.8545263482293367
CAMRI,001,brain,0.9300000071525574,0.7920472122795177
CAMRI,001,brain,0.949999988079071,0.7196419682799516
CAMRI,001,brain,0.9700000286102295,0.6270201935824724
CAMRI,001,brain,0.9900000095367432,3.405619243147105
CAMRI,001,background,0.009999999776482582,12.10370080806078
CAMRI,001,background,0.029999999329447746,14.602501587169462
CAMRI,001,background,0.04999999701976776,8.743265795250096
CAMRI,001,background,0.07000000029802322,4.073543431067273
CAMRI,001,background,0.09000000357627869,2.2391108151604997
CAMRI,001,background,0.10999999940395355,1.5390721423770841
CAMRI,001,background,0.12999999523162842,1.203274135785626
CAMRI,001,background,0.15000000596046448,0.9761807224727379
CAMRI,001,background,0.17000000178813934,0.7954429366781605
CAMRI,001,background,0.1899999976158142,0.6958881634763918
CAMRI,001,background,0.21000000834465027,0.5766523546438815
CAMRI,001,background,0.22999998927116394,0.4963161713879348
CAMRI,001,background,0.25,0.41867067369558447
CAMRI,001,background,0.26999998092651367,0.34394623549802744
CAMRI,001,background,0.2900000214576721,0.27606413314113015
CAMRI,001,background,0.3100000023841858,0.21702317158153567
CAMRI,001,background,0.32999998331069946,0.15590589306884212
CAMRI,001,background,0.3500000238418579,0.10416789206522735
CAMRI,001,background,0.3700000047683716,0.08471822000809505
CAMRI,001,background,0.38999998569488525,0.05988692835336687
CAMRI,001,background,0.4099999964237213,0.04551105829835959
CAMRI,001,background,0.4300000071525574,0.03497888626544535
CAMRI,001,background,0.44999998807907104,0.03182694266789972
CAMRI,001,background,0.4699999988079071,0.026291861381822598
CAMRI,001,background,0.49000000953674316,0.022371111875262847
CAMRI,001,background,0.5099999904632568,0.01914232012887084
CAMRI,001,background,0.5299999713897705,0.015067805476962523
CAMRI,001,background,0.550000011920929,0.014145328930571223
CAMRI,001,background,0.5699999928474426,0.01199277887591908
CAMRI,001,background,0.5900000333786011,0.009840199495159197
CAMRI,001,background,0.6100000143051147,0.007303294828284055
CAMRI,001,background,0.6299999952316284,0.007380171615950203
CAMRI,001,background,0.6499999761581421,0.005381359098915186
CAMRI,001,background,0.6700000166893005,0.0037669625956412494
CAMRI,001,background,0.6899999976158142,0.00484323762296732
CAMRI,001,background,0.7100000381469727,0.0039207044863524936
CAMRI,001,background,0.7300000190734863,0.0036900858079751014
CAMRI,001,background,0.75,0.00261381078064903
CAMRI,001,background,0.7699999809265137,0.0034594554449766577
CAMRI,001,background,0.7899999618530273,0.0023831733152338682
CAMRI,001,background,0.8100000023841858,0.002844441143647474
CAMRI,001,background,0.8299999833106995,0.0018450429039875507
