domain,subject,level,zone,mean_attention,voxel_count
CAMRI,074,level1,false_positive,3.362386678418261e-06,4206
CAMRI,074,level1,false_negative,3.137083012916264e-06,10775
CAMRI,074,level1,true_background,2.8241429390618578e-06,2365473
CAMRI,015,level4,true_positive,0.001578128314577043,149473
CAMRI,015,level4,false_positive,0.0015692295273765922,1816
CAMRI,015,level4,false_negative,0.001579413888975978,7542
CAMRI,015,level4,true_background,0.0015614950098097324,2462609
CAMRI,015,level3,true_positive,0.00024336925707757473,149473
CAMRI,015,level3,false_positive,0.000204765034141019,1816
CAMRI,015,level3,false_negative,0.00019562200759537518,7542
CAMRI,015,level3,true_background,0.00019238772802054882,2462609
CAMRI,015,level2,true_positive,3.2422743970528245e-05,149473
CAMRI,015,level2,false_positive,2.486251833033748e-05,1816
CAMRI,015,level2,false_negative,2.6473664547665976e-05,7542
CAMRI,015,level2,true_background,2.3921318643260747e-05,2462609
CAMRI,015,level1,true_positive,6.943546850379789e-06,149473
CAMRI,015,level1,false_positive,3.5672758258442627e-06,1816
CAMRI,015,level1,false_negative,3.1311899419961264e-06,7542
CAMRI,015,level1,true_background,2.8149115678388625e-06,2462609
CAMRI,106,level4,true_positive,0.0015702686505392194,249168
CAMRI,106,level4,false_positive,0.0015659884084016085,7266
CAMRI,106,level4,false_negative,0.0015722131356596947,9248
CAMRI,106,level4,true_background,0.0015616294695064425,2355758
CAMRI,106,level3,true_positive,0.0002294063742738217,249168
CAMRI,106,level3,false_positive,0.00018819885735865682,7266
CAMRI,106,level3,false_negative,0.00018806075968313962,9248
CAMRI,106,level3,true_background,0.00019175677152816206,2355758
CAMRI,106,level2,true_positive,2.9594784791697748e-05,249168
CAMRI,106,level2,false_positive,2.4223605578299612e-05,7266
CAMRI,106,level2,false_negative,2.3601089196745306e-05,9248
CAMRI,106,level2,true_background,2.386988307989668e-05,2355758
CAMRI,106,level1,true_positive,5.056665486335987e-06,249168
CAMRI,106,level1,false_positive,3.148576979583595e-06,7266
CAMRI,106,level1,false_negative,3.1953368306858465e-06,9248
CAMRI,106,level1,true_background,2.8388383270794293e-06,2355758
CAMRI,058,level4,true_positive,0.001569859217852354,242579
CAMRI,058,level4,false_positive,0.001566380145959556,2710
CAMRI,058,level4,false_negative,0.0015672867884859443,6440
CAMRI,058,level4,true_background,0.0015617297030985355,2369711
CAMRI,058,level3,true_positive,0.0002304917579749599,242579
CAMRI,058,level3,false_positive,0.00019527901895344257,2710
CAMRI,058,level3,false_negative,0.00019796894048340619,6440
CAMRI,058,level3,true_background,0.00019170413725078106,2369711
CAMRI,058,level2,true_positive,3.0188512027962133e-05,242579
CAMRI,058,level2,false_positive,2.4159959139069542e-05,2710
CAMRI,058,level2,false_negative,2.3857208361732773e-05,6440
CAMRI,058,level2,true_background,2.3824763047741726e-05,2369711
CAMRI,058,level1,true_positive,5.189026978769107e-06,242579
CAMRI,058,level1,false_positive,3.286493438281468e-06,2710
CAMRI,058,level1,false_negative,3.0442540719377575e-06,6440
CAMRI,058,level1,true_background,2.8327224299573572e-06,2369711
CAMRI,062,level4,true_positive,0.0015689862193539739,254498
CAMRI,062,level4,false_positive,0.0015640744240954518,3696
CAMRI,062,level4,false_negative,0.0015686443075537682,5769
CAMRI,062,level4,true_background,0.0015617813915014267,2357477
CAMRI,062,level3,true_positive,0.0002337052719667554,254498
CAMRI,062,level3,false_positive,0.00021038626437075436,3696
CAMRI,062,level3,false_negative,0.00020804973610211164,5769
CAMRI,062,level3,true_background,0.00019111300935037434,2357477
CAMRI,062,level2,true_positive,2.9942229957669042e-05,254498
CAMRI,062,level2,false_positive,2.52240843110485e-05,3696
CAMRI,062,level2,false_negative,2.4104556359816343e-05,5769
CAMRI,062,level2,true_background,2.3816759494366124e-05,2357477
CAMRI,062,level1,true_positive,4.932675437885337e-06,254498
CAMRI,062,level1,false_positive,3.603516688599484e-06,3696
CAMRI,062,level1,false_negative,2.9719751637458103e-06,5769
CAMRI,062,level1,true_background,2.848036046998459e-06,2357477
CAMRI,121,level4,true_positive,0.001578702125698328,155791
CAMRI,121,level4,false_positive,0.0015713658649474382,1156
CAMRI,121,level4,false_negative,0.0015706632984802127,2079
CAMRI,121,level4,true_background,0.0015614645089954138,2462414
CAMRI,121,level3,true_positive,0.0002467774029355496,155791
CAMRI,121,level3,false_positive,0.0002025278372457251,1156
CAMRI,121,level3,false_negative,0.00022967951372265816,2079
CAMRI,121,level3,true_background,0.00019202403200324625,2462414
CAMRI,121,level2,true_positive,3.299278250779025e-05,155791
CAMRI,121,level2,false_positive,2.53428934229305e-05,1156
CAMRI,121,level2,false_negative,2.510289596102666e-05,2079
CAMRI,121,level2,true_background,2.3870285076554865e-05,2462414
CAMRI,121,level1,true_positive,6.941455922060413e-06,155791
CAMRI,121,level1,false_positive,3.5520756682672072e-06,1156
CAMRI,121,level1,false_negative,3.3195631203852827e-06,2079
CAMRI,121,level1,true_background,2.805204985634191e-06,2462414
CAMRI,041,level4,true_positive,0.0015768746379762888,164503
CAMRI,041,level4,false_positive,0.001569348736666143,1208
CAMRI,041,level4,false_negative,0.0015695644542574883,2507
CAMRI,041,level4,true_background,0.001561524928547442,2453222
CAMRI,041,level3,true_positive,0.00023701782629359514,164503
CAMRI,041,level3,false_positive,0.00021682452643290162,1208
CAMRI,041,level3,false_negative,0.00022463861387223005,2507
CAMRI,041,level3,true_background,0.0001924754906212911,2453222
CAMRI,041,level2,true_positive,3.191148425685242e-05,164503
CAMRI,041,level2,false_positive,2.552696969360113e-05,1208
CAMRI,041,level2,false_negative,2.506724194972776e-05,2507
CAMRI,041,level2,true_background,2.391010639257729e-05,2453222
CAMRI,041,level1,true_positive,6.727520030835876e-06,164503
CAMRI,041,level1,false_positive,3.3614564927120227e-06,1208
CAMRI,041,level1,false_negative,3.0605547181039583e-06,2507
CAMRI,041,level1,true_background,2.8051144909113646e-06,2453222
CAMRI,013,level4,true_positive,0.001576361944898963,168284
CAMRI,013,level4,false_positive,0.0015697662020102143,1220
CAMRI,013,level4,false_negative,0.0015715323388576508,2641
CAMRI,013,level4,true_background,0.00156153435818851,2449295
CAMRI,013,level3,true_positive,0.00023814367887098342,168284
CAMRI,013,level3,false_positive,0.00020056548237334937,1220
CAMRI,013,level3,false_negative,0.00022480718325823545,2641
CAMRI,013,level3,true_background,0.00019233531202189624,2449295
CAMRI,013,level2,true_positive,3.198601916665211e-05,168284
CAMRI,013,level2,false_positive,2.5621038730605505e-05,1220
CAMRI,013,level2,false_negative,2.5505563826300204e-05,2641
CAMRI,013,level2,true_background,2.3892045646789484e-05,2449295
CAMRI,013,level1,true_positive,6.661369752691826e-06,168284
CAMRI,013,level1,false_positive,3.2616940188745502e-06,1220
CAMRI,013,level1,false_negative,3.07884624817234e-06,2641
CAMRI,013,level1,true_background,2.8036158710165182e-06,2449295
CAMRI,130,level4,true_positive,0.0015784356510266662,143036
CAMRI,130,level4,false_positive,0.0015723423566669226,1526
CAMRI,130,level4,false_negative,0.0015728998696431518,2004
CAMRI,130,level4,true_background,0.0015615641605108976,2474874
CAMRI,130,level3,true_positive,0.0002477970265317708,143036
CAMRI,130,level3,false_positive,0.00022072049614507705,1526
CAMRI,130,level3,false_negative,0.00022627678117714822,2004
CAMRI,130,level3,true_background,0.000192238439922221,2474874
CAMRI,130,level2,true_positive,3.343891876284033e-05,143036
CAMRI,130,level2,false_positive,2.5475888833170757e-05,1526
CAMRI,130,level2,false_negative,2.5742807338247076e-05,2004
CAMRI,130,level2,true_background,2.3890743250376545e-05,2474874
CAMRI,130,level1,true_positive,7.28118175175041e-06,143036
CAMRI,130,level1,false_positive,3.454518264334183e-06,1526
CAMRI,130,level1,false_negative,3.3004675970005337e-06,2004
CAMRI,130,level1,true_background,2.80686663245433e-06,2474874
CAMRI,129,level4,true_positive,0.0015784134157001972,148853
CAMRI,129,level4,false_positive,0.0015726219862699509,1351
CAMRI,129,level4,false_negative,0.0015709695871919394,1922
CAMRI,129,level4,true_background,0.0015615279553458095,2469314
CAMRI,129,level3,true_positive,0.00024465261958539486,148853
CAMRI,129,level3,false_positive,0.00021921421284787357,1351
CAMRI,129,level3,false_negative,0.00021734542679041624,1922
CAMRI,129,level3,true_background,0.00019230793986935169,2469314
CAMRI,129,level2,true_positive,3.325476063764654e-05,148853
CAMRI,129,level2,false_positive,2.567270348663442e-05,1351
CAMRI,129,level2,false_negative,2.518493238312658e-05,1922
CAMRI,129,level2,true_background,2.387984022789169e-05,2469314
CAMRI,129,level1,true_positive,7.095071396179264e-06,148853
CAMRI,129,level1,false_positive,3.3736164368747268e-06,1351
CAMRI,129,level1,false_negative,3.276340294178226e-06,1922
CAMRI,129,level1,true_background,2.807670398397022e-06,2469314
CAMRI,124,level4,true_positive,0.0015769375022500753,150623
CAMRI,124,level4,false_positive,0.0015710839070379734,1252
CAMRI,124,level4,false_negative,0.0015730358427390456,2177
CAMRI,124,level4,true_background,0.0015616057207807899,2467388
CAMRI,124,level3,true_positive,0.00024191421107389033,150623
CAMRI,124,level3,false_positive,0.00020993954967707396,1252
CAMRI,124,level3,false_negative,0.000222996502998285,2177
CAMRI,124,level3,true_background,0.0001924357784446329,2467388
CAMRI,124,level2,true_positive,3.2825235393829644e-05,150623
CAMRI,124,level2,false_positive,2.5653218472143635e-05,1252
CAMRI,124,level2,false_negative,2.56154962698929e-05,2177
CAMRI,124,level2,true_background,2.389891778875608e-05,2467388
CAMRI,124,level1,true_positive,7.037816430965904e-06,150623
CAMRI,124,level1,false_positive,3.307145789221977e-06,1252
CAMRI,124,level1,false_negative,3.23085555464786e-06,2177
CAMRI,124,level1,true_background,2.8081396976631368e-06,2467388
CAMRI,104,level4,true_positive,0.0015772768529132009,163851
CAMRI,104,level4,false_positive,0.0015709606232121587,1115
