variable,ridge_standardized_coefficient,random_forest_permutation_importance
volume_ratio,-0.0544212477580672,1.5342549607482672
boundary_sharpness,-0.007748084222572833,0.006552734092108858
brain_occupancy_percent,0.0018704408530997266,0.004360676091093722
brain_volume_mm3,-0.010973744985260657,0.002953181153213824
spacing_z,-0.005153191826234905,0.0012405882254721537
slice_count,-0.004242087248267058,0.0006646944890936239
contrast,0.00012522205530425234,0.00011401664749666196
