epoch,loss,dice_loss,bce_loss,tversky_loss,train_dice,train_precision,train_recall,train_false_positives,train_false_negatives,train_volume_ratio,validation_dice,validation_precision,validation_recall,validation_false_positives,validation_false_negatives,validation_volume_ratio
1,0.23785582049326462,0.27201515436172485,0.07484306801449168,0.3325499079444192,0.8997199280259239,0.8594893630874499,0.9444746574795009,8487.363636363636,3037.7272727272725,1.1000406001845455,0.899184983645152,0.8586650158918993,0.9447988574587326,8726.4,3052.7,1.1025544353575847
2,0.10581578720699657,0.13195013458078558,0.024042969400232487,0.13531991026618265,0.9226504913945245,0.9314308242963159,0.9144393523066093,3730.181818181818,4681.090909090909,0.982498814485141,0.9249179880852433,0.9365508048898825,0.9137537537956593,3434.7,4769.5,0.9758819264552228
3,0.08789850771427155,0.1086257750337774,0.02369637084616856,0.11064611239866777,0.930541125114502,0.9480892340768822,0.9140073272711774,2780.090909090909,4706.909090909091,0.9646731060415248,0.9326171455959006,0.9533967249993591,0.912864749719312,2475.0,4822.4,0.9576087604998766
4,0.07560801844705235,0.09570728106932207,0.021808325736360115,0.08920918811451305,0.9327110744556976,0.9548849220075181,0.9118984756571448,2396.2727272727275,4822.454545454545,0.9555645281674593,0.9341410274688535,0.9594185488801618,0.910294842772665,2137.6,4965.3,0.9489007229902926
5,0.08495143563909964,0.10532964359630238,0.025047043423083695,0.10409940914674239,0.930907317255787,0.9613275388598232,0.9026694932053051,2022.0,5327.272727272727,0.9394967662613017,0.9321829199838956,0.9659185637058529,0.9008477966452146,1765.3,5488.4,0.932701699489199
6,0.07706365429542282,0.09695481170307506,0.020737743767147713,0.093607252294367,0.9326724648154845,0.9631364111736527,0.9043694668779618,1925.3636363636363,5234.545454545455,0.9394518279818868,0.9337966512403545,0.9677105247536744,0.902304636034639,1672.3,5407.6,0.9324769197410776
7,0.07078724930232222,0.09030721946196123,0.02039632082662799,0.08213824033737183,0.9378314102017247,0.9589551834433349,0.9179096042164407,2178.090909090909,4493.727272727273,0.9576706484974686,0.9388302156064003,0.9635583575248574,0.9154728372688918,1923.2,4678.0,0.9501888544620648
8,0.07938690754500302,0.1001155051318082,0.024503010748462242,0.09281360561197455,0.937735631514207,0.9611599558678287,0.9156935778157748,2050.0,4615.090909090909,0.9531265839588424,0.9386328166654702,0.9658835283232247,0.9130123173590006,1792.1,4814.2,0.9453519310976507
9,0.08065351539037445,0.10217479142275723,0.023514832962643017,0.09474964575334029,0.9361814271147565,0.9639485612635007,0.9102039497078688,1884.0,4915.363636363636,0.9446175941018808,0.9370984270630733,0.9689279939905846,0.9074338221854263,1617.6,5122.7,0.9366138222780023
10,0.07729306478391994,0.09752110459587791,0.022540694356641987,0.09158935871991244,0.9393032414597022,0.9565852469940984,0.9228825047181882,2312.909090909091,4221.363636363636,0.9651927999349145,0.9401649821585668,0.961121964653317,0.920228490075608,2068.1,4414.5,0.9575659377494012
