epoch,loss,mean_dice
1,1.496344804763794,0.023375190794467926
2,1.2340083122253418,0.007679515052586794
3,1.1323357224464417,0.020158019848167896
4,1.0442043542861938,0.10136044397950172
5,0.9234866797924042,0.4564862996339798
6,0.7769421935081482,0.7899282872676849
7,0.6249472498893738,0.826993465423584
8,0.4795149266719818,0.8454685807228088
9,0.37156522274017334,0.8637146949768066
10,0.2945467382669449,0.8765539228916168
11,0.24131974577903748,0.8844959437847137
12,0.206644706428051,0.8904558718204498
13,0.18333853781223297,0.8958669900894165
14,0.16741631925106049,0.8999663293361664
15,0.15671049058437347,0.9030803740024567
