task,transform,stage,relative_l2,cosine,subject
lesion,axis0_+20deg,output_logits,0.1864994764328003,0.982527494430542,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,query_mask_embedding,0.03599783778190613,0.999377429485321,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,input,0.13875803351402283,0.9906678795814514,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,encoder_level0,0.5627588629722595,0.8268946409225464,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,encoder_level1,0.4007522165775299,0.9163978099822998,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,encoder_level2,0.4572947919368744,0.8906910419464111,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,encoder_level3,0.300981342792511,0.9536377191543579,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,encoder_level4,0.4354545474052429,0.9002406597137451,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,canvas_level4,0.4354545474052429,0.9002406597137451,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,canvas_level3,0.5089383125305176,0.8632487058639526,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,canvas_level2,0.5782392621040344,0.8213955163955688,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,canvas_level1,0.46278586983680725,0.8877918124198914,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,canvas_level0,0.4007352888584137,0.9174936413764954,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,output_logits,0.2475730925798416,0.9694366455078125,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,query_mask_embedding,0.07342696934938431,0.9974669218063354,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,input,0.12916341423988342,0.9919115900993347,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,encoder_level0,0.37796854972839355,0.926513671875,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,encoder_level1,0.2369476556777954,0.971574604511261,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,encoder_level2,0.2705629765987396,0.9627119302749634,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,encoder_level3,0.2155235856771469,0.9764987230300903,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,encoder_level4,0.18086126446723938,0.9837952256202698,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,canvas_level4,0.18086126446723938,0.9837952256202698,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,canvas_level3,0.2745693325996399,0.9615790247917175,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,canvas_level2,0.30131542682647705,0.9535587430000305,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,canvas_level1,0.22327403724193573,0.974796712398529,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,canvas_level0,0.18152186274528503,0.9834415912628174,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,output_logits,0.05879899114370346,0.9982699155807495,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,query_mask_embedding,0.0180672574788332,0.9998423457145691,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,input,0.12849153578281403,0.9920004606246948,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,encoder_level0,0.4063054323196411,0.9140481948852539,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,encoder_level1,0.26089027523994446,0.965380847454071,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,encoder_level2,0.3174948990345001,0.9482839107513428,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,encoder_level3,0.23230203986167908,0.972644031047821,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,encoder_level4,0.26371002197265625,0.9650986790657043,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,canvas_level4,0.26371002197265625,0.9650986790657043,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,canvas_level3,0.3252767324447632,0.9456552267074585,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,canvas_level2,0.36137962341308594,0.9326530694961548,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,canvas_level1,0.2646735608577728,0.964410662651062,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,canvas_level0,0.22406822443008423,0.9746735095977783,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,output_logits,0.08737676590681076,0.9962118268013,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,query_mask_embedding,0.03391468897461891,0.9994458556175232,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,input,0.13025495409965515,0.9917874336242676,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,encoder_level0,0.4906943440437317,0.8714722394943237,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,encoder_level1,0.3413068354129791,0.9400148987770081,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,encoder_level2,0.408817321062088,0.9131510257720947,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,encoder_level3,0.2787516415119171,0.9603632688522339,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,encoder_level4,0.3682565689086914,0.929902970790863,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,canvas_level4,0.3682565689086914,0.929902970790863,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,canvas_level3,0.40420782566070557,0.9149994850158691,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,canvas_level2,0.45702308416366577,0.8906954526901245,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,canvas_level1,0.35053756833076477,0.936818540096283,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,canvas_level0,0.3152397871017456,0.9493052959442139,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,output_logits,0.1852191835641861,0.9830712080001831,20170222CH_Exp3_zfp_M03
