scan_id,mouse_id,timepoint,geometry_correction_status,dice,iou,precision,recall,false_positives,false_negatives,hd95,brain_volume_voxels,brain_volume_mm3,expert_brain_volume_mm3,predicted_brain_volume_mm3,volume_error_percentage,inference_seconds,slice_count,spacing_x,spacing_y,spacing_z,mean_spacing,image_path,ground_truth_path,prediction_path
POLYIC_20190510_mouse42__E2_P1,mouse-42,20190510,original_geometry_valid,0.8712714215563482,0.7719051667554366,0.7858708398630592,0.9774958976916368,30677,2592,3.7322915928897715,115179,460.7161922257001,460.7161922257001,573.056239097602,24.383785238628562,9.879810667000001,35,0.10000000149011612,0.10000000149011612,0.4000001549720764,0.20000005265076956,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse42__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse42__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190510_mouse42__E2_P1_prediction.nii.gz
POLYIC_20190510_mouse43__E2_P1_1,mouse-43,20190510,original_geometry_valid,0.91958921999765,0.8511477643757736,0.8671951096779862,0.9787215223488809,11862,1684,0.44721360216395983,79141,316.5640141515138,316.5640141515138,357.276015971482,12.860590591475969,9.564098083000019,35,0.10000000149011612,0.10000000149011612,0.4000000059604645,0.20000000298023224,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse43__E2_P1_1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse43__E2_P1_1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190510_mouse43__E2_P1_1_prediction.nii.gz
POLYIC_20190510_mouse43__E9_P1,mouse-43,20190510,original_geometry_valid,0.9077276832762992,0.8310452159089006,0.8444806481554842,0.9812154130834507,21192,2203,0.8062256685548146,117277,469.1079510682207,469.1079510682207,545.0639431453923,16.191580616830255,9.661024209000004,35,0.10000000149011612,0.10000000149011612,0.3999999463558197,0.1999999831120173,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse43__E9_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse43__E9_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190510_mouse43__E9_P1_prediction.nii.gz
POLYIC_20190510_mouse44__E4_P1,mouse-44,20190510,original_geometry_valid,0.8788498972894395,0.783882457106317,0.7894191229973795,0.9911320902070221,30470,1022,1.6492422459101934,115247,460.98788322263584,460.98788322263584,578.779853383596,25.55207510824576,9.871226417000003,35,0.10000000149011612,0.10000000149011612,0.3999998867511749,0.1999999632438024,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse44__E4_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse44__E4_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190510_mouse44__E4_P1_prediction.nii.gz
POLYIC_20190517_mouse30__E3_P1,mouse-30,20190517,original_geometry_valid,0.8486644381804824,0.7371130245029259,0.7492368401629043,0.9785189572431319,37048,2430,5.015974556337626,113123,452.49202022796896,452.49202022796896,590.9640264181498,30.602087992715894,9.738129625,35,0.10000000149011612,0.10000000149011612,0.4000000059604645,0.20000000298023224,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse30__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse30__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190517_mouse30__E3_P1_prediction.nii.gz
POLYIC_20190517_mouse31__E3_P1,mouse-31,20190517,original_geometry_valid,0.8171244551047819,0.6907949518806406,0.7147357156029955,0.9537534354888939,42382,5149,5.35163534162191,111338,445.3519867274754,445.3519867274754,594.2839822889557,33.44141263539853,9.649202874999986,35,0.10000000149011612,0.10000000149011612,0.3999999761581421,0.19999999304612479,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse31__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse31__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190517_mouse31__E3_P1_prediction.nii.gz
POLYIC_20190517_mouse32__E3_P1,mouse-32,20190517,original_geometry_valid,0.9106084627305745,0.8358872192266588,0.8520288378173837,0.9778378472060926,19601,2558,4.472136018973997,115422,461.68798624062464,461.68798624062464,529.8599842089407,14.765815875656298,9.645660375000006,35,0.10000000149011612,0.10000000149011612,0.3999999761581421,0.19999999304612479,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse32__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse32__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190517_mouse32__E3_P1_prediction.nii.gz
POLYIC_20190517_mouse33__E2_P1,mouse-33,20190517,original_geometry_valid,0.8437628458559777,0.7297489471278136,0.7447806185284708,0.9730873021685975,36576,2952,4.509988980715944,109688,438.75201961374313,438.75201961374313,573.2480256261829,30.65421924002624,9.666398334000007,35,0.10000000149011612,0.10000000149011612,0.4000000059604645,0.20000000298023224,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse33__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse33__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190517_mouse33__E2_P1_prediction.nii.gz
POLYIC_20190517_mouse35__E2_P1,mouse-35,20190517,original_geometry_valid,0.8825339554385556,0.789763554554628,0.7995761976539303,0.984698558031948,27713,1718,4.236861940176127,112277,449.10798661553787,449.10798661553787,553.0879835166922,23.152560185968635,10.265401125000011,35,0.10000000149011612,0.10000000149011612,0.3999999761581421,0.19999999304612479,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse35__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse35__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190517_mouse35__E2_P1_prediction.nii.gz
POLYIC_20190517_mouse36__E2_P1,mouse-36,20190517,original_geometry_valid,0.8924416552307338,0.8057739436058977,0.8188407361952279,0.9805804321797167,25169,2253,3.9623224598464524,116017,464.0679515939337,464.0679515939337,555.7319420326331,19.75227768344296,9.790343708000023,35,0.10000000149011612,0.10000000149011612,0.3999999463558197,0.1999999831120173,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse36__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse36__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_external_evaluation/native_predictions/POLYIC_20190517_mouse36__E2_P1_prediction.nii.gz
