scan_id,mouse_id,timepoint,slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,4,0.940252038547072,0.887241186345831,333,70,403,3241,first 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,5,0.9351187189398122,0.8781436349494426,372,98,470,3485,first 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,6,0.9111785667150587,0.8368484848484848,528,145,673,3597,first 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,7,0.9009888902453913,0.8198178182626084,648,163,811,3853,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,8,0.887911069939787,0.7984173261141191,902,66,968,3900,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,9,0.9016555202280452,0.8209223397883809,834,63,897,4175,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,10,0.8948593188068542,0.8097243491577335,943,51,994,4281,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,11,0.9053640628186824,0.8270914850009317,876,52,928,4491,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,12,0.9238220159418827,0.8584286517907369,711,44,755,4622,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,13,0.9414793543915239,0.8894293732460243,547,44,591,4798,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,14,0.9393523061825318,0.8856402664692821,567,51,618,4837,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,15,0.9384068415489575,0.8839608979000724,575,66,641,4949,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,16,0.9377149407718762,0.8827338129496403,610,42,652,4950,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,17,0.9383977634242746,0.8839447875045405,602,37,639,4904,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,18,0.9423775400019633,0.8910339706701318,541,46,587,4846,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,19,0.9433309594058399,0.8927402272289621,516,41,557,4677,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,20,0.9379105742742107,0.8830806065442937,534,52,586,4478,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,21,0.937921876729003,0.8831006459679099,525,36,561,4274,middle 60%,True,True
