epoch,loss,dice_loss,bce_loss,boundary_loss,boundary_fraction,balanced_validation_dice,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,0.4463090315195067,0.08457013432468687,0.02283788375955607,1.355604066912617,0.010562297322654299,0.955696931368716,0.9758002059560865,0.9756545176335797,0.9760643968071739,5164.5,5254.5,1.0004415337848798,0.9355936567813454,0.8970192933836347,0.9782363792769384,6274.9,1196.1,1.091601656179639
2,0.22607454617640801,0.05882444658449718,0.009452345922389733,0.6311910171061754,0.010555553482845426,0.9656332552964052,0.97900594799848,0.9799827612478773,0.9781248607606585,4241.833333333333,4644.833333333333,0.9981507631445949,0.9522605625943305,0.9338382199206647,0.9718757266698693,3853.5,1550.5,1.0414536651270243
3,0.19528068415820599,0.054415640022073476,0.008095612433472914,0.5310777282076222,0.010562876339203544,0.9678608518669157,0.9796195579574118,0.9771422233101151,0.9821942118592273,4815.5,3835.6666666666665,1.0052241414950356,0.9561021457764196,0.939562628574898,0.9736856894736065,3510.8,1450.7,1.0370306891616998
4,0.1783056454733014,0.04854919335671833,0.006958898069569841,0.4911902169031756,0.010556432235586857,0.9702464205681441,0.980241400811119,0.9796901990557009,0.9808885290283279,4234.166666666667,4139.0,1.0012512890776681,0.9602514403251693,0.9516010612572957,0.9695175418076577,2769.5,1680.9,1.0194841929311083
5,0.16494510136544704,0.043945365718432834,0.005952904545535732,0.46018731806959423,0.010555982639613961,0.9719477042144804,0.9809137136705606,0.9837652495882291,0.9781643623837896,3377.1666666666665,4643.5,0.9943285721188232,0.9629816947584002,0.9639021599060007,0.9624330109681383,2023.0,2072.1,0.9989155849762058
6,0.16189608869275876,0.042829162308147976,0.006048690224166161,0.4520729487495763,0.010554926777591131,0.9727675965913479,0.9813834344252443,0.9811506091268086,0.9816977179498728,3937.8333333333335,3902.8333333333335,1.0006008920954248,0.9641517587574515,0.9602546046687468,0.9684315957674847,2248.3,1741.0,1.008973517001917
7,0.15296659764966794,0.04004054942301342,0.005540445962521646,0.42954241537622045,0.010561207409149833,0.9732218064113378,0.9818311461436559,0.9806337313818476,0.9831092467369693,4037.0,3622.5,1.0025704668384459,0.9646124666790197,0.9600499506939333,0.9695449470926298,2261.6,1679.7,1.010325783522551
8,0.15341578570327588,0.04035697132349014,0.005599698064283335,0.4298364647797176,0.01056011750396075,0.9726241980475414,0.9813632731508247,0.9777056007473418,0.9851227916249105,4622.5,3241.8333333333335,1.0076282662191398,0.963885122944258,0.9539607141073987,0.9743972947182371,2637.6,1411.0,1.0219574682819512
9,0.14827583410910197,0.03820085525512695,0.00537157864476155,0.4188136003379311,0.010557399522180535,0.9734779604843655,0.9818138115781753,0.9802288813561201,0.9834829490055096,4086.5,3580.5,1.0033567998516866,0.9651421093905558,0.9598632747691613,0.9708446381598262,2277.5,1606.8,1.0119028986499425
10,0.14389294958008186,0.036953123552458625,0.0051770060838732335,0.4070512812052454,0.010560587522507246,0.9740551680508494,0.9818013099377856,0.9803779941452618,0.9833110138113161,4057.5,3627.1666666666665,1.003027031281339,0.966309026163913,0.9619241131760712,0.9710447835582986,2153.5,1596.3,1.0098731747387
11,0.13938341502632415,0.03522965418440955,0.004784162123022335,0.3974783934120621,0.010560478524504495,0.9749203202441895,0.9822961362097877,0.9812976675587578,0.983366344107241,3835.1666666666665,3599.0,1.0021390080982349,0.9675445042785913,0.9645878806881187,0.9707971042213883,1997.7,1610.9,1.0068074213225617
12,0.13761388137936592,0.034665120499474664,0.0047370118263643235,0.39284699356981684,0.010561561627712632,0.9749054044281675,0.9819773616479811,0.9792163009652,0.9848250569438624,4295.0,3296.8333333333335,1.005770039825565,0.9678334472083538,0.9617202844885562,0.974260569802208,2168.7,1419.6,1.0133541539403956
13,0.13671968132257462,0.034525892564228604,0.004747294883210478,0.3897859730890819,0.010558067097528172,0.9751297561991201,0.9822086870079129,0.981520185401203,0.9829803804501486,3765.5,3718.6666666666665,1.001514548368662,0.9680508253903273,0.9690676426399776,0.9672866498199044,1730.4,1805.3,0.9984685046687055
14,0.13338777196726628,0.033240023468221934,0.0046288136675554726,0.3820757402905396,0.010561527567915618,0.9755876744896239,0.982214936482004,0.9817229714721759,0.9827854730329495,3737.6666666666665,3750.0,1.001106664318751,0.9689604124972439,0.9647285978197038,0.9734387658854816,1990.4,1466.2,1.009325511502029
15,0.13294425646641425,0.032927079924515316,0.004556235537165776,0.3818437661975622,0.01056011750396075,0.9756767176457948,0.9822432272553883,0.9805174935768154,0.9840494077801675,3991.5,3479.3333333333335,1.0036367029917928,0.9691102080362013,0.9689419454690317,0.9694773771479784,1738.4,1684.9,1.0008084050491806
16,0.12844210224492209,0.03171490877866745,0.004337079282517412,0.36956045643559526,0.010559558909985103,0.9756830234163119,0.9824296574103263,0.9789333301123384,0.9860156152763947,4305.333333333333,3070.3333333333335,1.0072680590942493,0.9689363894222975,0.9611347456554743,0.9770604779963363,2207.6,1265.7,1.016849947818444
17,0.12732790410518646,0.031439314995493205,0.004248910292517394,0.36655871250799726,0.010555989449910288,0.9765760268919355,0.9826389397212129,0.9813320592219391,0.9840155174810822,3817.5,3456.3333333333335,1.002766008700742,0.9705131140626582,0.9682082917836885,0.9729836829942062,1783.2,1491.1,1.0051255996050545
18,0.12901008262165956,0.03173897308962686,0.0044062249279314914,0.37145954210843357,0.01055763113046331,0.976172523346974,0.9820195871877538,0.9832724678061583,0.9808662769059578,3385.1666666666665,4191.333333333333,0.9975668137748169,0.9703254595061941,0.9725568505817025,0.9682549234000172,1525.7,1753.0,0.9957531794409105
19,0.12710974471909658,0.0315701642206737,0.004340967317278098,0.36479445546865463,0.01056073057199163,0.9763505886475844,0.9823127118535925,0.9810575018646611,0.9836577668074636,3807.0,3614.3333333333335,1.0026724101541786,0.9703884654415763,0.9696577203105166,0.9712847860829834,1697.9,1585.1,1.0018799672715952
20,0.12268343301756042,0.02992625960281917,0.004017824315399464,0.35495739536626,0.010561936293795173,0.9764554271180105,0.9828134440084405,0.981491616363496,0.9842080880959935,3757.0,3453.3333333333335,1.0027929124626582,0.9700974102275804,0.9634547399947693,0.9769879982683415,2067.9,1270.3,1.0142675558449739
