task,transform,stage,relative_l2,cosine,subject
brain,axis0_+20deg,canvas_level0,0.3392861783504486,0.9412580728530884,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,output_logits,0.2010740041732788,0.9795854687690735,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,query_mask_embedding,0.0051835025660693645,0.9999865889549255,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,input,0.15627270936965942,0.9882155656814575,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level0,0.5181209444999695,0.8554173707962036,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level1,0.39371609687805176,0.919556736946106,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level2,0.4339207708835602,0.9019014835357666,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level3,0.2620617151260376,0.9650534391403198,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level4,0.42411795258522034,0.905938446521759,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,canvas_level4,0.42411795258522034,0.905938446521759,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,canvas_level3,0.5113411545753479,0.862115204334259,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,canvas_level2,0.5509393811225891,0.840035617351532,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,canvas_level1,0.47242802381515503,0.8832011222839355,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,canvas_level0,0.4206351339817047,0.9087841510772705,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,output_logits,0.2697635591030121,0.962945818901062,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,query_mask_embedding,0.0101223299279809,0.9999602437019348,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,input,0.1476660817861557,0.9894204139709473,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,encoder_level0,0.37295961380004883,0.9286903142929077,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,encoder_level1,0.23469211161136627,0.9721407890319824,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,encoder_level2,0.27194517850875854,0.9623221158981323,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,encoder_level3,0.19515123963356018,0.9807746410369873,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,encoder_level4,0.17953267693519592,0.9839726686477661,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,canvas_level4,0.17953267693519592,0.9839726686477661,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,canvas_level3,0.27951669692993164,0.9601673483848572,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,canvas_level2,0.296750545501709,0.9550041556358337,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,canvas_level1,0.24667610228061676,0.9691164493560791,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,canvas_level0,0.2120959758758545,0.9772900342941284,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,output_logits,0.08965791016817093,0.9959918260574341,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,query_mask_embedding,0.009216603823006153,0.9999699592590332,POLYIC_20190510_mouse34__E2_P1
