transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
resampling_floor,1.0,0.992222447954799,0.992222447954799,0.0,064
axis0_+5deg,0.9962304235117267,0.9915791658339355,0.992222447954799,-0.0006432821208635087,064
axis0_+10deg,0.9960322254631787,0.9914450404875808,0.992222447954799,-0.0007774074672182163,064
axis0_+20deg,0.9951963549826551,0.990965018998253,0.992222447954799,-0.001257428956546014,064
axis0_+30deg,0.9938383611461532,0.9900795750863587,0.992222447954799,-0.002142872868440282,064
axis1_+5deg,0.9961952565232385,0.9912521216869042,0.992222447954799,-0.0009703262678947278,064
axis1_+10deg,0.9960394370944636,0.9913931436907367,0.992222447954799,-0.0008293042640622472,064
axis1_+20deg,0.9951695443984705,0.9907586074613983,0.992222447954799,-0.0014638404934006477,064
axis1_+30deg,0.9937976396200887,0.9899592423879165,0.992222447954799,-0.0022632055668824202,064
axis2_+5deg,0.9962928779598574,0.9913332181856565,0.992222447954799,-0.0008892297691425188,064
axis2_+10deg,0.9960833283856226,0.9914676586833129,0.992222447954799,-0.0007547892714860893,064
axis2_+20deg,0.9951371425397562,0.9910759703850444,0.992222447954799,-0.0011464775697546115,064
axis2_+30deg,0.9941715652087277,0.9904907480662729,0.992222447954799,-0.0017316998885260615,064
resampling_floor,1.0,0.992577197968032,0.992577197968032,0.0,007
axis0_+5deg,0.9957539851251442,0.9916021508636252,0.992577197968032,-0.0009750471044067677,007
axis0_+10deg,0.9953598654553977,0.9918582823673187,0.992577197968032,-0.0007189156007133546,007
axis0_+20deg,0.9945228838603045,0.9904910392093128,0.992577197968032,-0.002086158758719203,007
axis0_+30deg,0.9931842350309382,0.9896119540912729,0.992577197968032,-0.002965243876759116,007
axis1_+5deg,0.9958060737335337,0.9921751098435849,0.992577197968032,-0.0004020881244470864,007
axis1_+10deg,0.9957256810037328,0.9919015385973332,0.992577197968032,-0.0006756593706988001,007
axis1_+20deg,0.9943187151131012,0.9911341018765278,0.992577197968032,-0.0014430960915041702,007
axis1_+30deg,0.9932834378193267,0.9896801480015109,0.992577197968032,-0.0028970499665210703,007
axis2_+5deg,0.9967915974089803,0.9921468205511284,0.992577197968032,-0.00043037741690366005,007
axis2_+10deg,0.9964739049638692,0.9918184173820038,0.992577197968032,-0.0007587805860281849,007
axis2_+20deg,0.995232649994752,0.9907432683955826,0.992577197968032,-0.0018339295724494331,007
axis2_+30deg,0.9937341002101537,0.9895734701821123,0.992577197968032,-0.0030037277859197298,007
resampling_floor,0.9999969839637352,0.9930148776774543,0.9930179134534799,-3.0357760255617094e-06,043
axis0_+5deg,0.995360182090967,0.9920068073396157,0.9930179134534799,-0.0010111061138642352,043
axis0_+10deg,0.9951312396056786,0.9922001108246802,0.9930179134534799,-0.0008178026287997131,043
axis0_+20deg,0.9941776582318514,0.991530705332976,0.9930179134534799,-0.0014872081205038468,043
axis0_+30deg,0.9933122267450626,0.9911511359457977,0.9930179134534799,-0.0018667775076821602,043
axis1_+5deg,0.9962092860419635,0.9924520333051767,0.9930179134534799,-0.0005658801483031661,043
axis1_+10deg,0.9953736299931405,0.9923672422698318,0.9930179134534799,-0.0006506711836481438,043
axis1_+20deg,0.9946329927483487,0.992383189279105,0.9930179134534799,-0.0006347241743749343,043
axis1_+30deg,0.9932594331631047,0.9910124591750332,0.9930179134534799,-0.0020054542784466722,043
axis2_+5deg,0.9964200297375795,0.9924482456113907,0.9930179134534799,-0.0005696678420892276,043
axis2_+10deg,0.995850622406639,0.9923559199421268,0.9930179134534799,-0.0006619935113530984,043
axis2_+20deg,0.9946969354376762,0.9916797000955283,0.9930179134534799,-0.0013382133579515898,043
axis2_+30deg,0.9931719803671796,0.9907913078635955,0.9930179134534799,-0.0022266055898844117,043
resampling_floor,1.0,0.992422193260711,0.992422193260711,0.0,078
axis0_+5deg,0.9969612829774512,0.9918491079962425,0.992422193260711,-0.0005730852644685314,078
axis0_+10deg,0.9968845311444537,0.9919133929303698,0.992422193260711,-0.0005088003303411748,078
axis0_+20deg,0.996432219331517,0.9918048752483449,0.992422193260711,-0.000617318012366086,078
axis0_+30deg,0.9956939356772684,0.9913386973384389,0.992422193260711,-0.001083495922272082,078
axis1_+5deg,0.9964760541635185,0.9914534121744267,0.992422193260711,-0.0009687810862842872,078
axis1_+10deg,0.9965734719219038,0.9913590138169718,0.992422193260711,-0.0010631794437392372,078
axis1_+20deg,0.9953010573132022,0.9907892123845069,0.992422193260711,-0.0016329808762041154,078
axis1_+30deg,0.9941932121286445,0.9902773086017873,0.992422193260711,-0.002144884658923707,078
axis2_+5deg,0.9963400837545954,0.9915880975165933,0.992422193260711,-0.0008340957441177466,078
axis2_+10deg,0.9960771473883461,0.9915857870517458,0.992422193260711,-0.0008364062089651902,078
axis2_+20deg,0.9950188098740076,0.9909411121060429,0.992422193260711,-0.0014810811546681624,078
axis2_+30deg,0.9942501815355349,0.990204374327716,0.992422193260711,-0.002217818932994997,078
resampling_floor,0.9999969232757268,0.9924171345074214,0.9924140816301419,3.052877279530186e-06,009
axis0_+5deg,0.9954510993176648,0.9922965044618646,0.9924140816301419,-0.00011757716827731635,009
axis0_+10deg,0.9952646033720458,0.9914789343742496,0.9924140816301419,-0.0009351472558922769,009
axis0_+20deg,0.9941036465020614,0.9912169712866075,0.9924140816301419,-0.0011971103435344244,009
axis0_+30deg,0.9932149879531419,0.9897949451597521,0.9924140816301419,-0.0026191364703898046,009
axis1_+5deg,0.996276987223507,0.9923119790880905,0.9924140816301419,-0.00010210254205134106,009
axis1_+10deg,0.9959783211184332,0.9918409822841555,0.9924140816301419,-0.000573099345986372,009
axis1_+20deg,0.9949766088719867,0.9914955505706609,0.9924140816301419,-0.0009185310594810314,009
axis1_+30deg,0.993361835489503,0.9909203059462127,0.9924140816301419,-0.001493775683929166,009
axis2_+5deg,0.9967310202171933,0.9919304703224734,0.9924140816301419,-0.0004836113076684967,009
axis2_+10deg,0.9963860020686598,0.9918313830016435,0.9924140816301419,-0.0005826986284983571,009
axis2_+20deg,0.9952404994704824,0.9912767254169257,0.9924140816301419,-0.0011373562132162007,009
axis2_+30deg,0.9938731945330044,0.9905233559085044,0.9924140816301419,-0.0018907257216375095,009
resampling_floor,1.0,0.9935452247046076,0.9935452247046076,0.0,099
axis0_+5deg,0.9954991183840134,0.9925886576032018,0.9935452247046076,-0.0009565671014057919,099
axis0_+10deg,0.9955732374115549,0.9924063162127469,0.9935452247046076,-0.0011389084918607129,099
axis0_+20deg,0.9938798410508761,0.9916119996292596,0.9935452247046076,-0.0019332250753479885,099
axis0_+30deg,0.9928608561825397,0.9904948741317433,0.9935452247046076,-0.003050350572864291,099
axis1_+5deg,0.9964386380691796,0.9931816950569224,0.9935452247046076,-0.00036352964768515683,099
axis1_+10deg,0.9957464130487991,0.9928737664399502,0.9935452247046076,-0.0006714582646574208,099
axis1_+20deg,0.9952012116747333,0.9926381727620123,0.9935452247046076,-0.0009070519425953272,099
axis1_+30deg,0.994439221645568,0.9920461718820452,0.9935452247046076,-0.0014990528225623523,099
axis2_+5deg,0.9968687452283185,0.9928115098409553,0.9935452247046076,-0.0007337148636522572,099
axis2_+10deg,0.9966494280297656,0.9928190837429526,0.9935452247046076,-0.0007261409616550196,099
axis2_+20deg,0.9956138654454595,0.9922021910218147,0.9935452247046076,-0.0013430336827928713,099
axis2_+30deg,0.9944458782842099,0.9912836930703295,0.9935452247046076,-0.0022615316342781133,099
