domain,method,subjects,mean_net_volume_change_percent,mean_dice,mean_hd95_mm,mean_assd_mm,total_lost_voxels,total_added_voxels,mean_inward_shift_mm,mean_outward_shift_mm,binary_values_verified
CAMRI,old,40,-2.5775680559219722,0.9845598378389397,0.13750000204890966,0.028632511007655424,226355,12874,0.14035765815820422,0.06250000093132257,True
CAMRI,corrected,40,0.12092864894006243,0.9926412439803947,0.06250000093132257,0.007969814562622557,46377,46006,0.13787876287891682,0.13944702308865292,True
Mouse,old,101,-4.042144551308553,0.9758020991318328,0.09998885078940804,0.02692607291765977,519466,42639,0.10766931030433453,0.09943827237282815,True
Mouse,corrected,101,-0.0840436976998784,0.9817122931288919,0.09941213017348016,0.01924694587771237,222292,212552,0.09959103084800947,0.10247068443938197,True
