domain,split,subject,original_voxels,old_dice,old_hd95_mm,old_assd_mm,old_added_voxels,old_lost_voxels,old_net_volume_change_percent,old_mean_inward_shift_mm,old_mean_outward_shift_mm,old_unique_values,corrected_dice,corrected_hd95_mm,corrected_assd_mm,corrected_added_voxels,corrected_lost_voxels,corrected_net_volume_change_percent,corrected_mean_inward_shift_mm,corrected_mean_outward_shift_mm,corrected_unique_values
CAMRI,train,030,137126,0.9881492437370537,0.10000000149011612,0.008958316957339021,383,2838,-1.7903242273529454,0.10370730258255428,0.10000000149011612,"0,1",0.9903123282085634,0.10000000149011612,0.007139768864266457,1544,1117,0.311392441987661,0.10000000149011612,0.10313879601860103,"0,1"
CAMRI,train,025,151932,0.9889146567717997,0.10000000149011612,0.008579886984884547,661,2685,-1.332174920359108,0.10061927215103743,0.10000000149011612,"0,1",0.9903448547461833,0.10000000149011612,0.007397649053388583,1893,1049,0.5555116762762289,0.10032547466583097,0.10288833699185872,"0,1"
CAMRI,train,003,133559,0.9878855623697169,0.10000000149011612,0.008938988977977734,449,2759,-1.7295726982082824,0.10166878116559333,0.10000000149011612,"0,1",0.9898813886354458,0.10000000149011612,0.007467732101701381,1508,1198,0.23210715863401193,0.10000000149011612,0.10357080811550713,"0,1"
CAMRI,train,066,266844,0.979482099900948,0.20000000298023224,0.0606358430710073,0,10730,-4.021075984470327,0.2048573068276658,0.0,"0,1",0.9971235772785135,0.0,0.008293882780929152,225,1307,-0.4054803555635502,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,train,020,151291,0.9889326168168289,0.10000000149011612,0.008523977410998852,542,2782,-1.4805903854161846,0.10050217844758035,0.10000000149011612,"0,1",0.9905036369751445,0.10000000149011612,0.007300972665140577,1786,1094,0.4573966726374999,0.10018281684933023,0.10308457061758154,"0,1"
CAMRI,train,006,134778,0.9881790499846627,0.10000000149011612,0.008907727652224785,463,2697,-1.657540548160679,0.10114197369375587,0.10000000149011612,"0,1",0.9900065931298105,0.10000000149011612,0.00750264152121957,1560,1138,0.3131074804493315,0.10000000149011612,0.10358454198714326,"0,1"
CAMRI,train,042,132670,0.9875495318715252,0.10000000149011612,0.009221560071663713,448,2826,-1.7924172759478405,0.10274083111774872,0.10000000149011612,"0,1",0.9896794852521122,0.10000000149011612,0.007524372580131759,1739,1007,0.5517449310318836,0.1000411349130104,0.10307266108427088,"0,1"
CAMRI,train,070,244766,0.9781703870383281,0.20000000298023224,0.06091222158659098,0,10458,-4.272652247452669,0.20476319745926197,0.0,"0,1",0.9965694261362241,0.0,0.009387188803965907,346,1330,-0.40201661995538596,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,train,102,137993,0.9882432861823003,0.10000000149011612,0.008520629487555694,517,2702,-1.5834136514171009,0.10076976426521428,0.10000000149011612,"0,1",0.9901748145577582,0.10000000149011612,0.007055810371432286,1684,1034,0.47103838600508724,0.1000967132903967,0.10312382115788694,"0,1"
CAMRI,train,100,163147,0.9896262550502946,0.10000000149011612,0.007782771941390121,529,2832,-1.411610388177533,0.10051901579198262,0.10000000149011612,"0,1",0.9912864758397739,0.10000000149011612,0.006528909834401802,1759,1090,0.41005963946624824,0.10000000149011612,0.1029435316815982,"0,1"
CAMRI,train,005,130575,0.987355082128181,0.10000000149011612,0.009518306335226408,401,2870,-1.890867317633544,0.10359628040905663,0.10000000149011612,"0,1",0.9898711605499497,0.10000000149011612,0.00753581163469935,1415,1232,0.1401493394600804,0.10008117032249446,0.10322003629859594,"0,1"
CAMRI,train,088,262403,0.9784857703993942,0.20000000298023224,0.06253969207420705,0,11053,-4.21222318342397,0.2062698054124344,0.0,"0,1",0.9969071102099728,0.0,0.009113426051373509,298,1322,-0.39023944086005113,0.21361779378426557,0.20000000298023224,"0,1"
CAMRI,train,125,116971,0.9868721141285369,0.10000000149011612,0.009704976544713884,526,2519,-1.7038411230133965,0.10106669692820598,0.10000000149011612,"0,1",0.9888582949014125,0.10000000149011612,0.00817627603554493,1643,971,0.5745013721349737,0.10000000149011612,0.10322698486040253,"0,1"
CAMRI,train,120,255154,0.9788693501524769,0.20000000298023224,0.06246951533883413,0,10560,-4.1386770342616614,0.20497370378435645,0.0,"0,1",0.9967076184451944,0.0,0.00943585520964804,211,1465,-0.4914678978185723,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,train,114,247702,0.9787190180609011,0.20000000298023224,0.06182209968019995,0,10323,-4.16750773106394,0.2043491761739195,0.0,"0,1",0.9968927136562807,0.0,0.008913171216936345,227,1309,-0.43681520536774027,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,train,050,244336,0.9775559949366559,0.20000000298023224,0.06227392527111108,0,10727,-4.390265863401218,0.20474554995997962,0.0,"0,1",0.9966961639818299,0.0,0.009066074667986219,277,1334,-0.4326010084473839,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,train,071,251127,0.977955765016147,0.20000000298023224,0.06258215526240278,0,10833,-4.313753598776715,0.20463562781356898,0.0,"0,1",0.9966616848015868,0.0,0.009326425009440881,285,1388,-0.439219996256874,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,train,081,247423,0.9784668104827472,0.20000000298023224,0.06167916455202414,0,10431,-4.215857054517971,0.204680223025979,0.0,"0,1",0.996938738322866,0.0,0.008688197601934854,290,1222,-0.37668284678465624,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,train,097,153279,0.9891094736081316,0.10000000149011612,0.008079302892553639,575,2740,-1.412457022814606,0.10045826241614561,0.10000000149011612,"0,1",0.990596875599689,0.10000000149011612,0.006937415000833947,1892,999,0.5825977465928144,0.10000000149011612,0.10313068543842406,"0,1"
CAMRI,train,024,155057,0.989141556041329,0.10000000149011612,0.008345859664921757,550,2793,-1.4465648116499095,0.10051503108285512,0.10000000149011612,"0,1",0.9909605610242553,0.10000000149011612,0.00698294964234767,1778,1032,0.4811133970088419,0.10009690071636623,0.10288878003340209,"0,1"
CAMRI,train,126,119010,0.9872641409542364,0.10000000149011612,0.009396287968401137,546,2461,-1.6091084782791363,0.10054387700861668,0.10000000149011612,"0,1",0.9893773369230705,0.10000000149011612,0.007873338955413376,1673,864,0.6797748088395933,0.10000000149011612,0.10269870316204942,"0,1"
CAMRI,train,018,160665,0.9889395170015335,0.10000000149011612,0.008502913018792342,540,2987,-1.5230448448635359,0.10023910881285322,0.10000000149011612,"0,1",0.9906891402279437,0.10000000149011612,0.007123468850214054,1883,1116,0.47739084430336415,0.10008960722621837,0.10294767106978038,"0,1"
CAMRI,train,131,116830,0.98749455394079,0.10000000149011612,0.009049172764726988,529,2370,-1.5757938885560216,0.10056176135076483,0.10000000149011612,"0,1",0.9894564438530044,0.10000000149011612,0.0076352288014379715,1634,838,0.6813318496961397,0.10000000149011612,0.10281381459345362,"0,1"
CAMRI,train,022,156105,0.9894069504593546,0.10000000149011612,0.00813080931645754,592,2693,-1.3458889849780595,0.1006725859179701,0.10000000149011612,"0,1",0.9909378885759859,0.10000000149011612,0.006905400811015718,1733,1102,0.4042151116235867,0.10027223379907288,0.10317890539182027,"0,1"
CAMRI,train,073,241872,0.9778883068972002,0.20000000298023224,0.06137771802217408,0,10465,-4.326668651187405,0.20455467464830632,0.0,"0,1",0.9967912267291434,0.0,0.008756691522736865,272,1277,-0.415509029569359,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,train,023,135758,0.9882498729264755,0.10000000149011612,0.008560666812300671,590,2577,-1.4636338190014584,0.10059700484828847,0.10000000149011612,"0,1",0.9899207984049526,0.10000000149011612,0.007300166310651223,1786,959,0.6091722034797212,0.10000000149011612,0.10327010861021106,"0,1"
CAMRI,train,021,154274,0.9889062285747866,0.10000000149011612,0.008409862173923565,574,2824,-1.4584440670495353,0.10057412343335946,0.10000000149011612,"0,1",0.9903391014200357,0.10000000149011612,0.007303351322310828,1864,1124,0.4796660487185138,0.10000000149011612,0.10348881749127606,"0,1"
CAMRI,train,063,252750,0.9787197934407749,0.20000000298023224,0.06049552836299199,0,10533,-4.1673590504451035,0.20427081085009652,0.0,"0,1",0.9969362720812344,0.0,0.008651619250522324,330,1216,-0.35054401582591493,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,validation,035,134029,0.9876621346202387,0.10000000149011612,0.00966727842059779,330,2945,-1.9510702907579702,0.10722577374968065,0.10000000149011612,"0,1",0.9903722506122176,0.10000000149011612,0.007124454870572448,1406,1177,0.1708585455386521,0.10000000149011612,0.10335848988372713,"0,1"
CAMRI,validation,112,264222,0.9794300038818601,0.20000000298023224,0.061127970218773024,0,10651,-4.031079925214403,0.204500754469518,0.0,"0,1",0.9969234270973616,0.0,0.00899800790235125,194,1428,-0.46703151138058147,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,validation,123,121544,0.9873548965042448,0.10000000149011612,0.009322704868745717,541,2508,-1.618343974198644,0.10101215367070276,0.10000000149011612,"0,1",0.9892206726825267,0.10000000149011612,0.007867016871785537,1670,958,0.5857960903047456,0.10000000149011612,0.10337323773695256,"0,1"
CAMRI,validation,094,239258,0.9782831032678901,0.20000000298023224,0.06141751195571356,0,10171,-4.25105952570029,0.20477889721604461,0.0,"0,1",0.996871361439425,0.0,0.008779488546358905,251,1243,-0.4146151852811609,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,validation,109,236523,0.978368572230741,0.20000000298023224,0.0601515165306901,0,10016,-4.234683307754426,0.20445616785897294,0.0,"0,1",0.9964928192858914,0.0,0.009626305848598058,249,1406,-0.48917018640893273,0.20005892382924295,0.20000000298023224,"0,1"
CAMRI,validation,127,122936,0.9875446882482206,0.10000000149011612,0.009260924567005854,539,2499,-1.5943255027005923,0.100815718841641,0.10000000149011612,"0,1",0.9897046947728093,0.10000000149011612,0.007689666601980932,1544,993,0.4482006897898093,0.10010070642615854,0.10300465950028971,"0,1"
CAMRI,test,064,261049,0.9788533227978079,0.20000000298023224,0.062135257697884944,0,10812,-4.141751165490004,0.20496504908488244,0.0,"0,1",0.9969001740892942,0.0,0.008962169438116861,257,1358,-0.42175989948247267,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,test,007,145752,0.9874408584273711,0.10000000149011612,0.00991616234993535,418,3208,-1.9142104396509139,0.10670550964403248,0.10000000149011612,"0,1",0.9903626176418209,0.10000000149011612,0.0072832912547211555,1649,1165,0.3320709149788682,0.10000000149011612,0.1031398860303326,"0,1"
CAMRI,test,043,132823,0.9881073527848235,0.10000000149011612,0.008957530699574673,421,2711,-1.724098988879938,0.10267899145987644,0.10000000149011612,"0,1",0.9900953640592475,0.10000000149011612,0.007429320232683068,1564,1072,0.37041777403010023,0.10000000149011612,0.10325756344223114,"0,1"
CAMRI,test,078,244363,0.9783941972031188,0.20000000298023224,0.06161417015969905,0,10336,-4.2297729197955505,0.20455250504938402,0.0,"0,1",0.9967358052637191,0.0,0.009141192000137294,291,1301,-0.4133195287338918,0.20000000298023224,0.20000000298023224,"0,1"
CAMRI,test,009,130368,0.9874378951031376,0.10000000149011612,0.0094754159005609,574,2675,-1.6115918016691213,0.1034536380391812,0.10000000149011612,"0,1",0.9897850573920501,0.10000000149011612,0.007541857589713834,1559,1109,0.34517673048600883,0.10009017281697827,0.10265691982587852,"0,1"
CAMRI,test,099,154965,0.9889834996150235,0.10000000149011612,0.00833411673944029,636,2755,-1.3674055431871712,0.10056723986510109,0.10000000149011612,"0,1",0.9907638044114903,0.10000000149011612,0.007026014876257371,1837,1033,0.5188268318652599,0.10009680691266222,0.10281854781935781,"0,1"
Mouse,train,POLYIC_20190510_mouse30__E2_P1,104710,0.9750230455203898,0.10000000149011612,0.026819384264252708,365,4756,-4.193486772992073,0.10798444474135133,0.10000000149011612,"0,1",0.9813925254639919,0.10000000149011612,0.018811500474963456,1845,2048,-0.1938687804412186,0.10004882961584372,0.10287367828002429,"0,1"
Mouse,train,POLYIC_20190510_mouse32__E2_P1,112575,0.975310266591038,0.10000000149011612,0.027339423617333627,333,5108,-4.241616699977793,0.10733633901858598,0.10000000149011612,"0,1",0.9811064087061668,0.10000000149011612,0.02002755664567361,2022,2228,-0.18298911836553408,0.10008976809827601,0.10292940506588201,"0,1"
Mouse,train,POLYIC_20190510_mouse41__E2_P1,118452,0.9764676505536517,0.10000000149011612,0.027062735027426708,419,5047,-3.907067841826225,0.10821755888164153,0.10000000149011612,"0,1",0.982430515686738,0.10000000149011612,0.01910236438030366,2073,2089,-0.013507581129909161,0.10000000149011612,0.1026775035733326,"0,1"
Mouse,train,POLYIC_20190517_mouse30__E3_P1,113123,0.9747767040294927,0.10000000149011612,0.028054967927283868,340,5243,-4.334220273507598,0.10987161221312385,0.10000000149011612,"0,1",0.9814404211902511,0.10000000149011612,0.019463654867682277,2181,2021,0.14143896466677863,0.10014844285798863,0.10288677188988202,"0,1"
Mouse,train,POLYIC_20190517_mouse32__E3_P1,115422,0.976542183381393,0.10000000149011612,0.02603388014952627,284,5020,-4.103203895271266,0.1084148702782802,0.10000000149011612,"0,1",0.9823847123384977,0.10000000149011612,0.018664630295800663,2051,2016,0.030323508516573963,0.10000000149011612,0.10317072456479293,"0,1"
