domain,condition,error_voxels,distance_voxels_mean,distance_voxels_p95,<=1 voxel_percent,>1 to 2 voxels_percent,>2 to 3 voxels_percent,>3 to 5 voxels_percent,>5 voxels_percent,flat_errors,flat_errors_per_100_surface,high complexity_errors,high complexity_errors_per_100_surface
CAMRI,old,38341,0.14537430446651742,1.0,98.65157403301949,1.0484859549829164,0.20343757335489424,0.09650243864270625,0.0,5038,7.361837683023059,22457,32.81603904548975
CAMRI,new,27398,0.5969865761975504,1.4142135623730951,93.76596831885539,4.774071100080298,0.8431272355646398,0.5328856120884736,0.0839477334111979,3176,4.640967939912909,17267,25.231978723715166
Mouse,old,638732,0.3073735169698639,1.0,95.84739765660716,3.020672206809742,0.85372268807575,0.2503397356011598,0.0278677129061954,162368,28.573540332883997,234174,41.21185456337334
Mouse,new,585309,0.6739198148321256,1.7320508075688772,89.07858925798168,7.971515900148468,2.2205365029411817,0.6410289266011628,0.08832941232750564,139350,24.52282990113437,225582,39.699764175847385
Combined,old,677073,0.2981998949134672,1.0,96.00619135602808,2.9089920880023277,0.8168986209758771,0.24162830300425509,0.026289631989460514,167406,26.293585474649745,256631,40.30939931171297
Combined,new,612707,0.6704796438007677,1.7320508075688772,89.28819158259984,7.828537947175404,2.1589438344918532,0.6361931559456641,0.08813347978723925,142526,22.385813909656342,242849,38.14464080118997
