domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count,condition
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,1,0.504564054139125,0.001098941522964969,12698,12708,old
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,1,0.3434057286748505,0.007998577942451679,12698,12708,old
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,0,0.2588920365124331,0.0009774042868857524,12698,12708,old
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,3,0.21443185395026754,0.000539902461844155,12698,12708,old
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,4,0.17768334907145106,-0.0026600120877866285,12698,12708,old
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.17186024551463644,0.004747314344373393,12698,12708,old
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,1,0.14471199244570349,-0.0031853142167630466,12698,12708,old
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5164575829089554,0.008019843200440913,7822,8051,old
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.36504782014656567,0.025620563690416376,7822,8051,old
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,3,0.26766861259470875,0.012618753223703871,7822,8051,old
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,3,0.21823375978139362,0.011764826004865864,7822,8051,old
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.20357719537945596,0.02510621609027161,7822,8051,old
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,3,0.15861383679046082,0.0113369255145723,7822,8051,old
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.15054030555210532,0.01809336103663614,7822,8051,old
CAMRI,007,x,2,3.1999998807907124,0,0.5756929637526652,0,0.5128472222222222,-0.06284574153044298,2814,2880,old
CAMRI,007,x,3,3.1999998807907124,0,0.34506041222459133,1,0.3628472222222222,0.01778680999763088,2814,2880,old
CAMRI,007,x,4,3.1999998807907124,2,0.3034825870646766,0,0.25729166666666664,-0.04619092039800998,2814,2880,old
CAMRI,007,x,5,3.1999998807907124,2,0.2085998578535892,3,0.20347222222222222,-0.005127635631366978,2814,2880,old
CAMRI,007,x,6,3.1999998807907124,0,0.19900497512437812,4,0.18715277777777778,-0.01185219734660034,2814,2880,old
CAMRI,007,x,7,3.1999998807907124,3,0.16062544420753375,2,0.1527777777777778,-0.007847666429755956,2814,2880,old
CAMRI,007,x,8,3.1999998807907124,6,0.15636105188343993,6,0.1388888888888889,-0.017472162994551038,2814,2880,old
CAMRI,007,y,2,4.999999925494195,0,0.556926528323051,0,0.5048295454545455,-0.052096982868505504,3566,3520,old
CAMRI,007,y,3,4.999999925494195,1,0.339035333707235,1,0.3565340909090909,0.017498757201855897,3566,3520,old
CAMRI,007,y,4,4.999999925494195,0,0.3051037577117218,0,0.2650568181818182,-0.040046939529903625,3566,3520,old
CAMRI,007,y,5,4.999999925494195,0,0.2319125070106562,3,0.47954545454545455,0.24763294753479836,3566,3520,old
CAMRI,007,y,6,4.999999925494195,2,0.18900729108244532,4,0.19346590909090908,0.004458618008463755,3566,3520,old
CAMRI,007,y,7,4.999999925494195,6,0.16320807627593942,0,0.22471590909090908,0.06150783281496966,3566,3520,old
CAMRI,007,y,8,4.999999925494195,0,0.16881660123387549,4,0.21789772727272727,0.049081126038851786,3566,3520,old
CAMRI,043,x,2,3.1999998807907124,0,0.5821508588498879,1,0.5076979472140762,-0.07445291163581169,2678,2728,old
CAMRI,043,x,3,3.1999998807907124,0,0.35175504107542943,0,0.35080645161290325,-0.0009485894625261837,2678,2728,old
CAMRI,043,x,4,3.1999998807907124,2,0.2983569828230022,1,0.25733137829912023,-0.04102560452388199,2678,2728,old
CAMRI,043,x,5,3.1999998807907124,1,0.21135175504107542,2,0.22983870967741934,0.018486954636343922,2678,2728,old
CAMRI,043,x,6,3.1999998807907124,0,0.21135175504107542,0,0.17705278592375367,-0.03429896911732175,2678,2728,old
CAMRI,043,x,7,3.1999998807907124,3,0.15571321882001493,2,0.15762463343108504,0.0019114146110701113,2678,2728,old
CAMRI,043,x,8,3.1999998807907124,2,0.16019417475728157,5,0.13343108504398826,-0.026763089713293303,2678,2728,old
CAMRI,043,y,2,4.999999925494195,0,0.5787146226415094,1,0.5387115839243499,-0.04000303871715949,3392,3384,old
CAMRI,043,y,3,4.999999925494195,1,0.33726415094339623,2,0.39775413711583923,0.060489986172443,3392,3384,old
CAMRI,043,y,4,4.999999925494195,0,0.30395047169811323,1,0.30112293144208035,-0.002827540256032879,3392,3384,old
CAMRI,043,y,5,4.999999925494195,4,0.21226415094339623,3,0.5366430260047281,0.3243788750613319,3392,3384,old
CAMRI,043,y,6,4.999999925494195,2,0.2016509433962264,5,0.1991725768321513,-0.002478366564075102,3392,3384,old
CAMRI,043,y,7,4.999999925494195,6,0.15566037735849056,0,0.1935579196217494,0.03789754226325884,3392,3384,old
CAMRI,043,y,8,4.999999925494195,6,0.15683962264150944,1,0.24556737588652483,0.08872775324501539,3392,3384,old
CAMRI,078,x,2,1.5999999403953562,0,0.5036836935166994,1,0.5051554828150573,0.001471789298357895,12216,12220,old
CAMRI,078,x,3,1.5999999403953562,1,0.34372953503601833,1,0.3577741407528642,0.014044605716845848,12216,12220,old
CAMRI,078,x,4,1.5999999403953562,0,0.2687459070072037,3,0.2723404255319149,0.00359451852471121,12216,12220,old
CAMRI,078,x,5,1.5999999403953562,2,0.24353307138179436,2,0.21759410801963994,-0.025938963362154427,12216,12220,old
CAMRI,078,x,6,1.5999999403953562,2,0.17927308447937132,1,0.18518821603927987,0.005915131559908554,12216,12220,old
CAMRI,078,x,7,1.5999999403953562,0,0.16601178781925344,0,0.16333878887070377,-0.0026729989485496652,12216,12220,old
CAMRI,078,x,8,1.5999999403953562,3,0.13695153896529141,3,0.14852700490998363,0.01157546594469222,12216,12220,old
CAMRI,078,y,2,2.4999999627470975,0,0.5025013164823592,1,0.5074334898278561,0.004932173345496893,7596,7668,old
CAMRI,078,y,3,2.4999999627470975,1,0.3362295945234334,2,0.3364632237871675,0.0002336292637341031,7596,7668,old
CAMRI,078,y,4,2.4999999627470975,2,0.2539494470774092,1,0.2566510172143975,0.002701570136988296,7596,7668,old
CAMRI,078,y,5,2.4999999627470975,2,0.2095839915745129,0,0.20748565466875327,-0.00209833690575964,7596,7668,old
CAMRI,078,y,6,2.4999999627470975,4,0.17772511848341233,3,0.1717527386541471,-0.005972379829265212,7596,7668,old
CAMRI,078,y,7,2.4999999627470975,3,0.15600315955766192,3,0.15440792905581638,-0.0015952305018455404,7596,7668,old
CAMRI,078,y,8,2.4999999627470975,1,0.12914691943127962,7,0.13145539906103287,0.0023084796297532517,7596,7668,old
CAMRI,009,x,2,3.1999998807907124,0,0.5891472868217055,0,0.5052199850857569,-0.08392730173594853,2580,2682,old
CAMRI,009,x,3,3.1999998807907124,0,0.3581395348837209,0,0.36539895600298283,0.007259421119261922,2580,2682,old
CAMRI,009,x,4,3.1999998807907124,2,0.30426356589147285,2,0.2658463832960477,-0.03841718259542515,2580,2682,old
CAMRI,009,x,5,3.1999998807907124,3,0.20852713178294574,4,0.20618941088739745,-0.0023377208955482898,2580,2682,old
CAMRI,009,x,6,3.1999998807907124,0,0.2116279069767442,3,0.19090231170768082,-0.020725595269063368,2580,2682,old
CAMRI,009,x,7,3.1999998807907124,1,0.15271317829457365,2,0.14988814317673377,-0.0028250351178398803,2580,2682,old
CAMRI,009,x,8,3.1999998807907124,2,0.16162790697674417,1,0.14988814317673377,-0.011739763800010405,2580,2682,old
CAMRI,009,y,2,4.999999925494195,0,0.596255119953189,1,0.5223135642982971,-0.07394155565489191,3418,3406,old
CAMRI,009,y,3,4.999999925494195,0,0.3557636044470451,2,0.3810921902524956,0.0253285858054505,3418,3406,old
CAMRI,009,y,4,4.999999925494195,0,0.320947922761849,3,0.27451556077510275,-0.04643236198674627,3418,3406,old
CAMRI,009,y,5,4.999999925494195,1,0.23434757167934464,3,0.4870816206694069,0.25273404899006224,3418,3406,old
CAMRI,009,y,6,4.999999925494195,0,0.2141603276770041,5,0.1917204932472108,-0.022439834429793304,3418,3406,old
CAMRI,009,y,7,4.999999925494195,5,0.16881217086015213,0,0.19377568995889607,0.024963519098743947,3418,3406,old
CAMRI,009,y,8,4.999999925494195,0,0.19689877121123464,7,0.22137404580152673,0.024475274590292084,3418,3406,old
CAMRI,099,x,2,3.1999998807907124,0,0.5771979985704074,0,0.5134751773049645,-0.06372282126544293,2798,2820,old
CAMRI,099,x,3,3.1999998807907124,2,0.34774839170836314,2,0.3475177304964539,-0.00023066121190923328,2798,2820,old
CAMRI,099,x,4,3.1999998807907124,0,0.28984989278055756,0,0.26347517730496456,-0.026374715475593002,2798,2820,old
CAMRI,099,x,5,3.1999998807907124,0,0.21622587562544673,4,0.23687943262411348,0.02065355699866675,2798,2820,old
CAMRI,099,x,6,3.1999998807907124,2,0.20836311651179415,0,0.17872340425531916,-0.029639712256474993,2798,2820,old
CAMRI,099,x,7,3.1999998807907124,4,0.1529664045746962,6,0.1620567375886525,0.009090333013956287,2798,2820,old
CAMRI,099,x,8,3.1999998807907124,0,0.14653323802716225,7,0.14326241134751774,-0.003270826679644512,2798,2820,old
CAMRI,099,y,2,4.999999925494195,0,0.5454308093994779,0,0.5433403805496829,-0.002090428849794934,3830,3784,old
CAMRI,099,y,3,4.999999925494195,1,0.3488250652741514,0,0.415169133192389,0.0663440679182376,3830,3784,old
CAMRI,099,y,4,4.999999925494195,0,0.283289817232376,2,0.2809196617336152,-0.0023701554987607953,3830,3784,old
CAMRI,099,y,5,4.999999925494195,1,0.21775456919060052,3,0.5076638477801269,0.2899092785895263,3830,3784,old
CAMRI,099,y,6,4.999999925494195,4,0.20678851174934726,0,0.21855179704016914,0.011763285290821879,3830,3784,old
CAMRI,099,y,7,4.999999925494195,6,0.16736292428198432,3,0.22647991543340382,0.059116991151419496,3830,3784,old
