failure_category,severity,domain,subject,dice,severity_voxels,figure_path,explanation
Boundary Error,mild,CAMRI,009,0.9856807901644495,3706,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Boundary/example_01.png,"3,706 error voxels lie within the 0.5 mm contour band; global localization remains correct."
Boundary Error,representative,Mouse,POLYIC_20190524_polyic___E3_P1_1,0.9668679799077432,7610,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Boundary/example_02.png,"7,610 error voxels lie within the 0.5 mm contour band; global localization remains correct."
Boundary Error,severe,Mouse,POLYIC_20190517_mouse37__E3_P1,0.9656582269498677,20704,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Boundary/example_03.png,"20,704 error voxels lie within the 0.5 mm contour band; global localization remains correct."
Terminal Slice Failure,mild,Mouse,POLYIC_20190524_polyic___E4_P1_9,0.9556809389597947,66,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Terminal/example_01.png,Prediction/expert endpoints differ by 0 inferior and 1 superior slices (indices 36–37).
Terminal Slice Failure,representative,Mouse,POLYIC_20190614_polyic___E4_P1_5,0.9694760620229631,134,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Terminal/example_02.png,Prediction/expert endpoints differ by 0 inferior and 1 superior slices (indices 35–36).
Terminal Slice Failure,severe,Mouse,POLYIC_20190531_polyic_m__E3_P1_1,0.962095042914342,254,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Terminal/example_03.png,Prediction/expert endpoints differ by 0 inferior and 1 superior slices (indices 35–36).
Leakage,mild,Mouse,POLYIC_20190524_polyic___E3_P1_12,0.9638769164805885,1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Leakage/example_01.png,1 false-positive voxels extend more than 0.5 mm from expert anatomy while remaining connected to the main component.
Leakage,representative,Mouse,POLYIC_20190612_polyic___E3_P1_2,0.9668141095171818,6,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Leakage/example_02.png,6 false-positive voxels extend more than 0.5 mm from expert anatomy while remaining connected to the main component.
Leakage,severe,Mouse,POLYIC_20190510_mouse43__E9_P1,0.9561079156414293,606,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/filtered_residual_failure_analysis/Failure_Atlas/Leakage/example_03.png,606 false-positive voxels extend more than 0.5 mm from expert anatomy while remaining connected to the main component.
