condition,Dice,IoU,precision,recall,HD95_mm,false_positive_percentage,false_negative_percentage
CAMRI raw,0.9825178382361764,0.9656555426635025,0.9947846548950275,0.9705971837248472,0.13333333532015482,0.4627239741143905,3.1508809336774775
CAMRI filtered,0.9826255639476896,0.9658624619875407,0.9950078170959734,0.9705971837248472,0.13333333532015482,0.4346687614558785,3.1508809336774775
Mouse raw,0.9647620755778487,0.931976891853755,0.9816959525159081,0.9484919578265437,0.3435413572338102,1.8349381876773971,5.065085769242615
Mouse filtered,0.9656853201009344,0.9336685609196016,0.9836091985678065,0.9484919578265437,0.21633002953190603,1.6492851976193612,5.065085769242615
