domain,condition,subjects,embedding_dim,dice,iou,precision,recall,hd95_mm,assd_mm,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm
CAMRI,baseline_filtered,6,32,0.9888344176413911,0.9779172456549725,0.9889227454633153,0.9887613427188362,0.13333333532015482,0.01781695212227931,0.894310994258483,0.9390374271781865,0.9992841762771719,1.0
CAMRI,paper_width_filtered,6,32,0.9894197365532486,0.9790633339566833,0.9945900611927319,0.9843108032410982,0.13333333532015482,0.018906443223866344,0.898838292693899,0.9444858529619803,0.9986586558781214,0.9993567046306401
Mouse,baseline_filtered,80,32,0.9795373497258911,0.9599207936327362,0.9782745726101927,0.980839538566092,0.11505781976442339,0.026014212537706204,0.7986276158155088,0.9709883677088044,0.9992037904031532,0.9999015882048887
Mouse,paper_width_filtered,80,32,0.9813513000295107,0.9633985136321218,0.9887304107498291,0.9741128596692817,0.10655809953571523,0.022552132663739788,0.8169432251005869,0.9784493529760686,0.9995339582330193,0.9999970743805875
