domain,condition,subjects,dice,iou,precision,recall,hd95_mm,assd_mm,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm,fp_voxels,fn_voxels,fp_fn_ratio,total_residual_error
CAMRI,baseline_filtered,6,0.9888344176413911,0.9779172456549725,0.9889227454633153,0.9887613427188362,0.13333333532015482,0.01781695212227931,0.894310994258483,0.9390374271781865,0.9992841762771719,1.0,11622,12308,1.1407934196852862,23930
CAMRI,unetr_style_filtered,6,0.9886197313990777,0.9774979145744712,0.9882451361713485,0.9890054663782291,0.13333333532015482,0.018902291867853926,0.8940735238271792,0.9402651279516873,0.9984402573452842,0.9997767177877618,12584,11512,1.1556326720210353,24096
Mouse,baseline_filtered,80,0.9795373497258911,0.9599207936327362,0.9782745726101927,0.980839538566092,0.11505781976442339,0.026014212537706204,0.7986276158155088,0.9709883677088044,0.9992037904031532,0.9999015882048887,213959,178789,1.227544562114666,392748
Mouse,unetr_style_filtered,80,0.9809501921736649,0.9626334436007274,0.9828065499128943,0.9791810240211593,0.10938754759315024,0.02374274910725433,0.8140517317420215,0.9760283503532274,0.9990574069563914,0.9998870747091567,174905,192985,1.0811417102167247,367890
