epoch,loss,mean_dice
1,1.3365070819854736,0.369624525308609
2,0.9297055602073669,0.6155229210853577
3,0.7755867540836334,0.6785681247711182
4,0.6357921659946442,0.7220831215381622
5,0.5080092400312424,0.7721912562847137
6,0.40026187896728516,0.8278647661209106
7,0.3165494203567505,0.8676289618015289
8,0.25445112586021423,0.8846503496170044
9,0.20943127572536469,0.896604984998703
10,0.17800060659646988,0.9060007631778717
11,0.15642090886831284,0.9133166670799255
12,0.14159180223941803,0.9182208776473999
13,0.1314745917916298,0.9210573136806488
14,0.12448428571224213,0.923270583152771
15,0.1193682812154293,0.9247218072414398
16,0.11540170386433601,0.9260053336620331
17,0.11225558444857597,0.9272217154502869
18,0.10969479382038116,0.9285270571708679
19,0.10748031735420227,0.9298421442508698
20,0.10545046627521515,0.9312219321727753
21,0.10356546193361282,0.9323491156101227
22,0.10184585303068161,0.9334823489189148
23,0.10029173642396927,0.9345244765281677
24,0.0988752543926239,0.935623049736023
25,0.0975789725780487,0.9366212785243988
26,0.09640511497855186,0.9375743567943573
27,0.0953441821038723,0.9385223984718323
28,0.09436305239796638,0.9393654465675354
29,0.09343220293521881,0.9401459395885468
30,0.0925445482134819,0.9408572018146515
31,0.09170396998524666,0.9413852095603943
32,0.09091110154986382,0.9419173896312714
33,0.09016723558306694,0.9424477219581604
34,0.0894782729446888,0.9428306519985199
35,0.08884648233652115,0.9432990550994873
36,0.08826423436403275,0.9437008798122406
37,0.08772126212716103,0.9439945816993713
38,0.0872107446193695,0.9443395137786865
39,0.08672775328159332,0.9447287321090698
40,0.08626795932650566,0.9451204240322113
41,0.08583017438650131,0.9454391896724701
42,0.0854148380458355,0.9457298219203949
43,0.08502119407057762,0.945967823266983
44,0.0846463069319725,0.9461694955825806
45,0.08428767323493958,0.9464196264743805
46,0.0839436687529087,0.9466370344161987
47,0.08361287042498589,0.94686159491539
48,0.0832948200404644,0.9470543563365936
49,0.08298949897289276,0.9472589194774628
50,0.08269599452614784,0.9474430084228516
51,0.08241268247365952,0.9476418495178223
52,0.0821378231048584,0.9478043913841248
53,0.08187077194452286,0.9479854106903076
54,0.08161067217588425,0.9481650292873383
55,0.08135794848203659,0.9483241140842438
56,0.08111264184117317,0.948456346988678
57,0.0808742493391037,0.9485899209976196
58,0.08064207807183266,0.9487572610378265
59,0.08041542768478394,0.948919802904129
60,0.08019349724054337,0.949046790599823
61,0.07997673749923706,0.9492183923721313
62,0.07976464182138443,0.9493528306484222
63,0.07955721020698547,0.9494846761226654
64,0.07935383170843124,0.9496151506900787
65,0.07915396988391876,0.9497183263301849
66,0.07895711436867714,0.9498589336872101
67,0.07876304909586906,0.9499840140342712
68,0.07857180759310722,0.9501026570796967
69,0.07838376611471176,0.9502383768558502
70,0.0781984031200409,0.9503501057624817
71,0.07801588624715805,0.9505113959312439
72,0.07783570513129234,0.9506321251392365
73,0.07765788584947586,0.9507532715797424
74,0.07748226076364517,0.9508614242076874
75,0.07730907201766968,0.9509681463241577
76,0.07713823392987251,0.9510799050331116
77,0.07696939259767532,0.9511996209621429
78,0.07680250331759453,0.9512827098369598
79,0.0766373910009861,0.951408326625824
80,0.07647393271327019,0.9515098929405212
81,0.07631218433380127,0.9516198337078094
82,0.07615222781896591,0.9517189860343933
83,0.07599380984902382,0.9518102407455444
84,0.07583687081933022,0.951901376247406
85,0.07568146660923958,0.9519729316234589
86,0.07552751153707504,0.9520739316940308
87,0.0753750391304493,0.9521782994270325
88,0.07522397860884666,0.9522667527198792
89,0.07507449761033058,0.9523651003837585
90,0.0749262385070324,0.9524609446525574
91,0.07477933540940285,0.9525591433048248
92,0.07463374361395836,0.952652096748352
93,0.07448944821953773,0.9527502655982971
94,0.07434635236859322,0.9528738558292389
95,0.07420450821518898,0.9529885351657867
96,0.07406384497880936,0.9530711770057678
97,0.07392444834113121,0.9531812071800232
98,0.07378612458705902,0.9532603621482849
99,0.07364904507994652,0.9533273577690125
100,0.07351307570934296,0.953440248966217
