relative_path,extension,size_bytes,detected_format,annotation_candidate,name_keyword_matches,hidden_file
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/ba27e182-4b33-4ccd-a04b-44321b1189ec.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/bd3f3b55-0d93-44e9-9da2-cafae967ca94.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/c0e30292-f903-412a-a3c9-0ab4047e8acd.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/c40513bc-82f9-4c10-a570-8a289d6d31d2.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/c581c6fe-715b-46ca-9c8d-d42319aaaa21.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/c714ac1c-74d9-404f-af84-9379c7372d08.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/cbd13088-72fd-48d6-85e2-660b8a70436d.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/cdb5e2a1-a88e-4bc8-b4c2-520238b38226.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/d0366763-d453-4e5e-ab90-f6219de3b582.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/d6649823-c70f-40f7-87da-40324ec43bcd.dcm,.dcm,134100,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/e09a5679-4551-4c9d-aecb-93e7a9e7516f.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/e5327b83-ca2f-455e-abc3-1a4507f79820.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/eaa94ba8-1d2b-45d4-b864-f4cbd5e2b723.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/f4a13890-9c5f-4245-8fbf-539d0e873f1c.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/f6f9192a-cb0b-40b9-919b-330be1e65441.dcm,.dcm,134100,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/0159074d-43fb-4f61-9339-2e656b3525bb.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/0346a961-1e0a-45b2-9747-25e35606568e.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/0c0dd4fb-55af-46d1-a1ce-d2aa5e0ab821.dcm,.dcm,134132,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/10d36d24-3d47-468a-b9c4-299e6bd73332.dcm,.dcm,134132,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/1bc9e46f-e51e-44a7-8fd0-d9cfb299092a.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/1edbc27f-eccd-4c11-a861-e8112d4bce50.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/2c9c4310-730f-46a0-b523-91dabaf1329d.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/354a6854-da9a-4551-abf5-68c67fc5ccf7.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/3a116014-41af-4e6c-826e-d4cf09531de2.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/3c00d757-289f-4b1c-a126-d79ca1d8088f.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/4205b059-8565-4851-ab1a-0edd473b8f8d.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/422e5514-5f68-4183-bc93-c2dc44986c84.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/43329b53-7cdc-4126-9713-e4b0a48f3ee1.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/44bdacfa-2ecb-4654-be4a-8dc4eb2d41aa.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/46c82fd0-5dc7-4943-8bbc-04a585ecc47c.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/472a1799-335e-4c87-90a6-885a094a43c7.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/47cf9963-a473-49d2-90c8-3c1ad5a5b7f3.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/4810671b-cd58-4d14-b4b2-73e4c74c71db.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/5354467b-ff3e-4845-9e3b-e95835625b13.dcm,.dcm,134130,DICOM,0,,0
