slice,relative_area_drop,left_right_asymmetry,mean_boundary_probability,criteria
1,-0.18694362017804153,0.16549019607843138,0.5170038938522339,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
2,0.1313596706205274,0.20618440356618892,0.4474972188472748,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
22,-0.009974838245866284,0.029806922324050182,0.5237605571746826,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
23,-0.0028900449068516294,0.02926050718212449,0.5428125858306885,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
24,0.003012581959950381,0.03732669747600426,0.5452669262886047,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
25,-0.0019961850685356873,0.051708871967416324,0.5496835112571716,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
40,0.0022753128555176336,0.20739896110477637,0.5458442568778992,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
41,-0.0007932310946589106,0.22457067371202113,0.5419706106185913,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
42,0.006249570771238239,0.2635798203178991,0.5303186178207397,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
43,-0.0066234701223902084,0.2298669718209126,0.5018125176429749,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
44,-0.0026365348399246705,0.22434259954921112,0.4788934588432312,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
45,0.0844988344988345,0.2597071928707829,0.4774830639362335,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
