domain,scope,subject_count,mean_dice,median_dice,p95_dice,max_dice,mean_hd95_mm,median_hd95_mm,p95_hd95_mm,max_hd95_mm,mean_assd_mm,median_assd_mm,p95_assd_mm,max_assd_mm,total_lost_voxels,total_added_voxels,mean_volume_change_percent
CAMRI,processed_full,40,0.9850672325044231,0.9877621728689112,0.989178847162111,0.9898197078023003,0.18799999989569188,0.20000000298023224,0.25,0.25,0.03883944355938817,0.032103614765602695,0.052949849867389834,0.05351925499389208,249659,0,-2.939047369188556
CAMRI,training_tile,40,0.9850672325044231,0.9877621728689112,0.989178847162111,0.9898197078023003,0.18799999989569188,0.20000000298023224,0.25,0.25,0.03883944355938817,0.032103614765602695,0.052949849867389834,0.05351925499389208,249659,0,-2.939047369188556
CAMRI,restored_native,40,0.9845598378389397,0.9874393767652543,0.9891548257622303,0.9896262550502946,0.13750000204890966,0.10000000149011612,0.20000000298023224,0.20000000298023224,0.028632511007655424,0.009435851934481019,0.06247302417560278,0.06258215526240278,226355,12874,-2.939047369188556
Mouse,processed_full,101,0.9796783331641773,0.9794712853236098,0.9814180107526882,0.9854775612636552,0.19247524838636418,0.20000000298023224,0.25,0.25,0.032469534108006994,0.03248267766728138,0.036312765023751824,0.03926499877344815,230563,0,-3.983047082252542
Mouse,training_tile,101,0.9796783331641773,0.9794712853236098,0.9814180107526882,0.9854775612636552,0.19247524838636418,0.20000000298023224,0.25,0.25,0.032469534108006994,0.03248267766728138,0.036312765023751824,0.03926499877344815,230563,0,-3.983047082252542
Mouse,restored_native,101,0.9758020991318328,0.9756468453137941,0.9772094820922442,0.9794353001847952,0.09998885078940804,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.02692607291765977,0.027098531741564968,0.028267310169282456,0.02869192970576917,519466,42639,-3.983047082252542
Combined,processed_full,141,0.9812070989344598,0.9797904580483159,0.988837411772022,0.9898197078023003,0.19120567434645713,0.20000000298023224,0.25,0.25,0.034276600619037124,0.03231838167155319,0.05237639767380624,0.05351925499389208,480222,0,-3.6868769508868717
Combined,training_tile,141,0.9812070989344598,0.9797904580483159,0.988837411772022,0.9898197078023003,0.19120567434645713,0.20000000298023224,0.25,0.25,0.034276600619037124,0.03231838167155319,0.05237639767380624,0.05351925499389208,480222,0,-3.6868769508868717
Combined,restored_native,141,0.9782865640132815,0.9762235770995946,0.9889146567717997,0.9896262550502946,0.11063031213962127,0.10000000149011612,0.20000000298023224,0.20000000298023224,0.027410168829715278,0.026961240620898268,0.06161417015969905,0.06258215526240278,745821,55513,-3.6868769508868717
