failure_category,affected_subjects,affected_subject_percentage,average_component_size_voxels,average_slices_occupied,average_centroid_distance_mm,average_false_positive_volume_mm3,average_false_negative_volume_mm3,attributed_error_voxels,percentage_total_error_attributed
Boundary Error,86,100.0,51.06036247819823,35.616279069767444,0.34891790817399476,7.158462460372848,25.231311393190317,673653,96.92374761522458
Detached False Positive Island,32,37.2093023255814,315.10526315789474,2.807017543859649,7.5525645219184625,2.2657146784771287,0.0,17961,2.584190125950673
Detached False Negative Region,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Terminal Slice Failure,16,18.6046511627907,21.529411764705884,2.25,8.46297694744322,0.49650023328886095,0.23600006356090478,2064,0.29696388953633923
Leakage,57,66.27906976744185,11.638655462184873,2.1052631578947367,4.678696609884175,0.10993851633512106,0.0,1356,0.1950983692884089
Major Localization Failure,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
