epoch,loss,epoch_seconds,balanced_validation_dice,camri_safety_eligible,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,1.024916865995952,59.89022660255432,0.914866402867134,False,0.9114563714342907,0.9567330654980459,0.8729041886541676,12086.333333333334,43478.0,0.9118734713996363,0.9182764342999773,0.8875710731897509,0.9515156531867006,10468.5,4197.8,1.0725372177780685
2,0.28307014278003145,60.14223003387451,0.9458435371187418,False,0.940685049417155,0.9612347436633996,0.9230447991139542,11401.5,27271.666666666668,0.9600899351137341,0.9510020248203286,0.9329769828135459,0.9698736176788438,6034.0,2607.3,1.0397811938465893
3,0.2148414956671851,60.53600525856018,0.9570189805513485,False,0.9521878659179643,0.9663857572036858,0.9397972377618741,10151.0,21475.666666666668,0.9723686742681119,0.9618500951847327,0.9484454637136736,0.9757673910165325,4593.9,2097.2,1.0290424365281137
4,0.18095108254679612,60.707072257995605,0.9634251518873329,False,0.9575426582063193,0.9703265165561684,0.9464053103845264,9118.666666666666,19197.833333333332,0.9752559608336115,0.9693076455683466,0.9643003931978089,0.9744314391811371,3120.8,2213.5,1.010594709666337
5,0.16155387634145363,60.7630033493042,0.9674157120520757,False,0.9630865867608431,0.9727304461704488,0.9546453717655171,8465.0,16249.166666666666,0.9813707473279675,0.9717448373433081,0.9652294149040724,0.9784003871136351,3050.8,1869.9,1.0137177669892146
6,0.14955616117055928,60.54618525505066,0.9706699547808743,False,0.9676421533045909,0.97564211561387,0.9606904778375722,7442.5,14178.5,0.9846621043511967,0.9736977562571576,0.9686778434151014,0.9788057127666171,2736.8,1835.8,1.0105041619014696
7,0.1391634378316147,60.35414361953735,0.972756280829359,False,0.9697656963654632,0.9818550117319941,0.9587840895294816,5625.333333333333,14628.666666666666,0.9764383446820243,0.9757468652932548,0.9766097819605163,0.9749112387946708,2018.5,2173.7,0.9982910156184222
8,0.131512894295156,61.02451038360596,0.9726638151885856,False,0.969527953465987,0.9749571409509642,0.9650320113049665,7624.833333333333,12785.833333333334,0.9897706421440935,0.9757996769111843,0.9703711445984018,0.9813253175153877,2591.2,1617.7,1.0113358438955442
9,0.1278561060982091,61.66437530517578,0.9743147585973368,False,0.9718489046538904,0.979608540445164,0.964990046220067,6209.0,12677.166666666666,0.9850322778942385,0.9767806125407834,0.9767628546499146,0.9768254151832476,2008.2,2007.7,1.0000916195916363
10,0.12263131487582411,61.28755044937134,0.9738536220683038,False,0.9708670961005303,0.9829927403740233,0.9600125262842972,5213.666666666667,14448.0,0.9765119989908543,0.9768401480360772,0.9865076326184429,0.9673995778743769,1144.4,2824.1,0.9806422781684919
