epoch,loss,epoch_seconds,balanced_validation_dice,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,0.46024552253740175,250.37560987472534,0.9548517814279122,0.9759756523728251,0.9796439286027736,0.9724675616412891,4391.5,6255.166666666667,0.9926603708886258,0.9337279104829992,0.8950755688171566,0.9766496675075993,6682.3,1337.1,1.0926242149046588
2,0.22966082194553955,248.60302209854126,0.9649262012884228,0.9793506917205422,0.9834856813534659,0.9753461096850548,3562.8333333333335,5459.0,0.9917455279057115,0.9505017108563033,0.9312968905313015,0.9711346460981425,4192.3,1657.5,1.0438446992562247
3,0.1998551735388381,246.51879787445068,0.9678770705162038,0.9803596911556659,0.9811460656912968,0.9796650745746521,4022.8333333333335,4569.833333333333,0.9985189558335114,0.9553944498767416,0.9400064625014213,0.9718508829815373,3632.6,1616.7,1.0347971244376015
4,0.18159632331558637,251.03620600700378,0.9702472848834957,0.9809827114463272,0.983397213235051,0.9786920267447953,3495.1666666666665,4814.0,0.9952330326316718,0.9595118583206641,0.9507659786405703,0.9689407437377721,2942.1,1784.2,1.0199230018589462
5,0.16779148365770066,245.11607789993286,0.9716360040643786,0.9811886162194323,0.9863999520083432,0.976140859230633,2853.3333333333335,5313.166666666667,0.9896156199496101,0.9620833919093249,0.9635930684322634,0.9609804590407315,2125.3,2241.9,0.9977938964717747
6,0.16429175223623002,255.36902332305908,0.9725998467053436,0.9818314959775988,0.9833856956617447,0.9803764287580026,3519.8333333333335,4382.833333333333,0.9969744167688811,0.9633681974330885,0.9583249337901524,0.9688389116054621,2463.0,1789.7,1.0114964876006676
7,0.15439956315926143,238.39564490318298,0.9730039363377531,0.9820679850254592,0.9821059220853682,0.9821219432781012,3787.6666666666665,4029.8333333333335,1.0000536760370264,0.9639398876500469,0.9582952841583003,0.9700094128380063,2466.8,1722.1,1.0127328959105852
8,0.15444946076188767,281.9753849506378,0.9725871162372253,0.9817522251469638,0.9796675118636028,0.9839347416883735,4280.333333333333,3658.1666666666665,1.004391435465182,0.9634220073274868,0.9530258091154508,0.9744519778883374,2806.9,1465.4,1.0230641921106978
9,0.14880327667508805,248.25276517868042,0.9732366192974008,0.9819001416405463,0.9808265990108573,0.9830730570647063,4035.0,3859.0,1.0023253488850454,0.9645730969542553,0.9581635966708604,0.9714726949634583,2479.9,1636.1,1.0144105494468723
10,0.14398921600409917,6232.498393774033,0.9740844897264012,0.9820718520607828,0.9817069455378258,0.9825371778892248,3840.3333333333335,3978.6666666666665,1.0008776288241654,0.9660971273920194,0.9613042927752661,0.9712599718854381,2282.2,1649.5,1.0107787926681646
11,0.13870878650673799,613.7606859207153,0.9750570314643234,0.9824970381146995,0.9816292242502579,0.983451546876517,3838.6666666666665,3757.6666666666665,1.0018902598337232,0.9676170248139473,0.9633415683627105,0.9722187380551578,2160.4,1595.4,1.0096165845838037
12,0.13620637224188872,466.20065999031067,0.9751872378422299,0.9823080172715898,0.9798868854057731,0.9848235702798683,4240.5,3453.8333333333335,1.0050813478942855,0.96806645841287,0.9623938653209991,0.9740651973357938,2218.3,1488.5,1.0124678789989463
13,0.13331128457295044,248.1851770877838,0.9757341464738112,0.9826107463502439,0.9830683057519923,0.9822539893139263,3516.5,4045.3333333333335,0.9992027789281136,0.9688575465973785,0.9707706629191872,0.9672237893431029,1700.9,1881.9,0.9966564829929112
14,0.12881014456174203,385.70238733291626,0.9765865504338231,0.9828288036312985,0.9834263359581054,0.9823254708979677,3450.6666666666665,4013.0,0.9989080644690936,0.9703442972363476,0.9677418462935842,0.9731680259087897,1890.8,1541.8,1.0059043561232692
15,0.12667669635266066,319.24239015579224,0.9769822236000992,0.9828388968292022,0.9815458937334371,0.9842194533766347,3875.3333333333335,3589.6666666666665,1.0027613542737852,0.9711255503709962,0.9716763566435838,0.9707661625970434,1648.8,1679.4,0.9993049284903867
16,0.1211874590122274,924.6926519870758,0.9773332234602965,0.9831282263083293,0.9808310394544102,0.985513038372782,3999.6666666666665,3319.6666666666665,1.0048064147479456,0.9715382206122636,0.9662792794045307,0.9770448923059332,1985.8,1317.7,1.0114149884307566
17,0.11772310002041715,238.27507710456848,0.9785475215535007,0.9837370589839017,0.9836604527762076,0.9838869677637847,3416.5,3623.8333333333335,1.0002628056821363,0.9733579841230995,0.9718007674372775,0.9750458278902958,1643.9,1433.9,1.0035032642472526
18,0.11762324055390698,238.44496703147888,0.9784878026691901,0.9832521560738514,0.9847540110221628,0.9818576300986445,3149.6666666666665,4152.666666666667,0.9970792806972524,0.9737234492645289,0.976425707629776,0.9711620064277129,1363.9,1658.2,0.9947731450725023
19,0.1144320552370378,237.68748092651367,0.978601923663164,0.9832372995941524,0.982327699133959,0.9842466480722365,3625.6666666666665,3649.1666666666665,1.0019810360315953,0.9739665477321757,0.9729911525040247,0.975079974191053,1575.0,1432.1,1.0023364135942983
20,0.10897793833698545,242.5976541042328,0.9788663979439501,0.9839175806302304,0.9824886623303412,0.9854223302299526,3641.5,3334.3333333333335,1.0030129310334257,0.9738152152576699,0.9673328811663279,0.9805148009596817,1925.3,1119.6,1.013852585898681
