epoch,loss,epoch_seconds,balanced_validation_dice,camri_safety_eligible,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,1.3288053125143051,54.36642098426819,0.8470575316297667,False,0.8958943116607608,0.867382514374019,0.9270604812651572,45109.166666666664,23265.333333333332,1.0700886064321753,0.7982207515987726,0.6861631735161177,0.9573245730982969,38624.5,3704.7,1.4038147349092926
2,0.5580556642796312,54.45590877532959,0.9410203208093741,False,0.9466592323235173,0.9618733034430892,0.9328073332325153,11635.666666666666,22966.166666666668,0.9697304967492939,0.9353814092952308,0.911924902973978,0.9606306392850075,8093.6,3415.5,1.0545547488632752
3,0.2831259947270155,54.312411308288574,0.9528840526607807,False,0.9509913896017449,0.9552420245799155,0.9473961683149503,14814.666666666666,17962.5,0.9920361606433427,0.9547767157198164,0.9427023394030248,0.9676454462989458,5142.8,2807.4,1.0274357978433977
4,0.21575443127325603,54.316627740859985,0.9633196711565835,False,0.9613063421908361,0.9731962419397266,0.950329579377148,8297.0,17202.5,0.9764692553267676,0.9653330001223308,0.9642489335237618,0.9665844072927003,3117.7,2899.2,1.002722277530351
5,0.1863248161971569,54.53406262397766,0.9649903153970281,False,0.9666847287441497,0.9671349838956872,0.9665319027865391,10492.333333333334,11605.166666666666,0.9994335240447411,0.9632959020499066,0.9487442542426784,0.9786498032871386,4614.6,1853.1,1.0322299649276876
6,0.16871626023203135,54.585755825042725,0.9686366206724202,False,0.9684976270751334,0.9798832951426973,0.9577583101371486,6489.666666666667,14392.333333333334,0.9773775411135314,0.968775614269707,0.9686467768397258,0.9690843485480496,2727.8,2682.7,1.000775763313697
7,0.1566977733746171,54.68036985397339,0.9698432243401216,False,0.9699176237692652,0.9793141805745469,0.9611118809480875,6628.833333333333,13436.166666666666,0.9813485748680794,0.9697688249109782,0.9702690636610717,0.9694097593330451,2583.0,2654.8,0.9993823895288922
8,0.14681641211999313,54.591999530792236,0.9711604074251883,False,0.9713269825473656,0.9770585054650475,0.9661402826061453,7161.333333333333,11966.666666666666,0.9887977040770352,0.9709938323030108,0.9678477281548927,0.974259324410992,2809.0,2233.6,1.0068145193821072
9,0.14453533105552197,54.86894392967224,0.9709008631887441,False,0.9717481267602116,0.9821943616036234,0.9621031854039689,5366.833333333333,13301.666666666666,0.9795565629603539,0.9700535996172768,0.9830299319230915,0.9574755355949872,1433.5,3687.6,0.9740967226889456
10,0.138346596754023,54.83399057388306,0.969944321768381,False,0.969531594121403,0.9849245783027826,0.9554732029399494,4532.0,15779.833333333334,0.9700245990789735,0.970357049415359,0.9853264962121427,0.9558806523607937,1234.9,3824.9,0.9701734929456729
11,0.13639548793435097,54.79737401008606,0.973031505273455,True,0.9729200457719202,0.9794413029713978,0.9668846733508804,6477.666666666667,11658.5,0.9871201689593437,0.9731429647749901,0.9699459436559085,0.9764909387580168,2634.8,2040.2,1.0070112504101263
12,0.12782851792871952,54.73751926422119,0.9749918514793188,True,0.9766960965595136,0.9830370012635196,0.9706798541402275,5320.833333333333,10149.833333333334,0.9873990226419428,0.9732876063991238,0.9656193333150735,0.9812404508775481,3042.0,1628.7,1.0164924518310474
13,0.12392542205218758,54.47958302497864,0.9757483270461226,True,0.9767819748258502,0.9839288074761736,0.9700067414904954,5020.5,10371.333333333334,0.9858309641502738,0.974714679266395,0.978516529382779,0.9710502503978213,1857.8,2511.2,0.9925592867587758
14,0.1216427388467959,54.53983759880066,0.9760871792279923,True,0.9773223832252246,0.9837964651405171,0.9712152352377924,5000.5,10032.833333333334,0.987204834571411,0.97485197523076,0.9734585408318601,0.976379722900945,2319.9,2050.1,1.0032601097066092
15,0.11841674494956221,54.599185943603516,0.9765512430001912,True,0.9771375326862857,0.9877951005397817,0.96705327754828,3702.0,11499.833333333334,0.9789737235894878,0.9759649533140967,0.9816222008974037,0.9704514918132146,1580.9,2561.9,0.9887472281459356
16,0.11707986611872911,54.677605628967285,0.9775241458900928,True,0.9785496924023929,0.9837896521870885,0.9735225565589639,5323.666666666667,9046.5,0.9895323693373039,0.9764985993777928,0.9770795998131415,0.9759901984649189,1989.4,2082.3,0.9990167500174894
