transform,stage,relative_l2,cosine,subject
axis1_+4mm,encoder_level2,0.29635050892829895,0.9552564024925232,POLYIC_20190510_mouse34__E2_P1
axis1_+4mm,encoder_level3,0.2873525619506836,0.958085298538208,POLYIC_20190510_mouse34__E2_P1
axis1_+4mm,encoder_level4,0.20219531655311584,0.979485809803009,POLYIC_20190510_mouse34__E2_P1
axis1_+4mm,output_logits,0.22822946310043335,0.9736626148223877,POLYIC_20190510_mouse34__E2_P1
axis1_+6mm,input,0.11194872111082077,0.9937140345573425,POLYIC_20190510_mouse34__E2_P1
axis1_+6mm,encoder_level0,0.24816454946994781,0.9688776731491089,POLYIC_20190510_mouse34__E2_P1
axis1_+6mm,encoder_level1,0.37107568979263306,0.9287835359573364,POLYIC_20190510_mouse34__E2_P1
axis1_+6mm,encoder_level2,0.42491379380226135,0.9052366018295288,POLYIC_20190510_mouse34__E2_P1
axis1_+6mm,encoder_level3,0.410622239112854,0.9118947982788086,POLYIC_20190510_mouse34__E2_P1
axis1_+6mm,encoder_level4,0.22720421850681305,0.9738577604293823,POLYIC_20190510_mouse34__E2_P1
axis1_+6mm,output_logits,0.33140426874160767,0.9438928365707397,POLYIC_20190510_mouse34__E2_P1
axis2_+1mm,input,2.3405148112942697e-06,1.0,POLYIC_20190510_mouse34__E2_P1
axis2_+1mm,encoder_level0,1.7870665033115074e-05,1.0,POLYIC_20190510_mouse34__E2_P1
axis2_+1mm,encoder_level1,0.29031744599342346,0.9569336175918579,POLYIC_20190510_mouse34__E2_P1
axis2_+1mm,encoder_level2,0.26394185423851013,0.9645442962646484,POLYIC_20190510_mouse34__E2_P1
axis2_+1mm,encoder_level3,0.2857445478439331,0.9583086967468262,POLYIC_20190510_mouse34__E2_P1
axis2_+1mm,encoder_level4,0.30158039927482605,0.9538314342498779,POLYIC_20190510_mouse34__E2_P1
axis2_+1mm,output_logits,0.13774365186691284,0.9904994964599609,POLYIC_20190510_mouse34__E2_P1
axis2_+2mm,input,2.3405148112942697e-06,1.0,POLYIC_20190510_mouse34__E2_P1
axis2_+2mm,encoder_level0,0.04405580833554268,0.9990289807319641,POLYIC_20190510_mouse34__E2_P1
axis2_+2mm,encoder_level1,0.11253008246421814,0.9936509132385254,POLYIC_20190510_mouse34__E2_P1
axis2_+2mm,encoder_level2,0.3049544095993042,0.9523682594299316,POLYIC_20190510_mouse34__E2_P1
axis2_+2mm,encoder_level3,0.278307169675827,0.960544764995575,POLYIC_20190510_mouse34__E2_P1
axis2_+2mm,encoder_level4,0.303830087184906,0.9531786441802979,POLYIC_20190510_mouse34__E2_P1
axis2_+2mm,output_logits,0.17124152183532715,0.9852432012557983,POLYIC_20190510_mouse34__E2_P1
axis2_+4mm,input,2.3405148112942697e-06,1.0,POLYIC_20190510_mouse34__E2_P1
axis2_+4mm,encoder_level0,0.10791424661874771,0.9941601753234863,POLYIC_20190510_mouse34__E2_P1
axis2_+4mm,encoder_level1,0.2484055608510971,0.9686589241027832,POLYIC_20190510_mouse34__E2_P1
axis2_+4mm,encoder_level2,0.321529358625412,0.947206974029541,POLYIC_20190510_mouse34__E2_P1
axis2_+4mm,encoder_level3,0.3332694172859192,0.942969024181366,POLYIC_20190510_mouse34__E2_P1
axis2_+4mm,encoder_level4,0.2962413430213928,0.9557632803916931,POLYIC_20190510_mouse34__E2_P1
axis2_+4mm,output_logits,0.23998674750328064,0.9707919359207153,POLYIC_20190510_mouse34__E2_P1
axis2_+6mm,input,0.09545937180519104,0.9954333305358887,POLYIC_20190510_mouse34__E2_P1
axis2_+6mm,encoder_level0,0.22011931240558624,0.975509762763977,POLYIC_20190510_mouse34__E2_P1
axis2_+6mm,encoder_level1,0.3723785877227783,0.928200900554657,POLYIC_20190510_mouse34__E2_P1
axis2_+6mm,encoder_level2,0.4524881839752197,0.8917707204818726,POLYIC_20190510_mouse34__E2_P1
axis2_+6mm,encoder_level3,0.4369834363460541,0.899544358253479,POLYIC_20190510_mouse34__E2_P1
axis2_+6mm,encoder_level4,0.25608718395233154,0.9669520854949951,POLYIC_20190510_mouse34__E2_P1
axis2_+6mm,output_logits,0.3655441701412201,0.9312033653259277,POLYIC_20190510_mouse34__E2_P1
resampling_floor,input,2.2450549295172095e-06,1.0,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level0,1.7892374671646394e-05,0.9999999403953552,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level1,2.0226076230756007e-05,1.0,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level2,2.267407762701623e-05,0.9999999403953552,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level3,7.30263138848386e-07,1.0,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level4,5.13452869199682e-06,1.000000238418579,POLYIC_20190510_mouse35__E3_P1
