task,domain,subjects,joint_model_dice,single_task_model_dice,difference
brain,CAMRI,6,0.9912365994799002,0.9894197365532486,0.001816862926651619
brain,Mouse,80,0.9830209363197497,0.9813513000295107,0.0016696362902390849
lesion,stroke,77,0.8361997829593751,0.8623165619136491,-0.026116778954274
