epoch,loss,mean_dice
1,1.5412604808807373,0.6855208277702332
2,0.6539851576089859,0.8998216986656189
3,0.16741065308451653,0.9451833665370941
4,0.07380971312522888,0.9612352252006531
5,0.0610264353454113,0.9648446440696716
6,0.05173654295504093,0.9717769920825958
7,0.04173703491687775,0.972841739654541
8,0.04104560613632202,0.9749279916286469
9,0.037686821073293686,0.977660745382309
10,0.03361005149781704,0.9781854748725891
11,0.03312416933476925,0.9794360995292664
12,0.03148169443011284,0.9802550375461578
13,0.029364642687141895,0.9809749722480774
14,0.028700536116957664,0.9816217124462128
15,0.027843084186315536,0.9822165369987488
16,0.026856357231736183,0.9827835857868195
17,0.026007242500782013,0.983162134885788
18,0.025258726440370083,0.983335554599762
19,0.024667805060744286,0.9838339984416962
20,0.02396144438534975,0.9843211770057678
21,0.023447729647159576,0.9846919178962708
22,0.02288017887622118,0.9849792718887329
23,0.022324765101075172,0.9852677285671234
24,0.021867317147552967,0.9856031239032745
25,0.021427106112241745,0.9859217405319214
26,0.020962649025022984,0.9863025546073914
27,0.020578162744641304,0.9865483641624451
28,0.020189681090414524,0.986853688955307
29,0.019790892489254475,0.9871470928192139
30,0.01944748219102621,0.9873937368392944
31,0.01906718034297228,0.9875995814800262
32,0.01873690914362669,0.9878295361995697
33,0.01842448115348816,0.9880485534667969
34,0.01809679251164198,0.9882362186908722
35,0.017813317477703094,0.988483339548111
36,0.017525939270853996,0.9886379539966583
37,0.017255118116736412,0.9887886643409729
38,0.01700787339359522,0.9889588952064514
39,0.016764811240136623,0.9891110956668854
40,0.016538845840841532,0.9892440140247345
41,0.016319558024406433,0.9894181787967682
42,0.01612536422908306,0.9895942509174347
43,0.015932518523186445,0.9895968437194824
44,0.01580651570111513,0.9897076189517975
45,0.01570606278255582,0.9895880222320557
46,0.015809296164661646,0.989282101392746
47,0.017135187052190304,0.988662838935852
48,0.01724196784198284,0.9874892830848694
49,0.018168479204177856,0.9883146584033966
50,0.017606336623430252,0.9887332320213318
51,0.01639688480645418,0.9889940917491913
52,0.01684056781232357,0.9890874326229095
