task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
brain,resampling_floor,0.999990659356056,0.9655072993051484,0.9654980202206589,9.279084489555167e-06,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,0.9953567617157515,0.9667289575587108,0.9654980202206589,0.0012309373380519073,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,0.9963912417494063,0.9662158262308329,0.9654980202206589,0.0007178060101740158,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,0.9977478950762071,0.9655490706998836,0.9654980202206589,5.10504792247124e-05,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,0.9947755944285513,0.9679461812425801,0.9654980202206589,0.002448161021921247,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,0.9925746977911365,0.9658248947383634,0.9654980202206589,0.0003268745177045229,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,0.9943009011875462,0.9665963736507112,0.9654980202206589,0.001098353430052268,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,0.9941674961163152,0.9616720737274267,0.9654980202206589,-0.003825946493232202,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,0.99306560146341,0.9628093221559646,0.9654980202206589,-0.002688698064694295,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,0.982919713420489,0.9552533616956621,0.9654980202206589,-0.010244658524996786,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,0.987058177724435,0.9610138504685422,0.9654980202206589,-0.00448416975211674,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,0.9933352597384439,0.9633366259722076,0.9654980202206589,-0.0021613942484512982,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+6mm,0.9766189364557102,0.9493563205353598,0.9654980202206589,-0.016141699685299105,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,0.9999816732337579,0.9702737964501262,0.9702737964501262,0.0,POLYIC_20190510_mouse35__E3_P1
brain,axis0_+1mm,0.9962058031050094,0.9701566797780761,0.9702737964501262,-0.00011711667205016596,POLYIC_20190510_mouse35__E3_P1
brain,axis0_+2mm,0.9966634890371783,0.9702079714567391,0.9702737964501262,-6.582499338714243e-05,POLYIC_20190510_mouse35__E3_P1
brain,axis0_+4mm,0.996800777346937,0.970459539146275,0.9702737964501262,0.00018574269614879402,POLYIC_20190510_mouse35__E3_P1
brain,axis0_+6mm,0.9962723566785413,0.9709099459205267,0.9702737964501262,0.0006361494704004711,POLYIC_20190510_mouse35__E3_P1
brain,axis1_+1mm,0.9923388169665385,0.9702631578947368,0.9702737964501262,-1.0638555389408388e-05,POLYIC_20190510_mouse35__E3_P1
brain,axis1_+2mm,0.995444442403424,0.9709748134767187,0.9702737964501262,0.0007010170265924209,POLYIC_20190510_mouse35__E3_P1
brain,axis1_+4mm,0.9936969232593565,0.9664231394458043,0.9702737964501262,-0.0038506570043219668,POLYIC_20190510_mouse35__E3_P1
brain,axis1_+6mm,0.9931632849180418,0.9673578821058947,0.9702737964501262,-0.0029159143442315516,POLYIC_20190510_mouse35__E3_P1
brain,axis2_+1mm,0.978936268015034,0.9545764964285055,0.9702737964501262,-0.01569730002162073,POLYIC_20190510_mouse35__E3_P1
brain,axis2_+2mm,0.980859031436162,0.9592556826623088,0.9702737964501262,-0.011018113787817474,POLYIC_20190510_mouse35__E3_P1
brain,axis2_+4mm,0.9941659503648567,0.9679207994979723,0.9702737964501262,-0.002352996952153963,POLYIC_20190510_mouse35__E3_P1
brain,axis2_+6mm,0.9410580569028798,0.9179285980578388,0.9702737964501262,-0.05234519839228746,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,1.0,0.9761234420566953,0.9761234420566953,0.0,POLYIC_20190510_mouse37__E2_P1
brain,axis0_+1mm,0.9963261093911249,0.976211690735168,0.9761234420566953,8.824867847267992e-05,POLYIC_20190510_mouse37__E2_P1
brain,axis0_+2mm,0.9975239352921756,0.9761598642028219,0.9761234420566953,3.6422146126535715e-05,POLYIC_20190510_mouse37__E2_P1
brain,axis0_+4mm,0.9980843860952853,0.9764524888399425,0.9761234420566953,0.00032904678324718883,POLYIC_20190510_mouse37__E2_P1
brain,axis0_+6mm,0.9970578998694236,0.9766162079382041,0.9761234420566953,0.0004927658815088165,POLYIC_20190510_mouse37__E2_P1
brain,axis1_+1mm,0.9943132434378803,0.9770413323444137,0.9761234420566953,0.0009178902877183814,POLYIC_20190510_mouse37__E2_P1
brain,axis1_+2mm,0.9956483611032977,0.9755970180684833,0.9761234420566953,-0.0005264239882120103,POLYIC_20190510_mouse37__E2_P1
brain,axis1_+4mm,0.9978148474928468,0.9754185066406972,0.9761234420566953,-0.0007049354159981425,POLYIC_20190510_mouse37__E2_P1
brain,axis1_+6mm,0.9928612009979497,0.9714142006874005,0.9761234420566953,-0.004709241369294848,POLYIC_20190510_mouse37__E2_P1
brain,axis2_+1mm,0.9857414137445568,0.9697949388816212,0.9761234420566953,-0.006328503175074163,POLYIC_20190510_mouse37__E2_P1
brain,axis2_+2mm,0.9947695810714934,0.9760362857502834,0.9761234420566953,-8.7156306411873e-05,POLYIC_20190510_mouse37__E2_P1
brain,axis2_+4mm,0.9939264258085754,0.9752913674791163,0.9761234420566953,-0.0008320745775790561,POLYIC_20190510_mouse37__E2_P1
brain,axis2_+6mm,0.9924654598212813,0.9765587625578058,0.9761234420566953,0.00043532050111050324,POLYIC_20190510_mouse37__E2_P1
brain,resampling_floor,1.0,0.9718124109796198,0.9718124109796198,0.0,POLYIC_20190510_mouse38__E2_P1
brain,axis0_+1mm,0.9959800638713621,0.9724815854549295,0.9718124109796198,0.0006691744753096751,POLYIC_20190510_mouse38__E2_P1
brain,axis0_+2mm,0.9970678017111656,0.9720896296491645,0.9718124109796198,0.00027721866954466545,POLYIC_20190510_mouse38__E2_P1
brain,axis0_+4mm,0.997479201259539,0.9720920005277277,0.9718124109796198,0.0002795895481079169,POLYIC_20190510_mouse38__E2_P1
brain,axis0_+6mm,0.9968122684586888,0.9730824789486665,0.9718124109796198,0.0012700679690467176,POLYIC_20190510_mouse38__E2_P1
brain,axis1_+1mm,0.9940538770445184,0.9730053566394136,0.9718124109796198,0.001192945659793776,POLYIC_20190510_mouse38__E2_P1
brain,axis1_+2mm,0.9956536736805796,0.9730387402796635,0.9718124109796198,0.001226329300043738,POLYIC_20190510_mouse38__E2_P1
brain,axis1_+4mm,0.9965746662660429,0.9701878943719449,0.9718124109796198,-0.0016245166076749307,POLYIC_20190510_mouse38__E2_P1
brain,axis1_+6mm,0.9947454872249121,0.9702750938519293,0.9718124109796198,-0.0015373171276904518,POLYIC_20190510_mouse38__E2_P1
brain,axis2_+1mm,0.9830776154127007,0.9601249620341042,0.9718124109796198,-0.011687448945515544,POLYIC_20190510_mouse38__E2_P1
brain,axis2_+2mm,0.9878807057756946,0.9661925286100207,0.9718124109796198,-0.005619882369599094,POLYIC_20190510_mouse38__E2_P1
