task,transform,stage,relative_l2,cosine,subject
brain,axis0_+4mm,canvas_level0,0.30181270837783813,0.9540263414382935,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,output_logits,0.27140480279922485,0.9624751806259155,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,query_mask_embedding,0.002824154682457447,0.9999961853027344,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,input,0.14101751148700714,0.9900070428848267,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level0,0.2148818075656891,0.9767441749572754,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level1,0.33796676993370056,0.9414433836936951,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level2,0.39187583327293396,0.9200217723846436,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level3,0.34300991892814636,0.9394198656082153,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level4,0.21511700749397278,0.9766839742660522,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,canvas_level4,0.21511700749397278,0.9766839742660522,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,canvas_level3,0.3606172800064087,0.9330929517745972,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,canvas_level2,0.40171268582344055,0.91617351770401,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,canvas_level1,0.3851783275604248,0.9245619773864746,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,canvas_level0,0.399792343378067,0.9181972742080688,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,output_logits,0.38316529989242554,0.9237162470817566,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,query_mask_embedding,0.003035087138414383,0.9999955892562866,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,input,2.3476036403735634e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,encoder_level0,1.843488098529633e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,encoder_level1,0.2092844396829605,0.9778550863265991,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,encoder_level2,0.2087378352880478,0.9779719114303589,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,encoder_level3,0.21345308423042297,0.976985514163971,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,encoder_level4,0.2169691026210785,0.9763608574867249,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,canvas_level4,0.2169691026210785,0.9763608574867249,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,canvas_level3,0.31687939167022705,0.9486460089683533,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,canvas_level2,0.2725086808204651,0.9623450636863708,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,canvas_level1,0.2280460000038147,0.9737179279327393,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,canvas_level0,0.15591374039649963,0.9878196716308594,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,output_logits,0.07206760346889496,0.9975167512893677,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+1mm,query_mask_embedding,0.021799469366669655,0.9998128414154053,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,input,2.3476036403735634e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,encoder_level0,0.03625155985355377,0.9993427395820618,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,encoder_level1,0.12925347685813904,0.9916334748268127,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,encoder_level2,0.2240225225687027,0.9745936989784241,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,encoder_level3,0.1734713464975357,0.9848437905311584,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,encoder_level4,0.20597811043262482,0.9789695143699646,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,canvas_level4,0.20597811043262482,0.9789695143699646,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,canvas_level3,0.29881390929222107,0.9546136856079102,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,canvas_level2,0.3055550456047058,0.9523568153381348,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,canvas_level1,0.22229360044002533,0.9751243591308594,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,canvas_level0,0.20285584032535553,0.9793164730072021,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,output_logits,0.13617178797721863,0.990744948387146,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+2mm,query_mask_embedding,0.003973561804741621,0.9999949932098389,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,input,2.3476036403735634e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,encoder_level0,0.08879782259464264,0.9960495233535767,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,encoder_level1,0.2538289427757263,0.9672725796699524,POLYIC_20190510_mouse34__E2_P1
