slice,relative_area_drop,left_right_asymmetry,mean_boundary_probability,criteria
1,0.13421706710853357,0.08421052631578947,0.0006114720599725842,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
2,-0.04786701381934708,0.011467889908256881,0.2573627233505249,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
3,0.016931933626820182,0.0058560110230795725,0.2837391495704651,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
4,-0.011685116851168511,0.06443768996960486,0.3380894362926483,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
5,-0.027096406160867084,0.040821993890585946,0.34102216362953186,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
6,0.006406833956219968,0.039763567974207416,0.3372148275375366,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
7,-0.011306042884990253,0.038807504497558466,0.34009110927581787,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
8,0.00600450337753315,0.0012584948401711553,0.3476778268814087,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
9,0.01877316752361593,0.24932975871313673,0.3375391364097595,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
10,0.007348784624081402,0.23097949886104785,0.3404974639415741,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
11,-0.010656436487638534,0.16069169126950653,0.3742409646511078,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
12,-0.018871773946750995,0.09691629955947137,0.329370379447937,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
13,-0.011593044173495902,0.13771981821774354,0.3466542959213257,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
14,0.006541129831516353,0.14365522745411013,0.3280601501464844,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
15,-0.01956411556006082,0.018890435474249352,0.3272305727005005,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
16,0.0044107087906451944,0.022460333814135588,0.3217991590499878,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
17,-0.020319930825767402,0.015254237288135594,0.3164144456386566,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
18,0.020049008687903765,0.18208683791770858,0.34205755591392517,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
19,-0.03124243158149673,0.1700328792860498,0.3688119053840637,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
20,0.016188655194391333,0.16144078776885204,0.3791108727455139,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
21,0.0117096018735363,0.16364650125453026,0.4434756338596344,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
22,0.027877055039313797,0.09470588235294118,0.4614929258823395,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
23,-0.04797047970479705,0.08509389671361503,0.3662714660167694,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
24,-0.028495692511597084,0.11920103092783506,0.39022180438041687,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
25,-0.03525704155997637,0.07077625570776255,0.40396058559417725,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
26,0.14198738856273102,0.06741003547896604,0.39274320006370544,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
27,-0.15567282321899736,0.055301877219685436,0.3971032500267029,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
28,-0.04014466546112116,0.21696801112656466,0.3839956820011139,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
