slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.5263484190948543,0.3571729070256626,1528,0,1528,849,first 20%,True,True
1,0.7041687594173782,0.5434108527131783,1178,0,1178,1402,first 20%,True,True
2,0.8930082611323796,0.8066982162358937,524,7,531,2223,first 20%,True,True
3,0.905033393060759,0.8265397203213329,511,72,583,2850,first 20%,True,True
4,0.9130434782608695,0.84,476,112,588,3199,first 20%,True,True
5,0.9175717070453913,0.8476974530486237,440,152,592,3447,first 20%,True,True
6,0.9123851430050472,0.838886244645407,371,306,677,3831,first 20%,True,True
7,0.9044633901705116,0.8255893797207599,480,282,762,3889,middle 60%,True,True
8,0.9062390261032425,0.8285530821917808,607,194,801,4065,middle 60%,True,True
9,0.9169943206640454,0.8467123840258168,723,37,760,4235,middle 60%,True,True
10,0.9261444557477111,0.8624478969306556,694,32,726,4584,middle 60%,True,True
11,0.924264634027167,0.8591933139534884,712,63,775,4792,middle 60%,True,True
12,0.931420972644377,0.8716444444444444,660,62,722,4965,middle 60%,True,True
13,0.9484479443274425,0.9019505398815744,493,70,563,5249,middle 60%,True,True
14,0.9592538935168418,0.921698277362102,385,65,450,5362,middle 60%,True,True
15,0.9605298013245033,0.9240570846075433,404,43,447,5482,middle 60%,True,True
16,0.9570230607966457,0.9175879396984925,456,36,492,5514,middle 60%,True,True
17,0.9601769911504425,0.9234042553191489,416,34,450,5459,middle 60%,True,True
18,0.9631507469443187,0.9289207125392944,364,43,407,5362,middle 60%,True,True
19,0.9669083472764455,0.935936656469318,313,43,356,5244,middle 60%,True,True
20,0.9390531985259378,0.8851086569291058,596,49,645,5018,middle 60%,True,True
21,0.89903612111771,0.816590024761231,995,42,1037,4659,middle 60%,True,True
22,0.873932896565416,0.7760930888575458,1223,47,1270,4449,middle 60%,True,True
23,0.8513050919982884,0.7411063512758428,1368,22,1390,4001,middle 60%,True,True
24,0.8520696142991533,0.7422659291128867,1233,25,1258,3648,middle 60%,True,True
25,0.8337917485265226,0.7149595687331537,1223,46,1269,3229,middle 60%,True,True
26,0.789972485478447,0.6528549772612431,1291,83,1374,2667,middle 60%,True,True
27,0.7189011414200038,0.5611597704620961,1390,63,1453,1921,middle 60%,True,True
28,0.6797682035777274,0.5148854961832061,1199,72,1271,1421,last 20%,True,True
29,0.6769956214213539,0.5117107942973523,942,17,959,1022,last 20%,True,True
30,0.7332848837209303,0.5788869764773379,668,66,734,1075,last 20%,True,True
31,0.7885906040268457,0.6509695290858726,425,79,504,1019,last 20%,True,True
32,0.7822916666666667,0.6424294268605646,298,120,418,871,last 20%,True,True
33,0.744153082919915,0.59255079006772,284,77,361,602,last 20%,True,True
34,0.6979038224414303,0.5359848484848485,231,14,245,297,last 20%,True,True
