domain,subject,baseline_dice,unetr_style_dice,dice_change,baseline_hd95_mm,unetr_style_hd95_mm,hd95_change_mm,baseline_assd_mm,unetr_style_assd_mm
CAMRI,064,0.9873471741637831,0.9854855413662071,-0.0018616327975760072,0.20000000298023224,0.2828427166893039,0.08284271370907165,0.03804505576516614,0.15807336512980327
CAMRI,007,0.9879251379174042,0.9885037754685457,0.0005786375511415143,0.10000000149011612,0.10000000149011612,0.0,0.011416409673941138,0.010488344027415587
CAMRI,043,0.9893833432090006,0.9890859019649891,-0.00029744124401143157,0.10000000149011612,0.10000000149011612,0.0,0.009655559352078538,0.010288020018641193
CAMRI,078,0.9902644832412222,0.9903421977165044,7.77144752822645e-05,0.20000000298023224,0.20000000298023224,0.0,0.027812486582450602,0.028184472307671064
CAMRI,009,0.9887403479144617,0.9879919870266145,-0.0007483608878472436,0.10000000149011612,0.10000000149011612,0.0,0.010032371806573922,0.011178361937029573
CAMRI,099,0.9893460194024758,0.9889287013517994,-0.00041731805067635186,0.10000000149011612,0.10000000149011612,0.0,0.009939829553465519,0.010350573613104465
Mouse,POLYIC_20190510_mouse34__E2_P1,0.9749279593539092,0.9760628998573035,0.001134940503394355,0.20000000298023224,0.20000000298023224,0.0,0.03470856034128311,0.033897927176801686
Mouse,POLYIC_20190510_mouse35__E3_P1,0.9777070505673854,0.9791336429452061,0.0014265923778207235,0.14142135834465194,0.10000000149011612,-0.041421356854535823,0.028407452406270656,0.025621238256883856
Mouse,POLYIC_20190510_mouse37__E2_P1,0.9810286870127125,0.9825192097736339,0.001490522760921431,0.10000000149011612,0.10000000149011612,0.0,0.02421230213200227,0.02146577685826017
Mouse,POLYIC_20190510_mouse38__E2_P1,0.9800141178712329,0.9814835693780735,0.0014694515068405245,0.10000000149011612,0.10000000149011612,0.0,0.02443820450517168,0.02220167465267798
Mouse,POLYIC_20190510_mouse39__E4_P1,0.9793219226819717,0.9808082357553135,0.001486313073341794,0.10000000149011612,0.10000000149011612,0.0,0.025302355629467813,0.02265083820290262
Mouse,POLYIC_20190510_mouse42__E2_P1,0.9796471947842393,0.9809404345023433,0.0012932397181039113,0.10000000149011612,0.10000000149011612,0.0,0.026509234064009596,0.023942174681070915
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.9722420109912477,0.9785953730384392,0.006353362047191502,0.20000000298023224,0.10000000149011612,-0.10000000149011612,0.030568430214321523,0.023334097742655414
Mouse,POLYIC_20190510_mouse43__E9_P1,0.9531438429585958,0.9505579297245964,-0.0025859132339993707,0.4000000059604645,0.5385164444647541,0.13851643850428963,0.08674332226720438,0.10014957674052917
Mouse,POLYIC_20190517_mouse33__E2_P1,0.9780392619016323,0.9782024376645923,0.00016317576295998837,0.14142135834465194,0.10000000149011612,-0.041421356854535823,0.02924265948764805,0.029486904939111606
Mouse,POLYIC_20190517_mouse35__E2_P1,0.9795426874138692,0.9804904369696186,0.0009477495557493887,0.10000000149011612,0.10000000149011612,0.0,0.025215071915302038,0.024290893223341804
Mouse,POLYIC_20190517_mouse36__E2_P1,0.9804691384715166,0.9819706824245402,0.0015015439530235986,0.10000000149011612,0.10000000149011612,0.0,0.023005462249557407,0.021256665217521446
Mouse,POLYIC_20190517_mouse37__E3_P1,0.9742176125116561,0.9740312649901763,-0.0001863475214797239,0.1988737822087165,0.1988737822087165,0.0,0.036972372037906855,0.037450670426906016
Mouse,POLYIC_20190517_mouse38__E3_P1,0.9814981325217872,0.9826303586617215,0.0011322261399343558,0.10000000149011612,0.10000000149011612,0.0,0.022161587572418328,0.020964210272481024
Mouse,POLYIC_20190517_mouse39__E12_P1,0.9763518471575521,0.9787346138874348,0.0023827667298826904,0.15722352966795397,0.140625,-0.01659852966795397,0.03535949383157628,0.02949824068970724
Mouse,POLYIC_20190517_mouse42__E4_P1,0.9818470499333486,0.982268373999278,0.0004213240659294293,0.10000000149011612,0.10000000149011612,0.0,0.021296577181448263,0.020741364467070523
Mouse,POLYIC_20190517_mouse43__E3_P1,0.9819619947911643,0.9828181577876333,0.0008561629964689565,0.10000000149011612,0.10000000149011612,0.0,0.021463668631316487,0.01999407280024284
Mouse,POLYIC_20190524_polyic___E3_P1,0.9793026124004933,0.980763194475584,0.0014605820750906995,0.10000000149011612,0.10000000149011612,0.0,0.026302667017409374,0.02319589955018901
Mouse,POLYIC_20190524_polyic___E3_P1_1,0.9812994598000111,0.983385117587803,0.002085657787791906,0.10000000149011612,0.10000000149011612,0.0,0.02262324116743698,0.01931663108861241
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.9794620484732909,0.9805616891466475,0.001099640673356661,0.10000000149011612,0.10000000149011612,0.0,0.02491561696344552,0.023220636976583147
Mouse,POLYIC_20190524_polyic___E3_P1_12,0.9787804201913627,0.9815029242474642,0.002722504056101527,0.10000000149011612,0.10000000149011612,0.0,0.026689191923131118,0.021448089948393124
