condition,domain,subject,boundary_band_probability_std,boundary_band_intermediate_0.1_0.9_percent,boundary_band_gradient_mean_per_native_pixel,probability_isocontour_points,probability_isocontour_subvoxel_coordinate_percent,probability_isocontour_mean_fractional_offset
current_best,CAMRI,064,0.4460284411907196,16.705769652294627,0.20706593990325928,21188,49.929205210496505,0.1519586253750785
unetr_style,CAMRI,064,0.43625304102897644,18.92637385953745,0.20200833678245544,23113,49.937264742785445,0.15121567769339575
current_best,CAMRI,007,0.3866519629955292,7.153972700191187,0.12423483282327652,6503,49.96924496386283,0.1534250676982862
unetr_style,CAMRI,007,0.3829255998134613,7.393158596179476,0.12479420006275177,6677,49.97753482102741,0.15056230848118138
current_best,CAMRI,043,0.3820428252220154,8.041186565334641,0.12636122107505798,6323,49.95255416732564,0.15346401807721402
unetr_style,CAMRI,043,0.3801707923412323,7.9233376183241795,0.12740419805049896,6400,49.9609375,0.15466333717971048
current_best,CAMRI,078,0.44327569007873535,16.514329845286895,0.20677705109119415,20007,49.94002099265257,0.15378518978271655
unetr_style,CAMRI,078,0.4425163269042969,16.551252385697637,0.20805220305919647,20751,49.94699050648161,0.155859436092258
current_best,CAMRI,009,0.3806621730327606,7.846423699083998,0.1258024275302887,6329,49.936798862379526,0.15161203191024994
unetr_style,CAMRI,009,0.3820449113845825,7.733016002012345,0.12811081111431122,6455,49.94577846630519,0.15203377888002673
current_best,CAMRI,099,0.38158491253852844,7.476146148475681,0.1248994991183281,6742,49.97033521210324,0.15353555840779237
unetr_style,CAMRI,099,0.382717102766037,7.126883973032064,0.12419646978378296,6863,49.97085822526592,0.15363905813357745
current_best,Mouse,POLYIC_20190510_mouse34__E2_P1,0.44428229331970215,16.843670646333422,0.20510002970695496,8960,49.955357142857146,0.15047879431650685
unetr_style,Mouse,POLYIC_20190510_mouse34__E2_P1,0.4485708773136139,14.956901953685268,0.20934726297855377,9212,49.97828918801564,0.15675458165816217
current_best,Mouse,POLYIC_20190510_mouse35__E3_P1,0.4432373642921448,17.611225475780365,0.2066928744316101,9061,49.91722767906412,0.15230244680622468
unetr_style,Mouse,POLYIC_20190510_mouse35__E3_P1,0.45119601488113403,14.72469584848865,0.2118578404188156,9266,49.95683142672135,0.15882374967944202
current_best,Mouse,POLYIC_20190510_mouse37__E2_P1,0.4433239698410034,16.05521784537932,0.20818446576595306,9529,49.91079861475496,0.15340815591899157
unetr_style,Mouse,POLYIC_20190510_mouse37__E2_P1,0.452780544757843,12.705552589428724,0.2138480544090271,9717,49.969126273541214,0.16166726043390367
current_best,Mouse,POLYIC_20190510_mouse38__E2_P1,0.44341984391212463,16.984671454603923,0.20732837915420532,9286,49.93538660348912,0.1521012295667136
unetr_style,Mouse,POLYIC_20190510_mouse38__E2_P1,0.45138779282569885,13.986397836506278,0.21238788962364197,9492,49.973662031184155,0.157326554267796
current_best,Mouse,POLYIC_20190510_mouse39__E4_P1,0.4448951482772827,17.06309833471883,0.20560243725776672,9324,49.95173745173745,0.15062633116302016
unetr_style,Mouse,POLYIC_20190510_mouse39__E4_P1,0.4515121579170227,14.335125279851995,0.21232974529266357,9500,49.963157894736845,0.15593156351754692
current_best,Mouse,POLYIC_20190510_mouse42__E2_P1,0.4467089772224426,16.28512385604251,0.20803111791610718,9206,49.92396263306539,0.15212768825015624
unetr_style,Mouse,POLYIC_20190510_mouse42__E2_P1,0.4528002142906189,13.722968084251145,0.21318857371807098,9420,49.94692144373673,0.15855542111254167
current_best,Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.4312852919101715,14.01867572156197,0.15776106715202332,6258,49.94407158836689,0.1514489465708782
unetr_style,Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.43608930706977844,12.180631868131869,0.162977397441864,6521,49.9616623217298,0.1611515645227209
current_best,Mouse,POLYIC_20190510_mouse43__E9_P1,0.4297102093696594,21.444012105490703,0.19159464538097382,10021,49.91018860393174,0.1466202201123093
unetr_style,Mouse,POLYIC_20190510_mouse43__E9_P1,0.4336415231227875,21.713843051422668,0.18907415866851807,10932,49.93139407244786,0.1489430259280034
current_best,Mouse,POLYIC_20190517_mouse33__E2_P1,0.44183114171028137,16.92542240125322,0.20776808261871338,9096,49.94503078276165,0.15036456112514013
unetr_style,Mouse,POLYIC_20190517_mouse33__E2_P1,0.44760334491729736,14.843152257077277,0.21285834908485413,9342,49.892956540355385,0.15610647779579034
current_best,Mouse,POLYIC_20190517_mouse35__E2_P1,0.44698795676231384,16.49964063411128,0.2120717167854309,9056,49.966872791519435,0.15277161258678332
unetr_style,Mouse,POLYIC_20190517_mouse35__E2_P1,0.45313313603401184,13.876905183722595,0.21685397624969482,9300,49.973118279569896,0.15809078544923438
current_best,Mouse,POLYIC_20190517_mouse36__E2_P1,0.44308894872665405,17.2502353099368,0.20713002979755402,9271,49.919102577931184,0.15270504108669475
unetr_style,Mouse,POLYIC_20190517_mouse36__E2_P1,0.44816142320632935,14.599574769666903,0.21257394552230835,9555,49.96336996336996,0.15687238254104102
current_best,Mouse,POLYIC_20190517_mouse37__E3_P1,0.43563002347946167,17.018471282638966,0.19200021028518677,17634,49.94045593739367,0.15532438661578285
unetr_style,Mouse,POLYIC_20190517_mouse37__E3_P1,0.44179633259773254,16.52514457213967,0.19242627918720245,18076,49.93914582872317,0.15595250888854795
current_best,Mouse,POLYIC_20190517_mouse38__E3_P1,0.44847121834754944,15.043496129871908,0.20671159029006958,9274,49.967651498813886,0.15759833572347068
unetr_style,Mouse,POLYIC_20190517_mouse38__E3_P1,0.45368704199790955,13.064450197574601,0.2125728726387024,9412,49.98937526561836,0.16525661801535724
current_best,Mouse,POLYIC_20190517_mouse39__E12_P1,0.428977370262146,17.81239680658884,0.1907333880662918,17395,49.968381718884736,0.15702061252752397
unetr_style,Mouse,POLYIC_20190517_mouse39__E12_P1,0.44164687395095825,14.887372992995864,0.197012796998024,17417,49.948326347821094,0.16277799978328902
current_best,Mouse,POLYIC_20190517_mouse42__E4_P1,0.44680657982826233,15.71413381535926,0.20672933757305145,9361,49.903856425595556,0.15358344698134369
unetr_style,Mouse,POLYIC_20190517_mouse42__E4_P1,0.45435407757759094,12.810770737906749,0.21208874881267548,9509,49.947418235355975,0.1617131039878726
current_best,Mouse,POLYIC_20190517_mouse43__E3_P1,0.44449305534362793,17.02408620325375,0.20977286994457245,9406,49.957473952796086,0.15263038719469443
unetr_style,Mouse,POLYIC_20190517_mouse43__E3_P1,0.45288753509521484,13.560190844209613,0.21435537934303284,9547,49.984288258091546,0.16122828254717259
current_best,Mouse,POLYIC_20190524_polyic___E3_P1,0.4474523365497589,15.462944979329096,0.20814533531665802,9401,49.96808850122327,0.15626710689563303
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1,0.4538098871707916,12.939987260793709,0.21269875764846802,9747,49.97948086590746,0.16156502687530463
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_1,0.44750991463661194,14.55191256830601,0.20824448764324188,9456,49.984137055837564,0.15841742243008564
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_1,0.45354756712913513,12.103950613919135,0.21359966695308685,9640,49.93775933609959,0.16549949319088372
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_10,0.4460318982601166,15.100421522439872,0.20363079011440277,9266,49.99460392834017,0.15526509413017084
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_10,0.4514879882335663,13.096604887649663,0.20783670246601105,9529,49.95277573722321,0.15995341500624602
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_12,0.44320711493492126,16.519550960272237,0.2038082480430603,9565,49.87976999477261,0.15196690060934503
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_12,0.44932135939598083,14.46520323715141,0.20943470299243927,9688,49.91742361684558,0.15908739597461513
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_13,0.44495129585266113,16.38563466787989,0.20547610521316528,9153,49.94537310171528,0.15451605073616143
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_13,0.45279937982559204,13.510650319227075,0.2103591412305832,9461,49.904872635028006,0.16105215709545145
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_3,0.4446234703063965,16.30695120966657,0.2011856734752655,10324,49.93703990701279,0.14849880464914442
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_3,0.45026883482933044,14.43215864357593,0.20847664773464203,11629,49.93980565826812,0.15412890341887592
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_4,0.4479961395263672,15.006493327070267,0.20533056557178497,9336,49.91966580976864,0.15782033878254437
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_4,0.45616355538368225,12.21568600438095,0.213012233376503,9398,49.973398595445836,0.16555431971481718
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_5,0.4449828267097473,15.192129564656021,0.20391790568828583,9113,49.978053330407114,0.15674035265551262
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_5,0.4529368579387665,12.702809099344826,0.20914487540721893,9190,49.95103373231773,0.16387580960679024
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_6,0.45028430223464966,15.456615228940047,0.1961994469165802,9446,49.93648105017997,0.15449095710957084
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_6,0.45108821988105774,15.188179098210068,0.2011868804693222,10038,49.930264993026505,0.1590487407342129
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_7,0.44670018553733826,15.228572663487444,0.20844124257564545,9178,49.92917847025496,0.15672939893409207
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_7,0.45147088170051575,13.429476611666214,0.2137402445077896,9372,49.88796414852753,0.16257312313758177
current_best,Mouse,POLYIC_20190524_polyic___E3_P1_9,0.448147714138031,15.366815818453002,0.20672960579395294,9438,49.94172494172494,0.15720124078425327
unetr_style,Mouse,POLYIC_20190524_polyic___E3_P1_9,0.4562540650367737,12.631403766676838,0.21455948054790497,9604,49.98958767180341,0.1642006700006055
current_best,Mouse,POLYIC_20190524_polyic___E4_P1_1,0.4489661753177643,14.975912287502076,0.19903846085071564,8979,49.938745962802095,0.15267459118207885
unetr_style,Mouse,POLYIC_20190524_polyic___E4_P1_1,0.4547363817691803,12.67900996109379,0.20452873408794403,9120,49.906798245614034,0.1607732810222772
current_best,Mouse,POLYIC_20190524_polyic___E4_P1_7,0.44480136036872864,16.5443324829326,0.2054254710674286,9297,49.9784876841992,0.15471361471942288
unetr_style,Mouse,POLYIC_20190524_polyic___E4_P1_7,0.4485209584236145,14.823894054663286,0.210163414478302,9487,49.94729630020027,0.1596554947056049
current_best,Mouse,POLYIC_20190524_polyic___E4_P1_9,0.4495222866535187,16.950363052017618,0.20215795934200287,9455,49.96298254891592,0.14941474927238707
unetr_style,Mouse,POLYIC_20190524_polyic___E4_P1_9,0.45228540897369385,14.370854814678077,0.20968031883239746,9702,49.958771387342814,0.15672153458067958
current_best,Mouse,POLYIC_20190524_polyic___E8_P1_1,0.4473956525325775,14.496411711736295,0.20586760342121124,9417,49.973452267176384,0.1577178208835717
unetr_style,Mouse,POLYIC_20190524_polyic___E8_P1_1,0.45389461517333984,12.932817944250871,0.21446281671524048,9806,49.92861513359168,0.16243591520797293
current_best,Mouse,POLYIC_20190524_polyic___E9_P1_1,0.44651299715042114,16.80063620236129,0.19213874638080597,9719,49.953698940220185,0.15334405671429668
unetr_style,Mouse,POLYIC_20190524_polyic___E9_P1_1,0.448270320892334,16.540030101471086,0.19485116004943848,10434,49.976039869656894,0.1556199391262329
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1,0.4488033056259155,15.78460277377474,0.20928552746772766,9441,49.92055926278996,0.15375838135685335
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1,0.45456644892692566,13.13783765933558,0.21474827826023102,9643,49.96370424141865,0.1608581859218701
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_1,0.4463067650794983,16.771738828561116,0.20783452689647675,9232,49.90251299826689,0.15238420139393244
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1_1,0.4490411579608917,14.88294082585975,0.20720088481903076,9630,49.93769470404985,0.15967686290945576
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.45037782192230225,15.14579597999434,0.20931699872016907,9403,49.9734127406147,0.15424061893276658
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.45614954829216003,12.824945060835075,0.21496041119098663,9652,49.953377538334024,0.16161130484513225
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_11,0.4478074610233307,16.027716794731063,0.2033655047416687,9208,49.95655951346655,0.15237282364551716
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1_11,0.45289409160614014,13.269005369749504,0.2097763866186142,9440,49.98411016949152,0.15834272048587034
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_12,0.44599223136901855,16.457276205464954,0.20904898643493652,9146,49.961731904657775,0.15292215700751
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1_12,0.45129963755607605,13.700166169060132,0.2144360989332199,9387,49.904122722914664,0.16015130314457093
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_13,0.4489913284778595,15.811231686708286,0.21066546440124512,9399,49.96276199595702,0.15532767752452523
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1_13,0.45075514912605286,13.970243188781847,0.2161594033241272,9733,49.98458851330525,0.16201078291740217
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.4468653202056885,15.597091598830318,0.21030497550964355,9728,49.93318256578947,0.1565615244951744
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.4548375904560089,12.506567885666248,0.21648038923740387,10013,49.960051932487765,0.16212724505805012
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_3,0.4510219395160675,14.70691646993822,0.1984076201915741,10434,49.928119608970675,0.15051815295455326
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1_3,0.45234039425849915,13.436079332567319,0.20612649619579315,11760,49.970238095238095,0.15311537442277692
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_4,0.4436133801937103,17.63786950373712,0.2045704424381256,9252,49.967574578469524,0.15112080436439773
unetr_style,Mouse,POLYIC_20190531_polyic_m__E3_P1_4,0.44666460156440735,15.160056372055566,0.2082590013742447,9542,49.963320058687906,0.15607742468601585
current_best,Mouse,POLYIC_20190531_polyic_m__E3_P1_5,0.4476109743118286,15.27491894364397,0.20796622335910797,9497,49.91576287248605,0.15521431349389742
