domain,condition,subjects,dice,iou,precision,recall,hd95_mm,assd_mm,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm,fp_voxels,fn_voxels,fp_fn_ratio,total_residual_error
CAMRI,baseline_filtered,6,0.9888344176413911,0.9779172456549725,0.9889227454633153,0.9887613427188362,0.13333333532015482,0.01781695212227931,0.894310994258483,0.9390374271781865,0.9992841762771719,1.0,11622,12308,1.1407934196852862,23930
CAMRI,unetr_style_filtered,6,0.98838968414911,0.9770501156153518,0.9875471298881924,0.9892527014463504,0.14714045427166678,0.03809385617227752,0.8924689723246075,0.9378904433714235,0.9921410967487727,0.9933099420061925,12901,12208,1.3679705126453292,25109
Mouse,baseline_filtered,80,0.9795373497258911,0.9599207936327362,0.9782745726101927,0.980839538566092,0.11505781976442339,0.026014212537706204,0.7986276158155088,0.9709883677088044,0.9992037904031532,0.9999015882048887,213959,178789,1.227544562114666,392748
Mouse,unetr_style_filtered,80,0.9808139380252054,0.9623810435568018,0.9792349633546762,0.9824202311138579,0.11367803893902054,0.02443566406515835,0.814947433756713,0.9741246132444156,0.9983943022260057,0.999791337590106,202832,166042,1.2607810197563623,368874
