domain,subjects,old_native_roundtrip_mean_dice,corrected_native_roundtrip_mean_dice,old_mean_net_volume_change_percent,corrected_mean_net_volume_change_percent,old_lost_voxels,corrected_lost_voxels,old_added_voxels,corrected_added_voxels,old_hd95_mm,corrected_hd95_mm,old_assd_mm,corrected_assd_mm,old_inward_shift_mm,corrected_inward_shift_mm,old_outward_shift_mm,corrected_outward_shift_mm
CAMRI,40,0.9845598378389397,0.9926412439803947,-2.5775680559219722,0.12092864894006243,226355,46377,12874,46006,0.13750000204890966,0.06250000093132257,0.028632511007655424,0.007969814562622557,0.18391479334232447,0.0,0.0,0.0
Mouse,101,0.9758020991318328,0.9817122931288919,-4.042144551308553,-0.0840436976998784,519466,222292,42639,212552,0.09998885078940804,0.09941213017348016,0.02692607291765977,0.01924694587771237,0.18403471132574772,0.0,0.0,0.0
