epoch,loss,epoch_seconds,balanced_validation_dice,camri_safety_eligible,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio,lesion_validation_dice,lesion_validation_precision,lesion_validation_recall,lesion_validation_false_positives,lesion_validation_false_negatives,lesion_validation_volume_ratio
1,0.8522254365055184,61.570332288742065,0.704893581754163,False,0.9475130104418975,0.9630525992825545,0.9344672912105402,11181.0,23724.5,0.9700827729364421,0.9612359437886534,0.9448199426766581,0.9783699015865016,4949.6,1876.3,1.0357869726789986,0.20593179103193796,0.1236602701196665,0.9343913870478775,39131.12903225807,548.4516129032259,35.58629345462277
2,0.49655362649967794,48.929893493652344,0.7609414584216729,False,0.9279041700964376,0.9949315790930765,0.8745765791613872,1414.1666666666667,42896.666666666664,0.8790014276547149,0.9694023397043748,0.9800484535981321,0.9591749646162098,1690.6,3545.5,0.9788839389456742,0.3855178654642065,0.3085131847538493,0.7265091309891013,9427.387096774193,1951.225806451613,9.992888254451808
3,0.44565036296844485,48.196107149124146,0.7838251476620649,False,0.9601945525727613,0.9819597965676604,0.94231435946831,5164.5,21198.5,0.9600645150258318,0.9727428058367737,0.9614426848697404,0.9843430676793746,3412.2,1358.1,1.023879599910193,0.41853808457665936,0.3642307508067374,0.6685546026987781,6887.806451612903,2046.225806451613,7.262672140061797
4,0.4312791840810525,48.69029450416565,0.7886854494171986,False,0.9448510181908331,0.9904993790243908,0.9066604964449526,2939.6666666666665,32030.666666666668,0.9152913145639742,0.9774398697180635,0.9812174742531912,0.9737948325835755,1610.4,2271.7,0.9924859320187309,0.4437654603426997,0.35864796689107054,0.8021772039591915,8163.8387096774195,1506.3548387096773,9.14776380484777
5,0.35789967391051747,47.838319540023804,0.8547436518592497,False,0.9695205302692189,0.98162718752287,0.9591749684888105,5469.166666666667,15033.833333333334,0.9772348374811282,0.9736644297331823,0.9578763522051152,0.9900483767543223,3759.5,863.8,1.0336763776570508,0.6210459955753479,0.73223140390041,0.6320904775904396,1059.483870967742,2420.516129032258,1.3096119333655236
6,0.31750800609588625,47.87471413612366,0.8615315235309783,False,0.9579579788453234,0.9860880447435326,0.9355211141110497,3916.5,24069.666666666668,0.948959820419811,0.9798795086296535,0.9823514529541406,0.9775223048814328,1515.0,1951.1,0.9951033134711702,0.6467570831179581,0.5784555888122583,0.8973509856209269,4006.451612903226,681.1935483870968,3.7271085867681633
7,0.32821809218118064,47.1727249622345,0.8812667596512886,False,0.9538623966335945,0.9920173836247644,0.923269191964291,2298.3333333333335,28105.166666666668,0.9307554429181318,0.9777505638809092,0.991142095884572,0.964931654375347,745.5,3039.7,0.9735640952229639,0.7121873184393621,0.756949642113708,0.7657660651879599,1263.8064516129032,1479.967741935484,1.3849103121339832
8,0.3498411191921485,46.86491584777832,0.8770434290924823,False,0.9516451066454171,0.9892500491191326,0.9211975960453597,3169.1666666666665,28570.0,0.9310709272501957,0.9794191646244478,0.9852097315297643,0.9737833455994211,1261.1,2274.0,0.9883960159285214,0.7000660160075821,0.7522289925331698,0.7575245624105096,1357.967741935484,1648.6129032258063,1.540052941925622
9,0.31956219335919933,47.35871505737305,0.8898217210685132,False,0.9585919019596688,0.9857267838807852,0.9368572487632388,4100.166666666667,23600.0,0.9504455249496035,0.9801145080729654,0.9844655536466715,0.9759343906861174,1329.2,2088.3,0.9913472096468446,0.7307587531729053,0.734141883287859,0.8263171602714504,1415.1290322580646,1147.258064516129,1.6273672281113571
10,0.300860637269522,48.29774522781372,0.8534562403650595,False,0.9668027904062916,0.9853469369694392,0.9509504026065693,4266.166666666667,18152.5,0.9650975701550316,0.9814045821038899,0.9860020517866748,0.9768893113086928,1195.8,2004.0,0.9907611631279615,0.6121613485849973,0.5199561522709679,0.9410342312840869,4930.4838709677415,465.35483870967744,5.737170087378139
