ablation,epoch,loss,dice_loss,bce_loss,boundary_loss,boundary_fraction,residual_loss,balanced_validation_dice,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
learned_no_coordinates,1,0.1253974884748459,0.031206266156264713,0.0041140057520741334,0.3601046111434698,0.010558067097528172,0.005106268466209128,0.9766827430875741,0.9827948269096972,0.9823976248675446,0.9832584132976244,3600.0,3607.5,1.0009051646979514,0.9705706592654509,0.9708473013865685,0.9704542211518798,1627.4,1630.8,0.9997849808490255
learned_no_coordinates,2,0.1274110907688737,0.03152465181691306,0.0043278887834666034,0.3655623554119042,0.010561527567915618,0.016796116284759983,0.9767235641386424,0.9828379987950941,0.9827294274644011,0.9830122703534648,3531.8333333333335,3656.1666666666665,1.0003157189720078,0.9706091294821906,0.9724085645234253,0.968978425556408,1536.0,1712.3,0.9966581629058744
learned_no_coordinates,3,0.12855389727545635,0.0319051912852696,0.004388243338325992,0.3684144352695772,0.01056011750396075,0.015685414579430863,0.9767200554694103,0.9828356973820548,0.9825806976426373,0.9831564297470313,3562.5,3627.0,1.0006140622965407,0.9706044135567659,0.9724928830068909,0.968886879215297,1531.1,1717.3,0.9964788824428478
learned_no_coordinates,4,0.12647830694913864,0.03121552829231535,0.004236869522303875,0.36352527966456755,0.010559558909985103,0.014459006105815726,0.9767255196641554,0.9828185839562664,0.9822664699999443,0.9834365579052299,3630.5,3569.0,1.0012208462688716,0.9706324553720445,0.9718108309293912,0.9696213858043908,1571.4,1676.7,0.9979398931917057
learned_no_coordinates,5,0.12607560466442788,0.03129621275833675,0.004300296086252534,0.3614471953894411,0.010555989449910288,0.011729668119057481,0.9767662172199094,0.9828302078742973,0.9826434836835265,0.9830827212041062,3547.8333333333335,3645.6666666666665,1.0004737762742397,0.9707022265655214,0.9732347961753401,0.9683450478067958,1487.8,1747.2,0.9951556594743881
