epoch,loss,epoch_seconds,balanced_validation_dice,camri_safety_eligible,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,1.2866139060684614,62.088526248931885,0.7182359401074243,False,0.796918367665275,0.7977854064942962,0.7979049838593069,65547.33333333333,67295.0,0.9999938466671527,0.6395535125495737,0.48630789035535826,0.9414703706863736,87982.1,5069.3,1.9579784613626436
2,0.6045407519808838,62.113012075424194,0.8309123546655783,False,0.8548507037050305,0.893082335247299,0.8226556038907925,31254.666666666668,60505.666666666664,0.9179026118902618,0.8069740056261262,0.7071981701541509,0.9416429499792349,34218.4,5049.3,1.3363092462780761
3,0.4110466992216451,61.83987331390381,0.9001089123737496,False,0.8891629667277793,0.931451854717721,0.8551703714801125,19385.166666666668,50839.666666666664,0.9144639437554983,0.91105485801972,0.8821433752825104,0.9423308274144979,10980.2,4989.7,1.0689843541042583
4,0.2808300961873361,62.04195165634155,0.9270661184238476,False,0.9135297225118993,0.9391722190566095,0.8932234275185057,17714.166666666668,38411.0,0.9489079668991142,0.9406025143357957,0.9152361786090133,0.9676473835946346,7802.6,2799.7,1.0577950849303617
5,0.22863596065768174,62.102983713150024,0.942342451624629,False,0.9279338684116832,0.9490151850315396,0.9111189653282707,15060.333333333334,32162.0,0.958718591942997,0.956751034837575,0.9429480220183117,0.9711160808564661,5110.0,2500.0,1.03022521498265
6,0.19940057290451868,62.246896266937256,0.9519872733434138,False,0.9420947978418633,0.9643828683386717,0.9231882132202412,10722.5,27591.0,0.956418873692459,0.9618797488449644,0.9515428628123968,0.9725837611954564,4306.1,2373.1,1.0224488242573984
7,0.1821372336042779,61.932271003723145,0.9583464409096751,False,0.9497784271151315,0.9733960973454575,0.9292034789638617,8116.666666666667,25195.833333333332,0.9539617385551361,0.9669144547042187,0.9662308454601669,0.9677048203589464,2938.4,2796.1,1.0017546029712572
8,0.16899806673505477,61.94611620903015,0.9610793296219529,False,0.9563088539777876,0.9689160485511841,0.9453423685547757,9595.333333333334,19679.5,0.9752451842607893,0.965849805266118,0.9523466112336763,0.9799653069780737,4272.3,1734.8,1.0295020435371125
9,0.1572125842794776,61.58045792579651,0.9652329365403411,False,0.9600842040116085,0.9749850199326655,0.9468486685327976,7719.5,19050.0,0.9707942211699975,0.9703816690690739,0.9676040911563746,0.9732775794563071,2831.8,2313.3,1.0060744364507908
10,0.15022247470915318,61.52054691314697,0.9667616996184294,False,0.9623293296134063,0.9756018770302074,0.9505872826850558,7447.333333333333,17829.666666666668,0.9740900728302186,0.9711940696234524,0.966304213128028,0.9762685741095305,2962.1,2054.2,1.0105837541253113
