dataset,n,axis_angle_mean_deg,axis_angle_sd_deg,axis_angle_min_deg,axis_angle_max_deg,axis_angle_range_deg,centroid_offset_mean_mm,centroid_offset_sd_mm,centroid_offset_max_mm,nifti_orientation_codes
CAMRI (rat brain),40,34.12428498542492,40.34870649707118,0.6670191173962522,88.5422452032793,87.87522608588304,2.0158612186302607,0.6758902924614606,3.381838322880955,"RIA,RPI"
Mouse (POLYIC brain),60,7.108917034486949,10.018141750521934,0.11705486345873192,77.3599545021876,77.24289963872887,3.0552347429828974,0.6190567155400315,5.072280290763989,LPS
Mouse (stroke lesion),60,29.81874824203422,18.948407867985473,2.536822803007057,75.5833431411939,73.04652033818684,4.182660872306559,0.46075823711943215,5.2383015061210045,RAS
