domain,subject,baseline_dice,higher_res_dice,dice_change,baseline_hd95_mm,higher_res_hd95_mm,baseline_assd_mm,higher_res_assd_mm
CAMRI,064,0.9863617652376977,0.9873471741637831,0.0009854089260854515,0.20000000298023224,0.20000000298023224,0.040823777424289144,0.03804505576516614
CAMRI,007,0.9857284276522026,0.9879251379174042,0.002196710265201629,0.10000000149011612,0.10000000149011612,0.01399554183696278,0.011416409673941138
CAMRI,043,0.9862926147044228,0.9893833432090006,0.003090728504577811,0.10000000149011612,0.10000000149011612,0.01335284416449203,0.009655559352078538
CAMRI,078,0.9888957055214724,0.9902644832412222,0.0013687777197497475,0.20000000298023224,0.20000000298023224,0.0317194292957234,0.027812486582450602
CAMRI,009,0.9866138474269777,0.9887403479144617,0.0021265004874840843,0.10000000149011612,0.10000000149011612,0.011527215466988743,0.010032371806573922
CAMRI,099,0.9876404747862463,0.9893460194024758,0.0017055446162295151,0.10000000149011612,0.10000000149011612,0.011494277062566088,0.009939829553465519
Mouse,POLYIC_20190510_mouse34__E2_P1,0.9677160617605775,0.9749279593539092,0.00721189759333174,0.20000000298023224,0.20000000298023224,0.044399016121759366,0.03470856034128311
Mouse,POLYIC_20190510_mouse35__E3_P1,0.9690903656098792,0.9777070505673854,0.008616684957506227,0.20000000298023224,0.14142135834465194,0.03888971931442759,0.028407452406270656
Mouse,POLYIC_20190510_mouse37__E2_P1,0.975099882296381,0.9810286870127125,0.005928804716331504,0.14142135834465194,0.10000000149011612,0.03308552709943128,0.02421230213200227
Mouse,POLYIC_20190510_mouse38__E2_P1,0.9732050706997688,0.9800141178712329,0.006809047171464133,0.14142135834465194,0.10000000149011612,0.03329832629538313,0.02443820450517168
Mouse,POLYIC_20190510_mouse39__E4_P1,0.9731503123539161,0.9793219226819717,0.006171610328055577,0.14142135834465194,0.10000000149011612,0.034075830869378085,0.025302355629467813
Mouse,POLYIC_20190510_mouse42__E2_P1,0.9707410779236053,0.9796471947842393,0.008906116860634028,0.20000000298023224,0.10000000149011612,0.03908703356018834,0.026509234064009596
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.9608483799002724,0.9722420109912477,0.011393631090975354,0.20000000298023224,0.20000000298023224,0.044605067685084925,0.030568430214321523
Mouse,POLYIC_20190510_mouse43__E9_P1,0.9501225800997548,0.9531438429585958,0.0030212628588409673,0.3999999463558197,0.4000000059604645,0.08459614336337086,0.08674332226720438
Mouse,POLYIC_20190517_mouse33__E2_P1,0.9704582714569226,0.9780392619016323,0.007580990444709612,0.20000000298023224,0.14142135834465194,0.039140104783649085,0.02924265948764805
Mouse,POLYIC_20190517_mouse35__E2_P1,0.9725985152873559,0.9795426874138692,0.006944172126513326,0.14142135834465194,0.10000000149011612,0.03415990443128603,0.025215071915302038
Mouse,POLYIC_20190517_mouse36__E2_P1,0.9725103824566891,0.9804691384715166,0.00795875601482754,0.14142135834465194,0.10000000149011612,0.03310198862349171,0.023005462249557407
Mouse,POLYIC_20190517_mouse37__E3_P1,0.9684207766414363,0.9742176125116561,0.00579683587021973,0.2109375,0.1988737822087165,0.046604273500466815,0.036972372037906855
Mouse,POLYIC_20190517_mouse38__E3_P1,0.9740111239120961,0.9814981325217872,0.007487008609691093,0.14142135834465194,0.10000000149011612,0.033098896592172695,0.022161587572418328
Mouse,POLYIC_20190517_mouse39__E12_P1,0.9710232256077557,0.9763518471575521,0.0053286215497964085,0.2109375,0.15722352966795397,0.0442289672274171,0.03535949383157628
Mouse,POLYIC_20190517_mouse42__E4_P1,0.9745930891158259,0.9818470499333486,0.00725396081752272,0.14142135834465194,0.10000000149011612,0.03090364145063069,0.021296577181448263
Mouse,POLYIC_20190517_mouse43__E3_P1,0.9747874560380049,0.9819619947911643,0.007174538753159432,0.14142135834465194,0.10000000149011612,0.031432061929732316,0.021463668631316487
Mouse,POLYIC_20190524_polyic___E3_P1,0.9707138333484122,0.9793026124004933,0.008588779052081108,0.20000000298023224,0.10000000149011612,0.038493336577210144,0.026302667017409374
Mouse,POLYIC_20190524_polyic___E3_P1_1,0.975118599775397,0.9812994598000111,0.006180860024614043,0.10000000149011612,0.10000000149011612,0.030498062931765615,0.02262324116743698
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.9743202484019563,0.9794620484732909,0.005141800071334579,0.14142135834465194,0.10000000149011612,0.03137049325144597,0.02491561696344552
Mouse,POLYIC_20190524_polyic___E3_P1_12,0.9711449900115655,0.9787804201913627,0.007635430179797176,0.20000000298023224,0.10000000149011612,0.0392788469748457,0.026689191923131118
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.9740066789340966,0.980219820296224,0.006213141362127361,0.14142135834465194,0.10000000149011612,0.03240582430189199,0.023642062176327017
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.967868817367339,0.9764336529400994,0.008564835572760443,0.20000000298023224,0.14142135834465194,0.0435951066792457,0.028711301388196785
Mouse,POLYIC_20190524_polyic___E3_P1_4,0.9747398259472013,0.9807887554225287,0.006048929475327425,0.10000000149011612,0.10000000149011612,0.03115024377151538,0.023057890543396943
Mouse,POLYIC_20190524_polyic___E3_P1_5,0.9739084995585346,0.9788653358153455,0.00495683625681087,0.14142135834465194,0.10000000149011612,0.033660269377300094,0.02836738455578804
Mouse,POLYIC_20190524_polyic___E3_P1_6,0.970195586164781,0.976444071616801,0.006248485452020058,0.20000000298023224,0.14142135834465194,0.04074054879052384,0.03079691263220829
Mouse,POLYIC_20190524_polyic___E3_P1_7,0.9712605742267414,0.9784941715140048,0.00723359728726336,0.20000000298023224,0.10000000149011612,0.03579515100372385,0.02490220538732102
Mouse,POLYIC_20190524_polyic___E3_P1_9,0.9735041998902997,0.9815923768233753,0.00808817693307562,0.14142135834465194,0.10000000149011612,0.03148903342638875,0.020744587988785052
