domain,condition,subjects,dice,iou,precision,recall,hd95_mm,assd_mm,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm,fp_voxels,fn_voxels,fp_fn_ratio,total_residual_error
CAMRI,baseline_filtered,6,0.9869221392215032,0.9741840546540877,0.9872894261966687,0.9865636841114532,0.13333333532015482,0.0204855142085037,0.8777017887164472,0.930664529799699,0.9990559423307096,0.9999719956415035,13044,14603,0.9949432324516566,27647
CAMRI,higher_res_filtered,6,0.9888344176413911,0.9779172456549725,0.9889227454633153,0.9887613427188362,0.13333333532015482,0.01781695212227931,0.894310994258483,0.9390374271781865,0.9992841762771719,1.0,11622,12308,1.1407934196852862,23930
Mouse,baseline_filtered,80,0.9724378123831446,0.9463778191998576,0.9732596062483323,0.9716636741474354,0.16076965109660357,0.03576736925534033,0.7307522388138212,0.9499127069115065,0.9992894532111372,0.9999283663362661,259661,265552,0.9962978700209966,525213
Mouse,higher_res_filtered,80,0.9795373497258911,0.9599207936327362,0.9782745726101927,0.980839538566092,0.11505781976442339,0.026014212537706204,0.7986276158155088,0.9709883677088044,0.9992037904031532,0.9999015882048887,213959,178789,1.227544562114666,392748
