slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.2683568524276489,0.15497237569060773,3059,0,3059,561,first 20%,True,True
1,0.3781912591951536,0.23319103521878334,2874,0,2874,874,first 20%,True,True
2,0.7032778445169041,0.542350449973531,1729,0,1729,2049,first 20%,True,True
3,0.777120315581854,0.635483870967742,1564,18,1582,2776,first 20%,True,True
4,0.782608695652174,0.6428571428571429,1657,28,1685,3061,first 20%,True,True
5,0.7937904901601271,0.6580867450344549,1649,38,1687,3285,first 20%,True,True
6,0.8220644710811126,0.6978857933214779,1372,157,1529,3689,first 20%,True,True
7,0.8239787061682675,0.7006494784491242,1362,159,1521,3719,middle 60%,True,True
8,0.8259977194982896,0.7035742035742035,1383,143,1526,3765,middle 60%,True,True
9,0.8406666666666667,0.7251293847038528,1392,42,1434,3825,middle 60%,True,True
10,0.8857081360309944,0.7948618891249759,1003,59,1062,4174,middle 60%,True,True
11,0.8976411120471778,0.8142911730989683,890,82,972,4344,middle 60%,True,True
12,0.9085655314757481,0.8324508320726173,792,94,886,4496,middle 60%,True,True
13,0.9254973609419407,0.8613262799924428,605,129,734,4688,middle 60%,True,True
14,0.9270905664120623,0.8640902366863905,575,160,735,4833,middle 60%,True,True
15,0.9273905056559992,0.8646115017126375,566,185,751,4981,middle 60%,True,True
16,0.9250851305334846,0.8606124604012672,608,184,792,5074,middle 60%,True,True
17,0.9285100696764341,0.8665597719579547,587,162,749,5026,middle 60%,True,True
18,0.9346157582823278,0.87725697610797,536,137,673,4947,middle 60%,True,True
19,0.9174546887312844,0.8474977252047315,704,134,838,4791,middle 60%,True,True
20,0.8682079797092966,0.7671091191173935,1240,111,1351,4561,middle 60%,True,True
21,0.8319235744850234,0.7122167319815982,1566,123,1689,4303,middle 60%,True,True
22,0.81241621119934,0.6840916985064258,1726,93,1819,4032,middle 60%,True,True
23,0.8055100032797639,0.6743547501372872,1706,73,1779,3757,middle 60%,True,True
24,0.8209134615384616,0.6962283384301733,1426,64,1490,3479,middle 60%,True,True
25,0.8620832756951169,0.7575978604424994,937,60,997,3176,middle 60%,True,True
26,0.8893366918555835,0.8007257332930148,570,89,659,2737,middle 60%,True,True
27,0.8664305063554907,0.7643382352941176,566,75,641,2154,middle 60%,True,True
28,0.8395810363836824,0.7235154394299287,541,41,582,1564,last 20%,True,True
29,0.806697108066971,0.6760204081632653,487,21,508,1081,last 20%,True,True
30,0.8589420654911839,0.7527593818984547,293,43,336,1066,last 20%,True,True
31,0.9056785370548605,0.8276165347405453,143,53,196,994,last 20%,True,True
32,0.867773325701202,0.7664307381193124,108,123,231,881,last 20%,True,True
33,0.8183118741058655,0.6924939467312349,191,63,254,635,last 20%,True,True
34,0.7717948717948718,0.6283924843423799,169,9,178,310,last 20%,True,True
