slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.3198046994202014,0.1903378132945877,2229,0,2229,524,first 20%,True,True
1,0.523990860624524,0.35500515995872034,1874,1,1875,1033,first 20%,True,True
2,0.7254672897196262,0.5692025664527957,1410,0,1410,1863,first 20%,True,True
3,0.7885841836734694,0.6509607791524086,1225,101,1326,2574,first 20%,True,True
4,0.8016902229345767,0.6690175097276264,1160,201,1361,2952,first 20%,True,True
5,0.7907989655641758,0.6539846915803692,1227,310,1537,3215,first 20%,True,True
6,0.7807900852052673,0.6404066073697586,1287,411,1698,3435,first 20%,True,True
7,0.7938968869201427,0.6582330136706794,1301,374,1675,3600,first 20%,True,True
8,0.8237159936562157,0.7002696535988384,1283,162,1445,3538,middle 60%,True,True
9,0.8205935796486977,0.6957682826622843,1365,116,1481,3503,middle 60%,True,True
10,0.828774062816616,0.7076124567474048,1413,108,1521,3789,middle 60%,True,True
11,0.8426277989015631,0.7280525643365577,1327,163,1490,4152,middle 60%,True,True
12,0.8546023060386946,0.7461184098276744,1362,126,1488,4499,middle 60%,True,True
13,0.8760209231898688,0.7793925538863488,1259,92,1351,4865,middle 60%,True,True
14,0.8934360882274781,0.8073967339097022,1143,60,1203,5103,middle 60%,True,True
15,0.8996199032480995,0.817553776102999,1101,61,1162,5268,middle 60%,True,True
16,0.9077916487300904,0.8311524515213621,1032,39,1071,5311,middle 60%,True,True
17,0.9099887377631465,0.8348434271181052,997,42,1039,5294,middle 60%,True,True
18,0.8905386740331491,0.802676626206038,1233,35,1268,5193,middle 60%,True,True
19,0.8862683438155137,0.7957647058823529,1234,68,1302,5141,middle 60%,True,True
20,0.8638874042401568,0.7603888976007527,1457,71,1528,4920,middle 60%,True,True
21,0.858758109360519,0.7524768556114991,1458,66,1524,4699,middle 60%,True,True
22,0.8490785645004849,0.7377380751727625,1473,83,1556,4460,middle 60%,True,True
23,0.8481237587540503,0.7362976406533576,1380,73,1453,4130,middle 60%,True,True
24,0.8471315699072484,0.7348033373063171,1298,37,1335,3736,middle 60%,True,True
25,0.859491193737769,0.7536032944406315,1012,65,1077,3359,middle 60%,True,True
26,0.8570119156736938,0.7497995188452286,858,78,936,2883,middle 60%,True,True
27,0.8345697329376854,0.7161043921069382,800,92,892,2342,middle 60%,True,True
28,0.797771070350592,0.6635766705291618,769,102,871,1820,middle 60%,True,True
29,0.7949715653995809,0.6597118728266269,592,93,685,1421,middle 60%,True,True
30,0.8274428274428275,0.7056737588652482,330,85,415,1080,last 20%,True,True
31,0.9135802469135802,0.8409090909090909,88,80,168,968,last 20%,True,True
32,0.8837953091684435,0.7917860553963706,42,176,218,1005,last 20%,True,True
33,0.8210526315789474,0.6964285714285714,28,261,289,924,last 20%,True,True
34,0.7921875,0.6558861578266494,5,261,266,768,last 20%,True,True
35,0.731995277449823,0.5772811918063314,26,201,227,511,last 20%,True,True
36,0.6119096509240246,0.4408284023668639,24,165,189,314,last 20%,True,True
37,0.0,0.0,0,133,133,133,last 20%,True,False
