epoch,loss,balanced_validation_dice,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,0.46015695695366177,0.9548503738016758,0.9759736187656629,0.9796373503725649,0.9724702292059143,4393.0,6255.333333333333,0.9926696720405871,0.9337271288376888,0.8950659291977688,0.9766598725866793,6683.1,1336.5,1.0926476719607292
2,0.22965522070548364,0.9649160194312247,0.9793526164981105,0.9834822403035183,0.9753533748355254,3563.5,5457.5,0.9917564654247822,0.950479422364339,0.9312288462629208,0.9711625963270839,4196.9,1655.9,1.0439526158793517
3,0.1998371330222913,0.9678727910083875,0.9803572496382754,0.9811430167020937,0.9796632820819892,4023.5,4570.333333333333,0.9985202132177694,0.9553883323784997,0.9399997331140444,0.9718455153601324,3633.0,1617.0,1.034798483617774
4,0.18159797947321618,0.9702498200191231,0.9809841845924518,0.9833990042716315,0.9786931285227708,3494.3333333333335,4813.666666666667,0.9952322743223853,0.9595154554457943,0.9507614806306858,0.9689528468066211,2942.4,1783.5,1.0199406209631028
5,0.16783010587096214,0.9716267822053981,0.9811830956338721,0.9863735496986564,0.976155600674705,2859.0,5310.0,0.9896570981065548,0.962070468776924,0.9635726772113511,0.9609752122180399,2126.5,2242.2,0.9978094906578114
6,0.16434380438710963,0.9725895123071351,0.9818287824332094,0.9833706077553712,0.9803862781377285,3522.5,4381.166666666667,0.996999865960935,0.9633502421810608,0.9582723256037342,0.9688560141655651,2466.2,1788.7,1.0115691723503377
7,0.15449743970696414,0.9729667431735562,0.9820489410866796,0.9820821298995744,0.9821081289243039,3791.6666666666665,4033.5,1.0000639815931391,0.9638845452604328,0.958219704303757,0.9699758427815602,2471.3,1724.0,1.012777197537404
8,0.15467127598822117,0.9725228981450167,0.9817129078413616,0.9795941356215375,0.9839304785857208,4294.0,3660.0,1.0044628820114767,0.9633328884486719,0.9529151454969625,0.9743866751235695,2813.5,1469.1,1.0231129162390822
9,0.1491960333660245,0.9731289684892873,0.9818500022002034,0.9807407027668176,0.9830595814018835,4050.8333333333335,3863.0,1.0023996167259863,0.9644079347783713,0.9579772995309893,0.9713328420872467,2490.9,1644.0,1.0144608018125962
10,0.14469593896397523,0.9739277205053639,0.9820185112685059,0.9815817792622158,0.9825565662341283,3864.6666666666665,3975.8333333333335,1.0010254468255304,0.9658369297422219,0.9609737570456588,0.971071495280634,2301.5,1660.3,1.0109233345882838
11,0.13988430904490606,0.9747735019001076,0.9823584327670937,0.981427828396249,0.9833770725643309,3876.0,3774.5,1.0020206994458263,0.9671885710331216,0.9628884730360326,0.9718156847318202,2186.4,1618.6,1.0096651929722622
12,0.13804254747395003,0.9747352953680914,0.9820930040979415,0.9794581711013862,0.9848256952820734,4323.666666666667,3453.0,1.0055243012651744,0.9673775866382414,0.9615174840179137,0.9735723481542505,2270.0,1516.6,1.0128708829556397
13,0.1362618368917278,0.9750778785102727,0.9823415850989985,0.9826135392052645,0.9821714881736048,3608.5,4062.3333333333335,0.9995821381196787,0.967814171921547,0.969862538791492,0.9660569451235679,1752.1,1948.6,0.9963768237469331
14,0.1329400683087962,0.9757106425367841,0.9824405998600372,0.9827293756636305,0.9822473302048698,3589.6666666666665,4027.3333333333335,0.999539081692081,0.9689806852135309,0.9662480705310184,0.9719389779877551,1977.2,1612.2,1.0061712227742619
15,0.1324147181585431,0.9757366498980651,0.9823163602683755,0.9804712585970371,0.9842545389342258,4095.5,3578.3333333333335,1.0038997060111226,0.9691569395277545,0.9690470734811305,0.9694601015541545,1802.0,1754.3,1.000652681445628
16,0.12812284619680472,0.9758394639748862,0.9825297210401481,0.9798979095510343,0.9852571357675671,4184.5,3369.5,1.0055064706728494,0.9691492069096241,0.9636798215307772,0.9748748438518318,2136.7,1442.2,1.011858027021923
17,0.12647416083408253,0.9767080819993874,0.982847826577836,0.9819375240224852,0.9838356393668602,3766.3333333333335,3625.8333333333335,1.0019702507294106,0.9705683374209387,0.967620662503197,0.9736670731582391,1891.1,1513.0,1.0064073665102513
18,0.12801824789494276,0.9764060815460074,0.9822945326286968,0.9833033847123477,0.9813956651151026,3442.8333333333335,4242.666666666667,0.9980848896597908,0.9705176304633178,0.9730273741212928,0.968157933903751,1558.7,1830.6,0.9951413031323277
19,0.12593917082995176,0.9764541195713625,0.982368507033971,0.9813263862238317,0.9835163721583532,3822.3333333333335,3792.8333333333335,1.0022642502664765,0.970539732108754,0.9701938558880597,0.9710370925007581,1733.1,1664.2,1.0010293949412834
20,0.1216114851246987,0.9766251657044427,0.982917998680444,0.9813333912188621,0.9845874214746996,3861.6666666666665,3508.5,1.0033472647905806,0.9703323327284414,0.9642582928427246,0.9766126933688535,2100.9,1343.8,1.0129888618865868
