domain,n_clusters,median,p75,p95,frac_le3,frac_ge8
CAMRI,7187,1.0,3.0,11.0,0.8082649227772367,0.07875330457770975
Mouse,89312,2.0,4.0,15.0,0.7422854711572913,0.11464304908634898
