epoch,loss,balanced_validation_dice,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,0.10419460791828376,0.9592325015929971,0.9779216126435076,0.985682241201668,0.9704502858023631,3001.3333333333335,6378.166666666667,0.9845174419796373,0.9405433905424866,0.9075916835178941,0.9767216860791972,5582.4,1285.0,1.0775848497499518
2,0.06044384534470737,0.9652582993332761,0.9795223915872818,0.9823334949529076,0.9768598604040643,3720.3333333333335,5009.0,0.9944341213476476,0.9509942070792705,0.9321766596985837,0.9712026511616111,3967.5,1588.6,1.0428478157933374
3,0.052057449938729405,0.9679419440792086,0.980489175604711,0.9792563781978006,0.9818161794377116,4369.166666666667,3923.3333333333335,1.002652792701091,0.9553947125537062,0.9391730689942668,0.9727158727648568,3536.7,1504.9,1.036549156672789
4,0.0458402596081474,0.9700765808575418,0.9805995169880162,0.9808419070803192,0.9804624861139498,3983.8333333333335,4244.166666666667,0.999627742498355,0.9595536447270675,0.9523325145373853,0.9673973015796481,2722.8,1797.9,1.0165255026711342
5,0.04138082831299731,0.9719572148717239,0.9812063807868646,0.9849065038811461,0.977624850814386,3143.3333333333335,4747.5,0.9926202764516471,0.9627080489565831,0.963525840267865,0.9622824802605606,2045.2,2081.1,0.9991807371879464
6,0.04009010925489877,0.972724868989096,0.9817160197915086,0.9817389812425009,0.9817707925033042,3815.1666666666665,3877.3333333333335,1.0000656454136314,0.9637337181866835,0.9594458647177099,0.9684386162370808,2296.3,1740.7,1.0098611244479796
7,0.03782454369190548,0.9732754377941883,0.9820878559370331,0.9807305470205657,0.9835193088450623,4022.6666666666665,3520.0,1.0028826189988311,0.9644630196513436,0.9592120745837276,0.9701189045812635,2313.3,1648.4,1.0118455676661968
8,0.03772094583005777,0.9725992999616035,0.9815316660591886,0.9780165737881497,0.985143780097586,4540.0,3241.3333333333335,1.0073137922297892,0.9636669338640186,0.9547516740774006,0.9731689157716905,2588.6,1478.5,1.0198524358059697
9,0.036528119983683736,0.9735033271168003,0.9820476229837505,0.9811975973006241,0.9829729499806836,3882.8333333333335,3672.6666666666665,1.0018317924065105,0.9649590312498502,0.9615873007903366,0.9687484663683616,2173.1,1722.7,1.007930904500349
10,0.03531293471210769,0.973841824713662,0.9817137410676461,0.9814326189971864,0.9820793655631,3835.1666666666665,3883.0,1.0006761550088312,0.9659699083596778,0.9639756292202352,0.9683179422871347,2029.2,1746.8,1.004907076939548
11,0.033544894573943954,0.9745989869041758,0.9821110600610344,0.9820799588069256,0.9822163568959051,3665.6666666666665,3850.0,1.0001522951107353,0.9670869137473173,0.9659591388391364,0.968539213246553,1915.2,1735.4,1.0030669427941974
12,0.03306300898215601,0.9748300467521891,0.9819593530826612,0.9803077943577493,0.9836884560081147,4062.3333333333335,3533.1666666666665,1.0034748350990947,0.9677007404217169,0.9642063340839455,0.971500964092052,2019.8,1571.8,1.007914741707382
