domain,condition,subjects,embedding_dim,level0_width,dice,iou,precision,recall,hd95_mm,assd_mm,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm
CAMRI,baseline_filtered,6,32,32,0.9888344176413911,0.9779172456549725,0.9889227454633153,0.9887613427188362,0.13333333532015482,0.01781695212227931,0.894310994258483,0.9390374271781865,0.9992841762771719,1.0
CAMRI,sweep_filtered,6,32,32,0.9865979332320486,0.97356188204219,0.9897661326521593,0.9834797640338083,0.14714045427166678,0.03557276650910982,0.8769587287079316,0.9258144302048384,0.9940865965406894,0.9956463221145432
Mouse,baseline_filtered,80,32,32,0.9795373497258911,0.9599207936327362,0.9782745726101927,0.980839538566092,0.11505781976442339,0.026014212537706204,0.7986276158155088,0.9709883677088044,0.9992037904031532,0.9999015882048887
Mouse,sweep_filtered,80,32,32,0.977420679279476,0.9559367943293008,0.9826716551515131,0.9722809235633211,0.12950325604083876,0.02981069234462832,0.7864839596690227,0.961358420207206,0.9976629472201376,0.9995849671570971
