epoch,loss,epoch_seconds,validation_dice,validation_precision,validation_recall,validation_false_positives,validation_false_negatives,validation_volume_ratio
1,0.8657243457610297,110.32370519638062,0.6975738758382213,0.7723705245291845,0.7109469895838741,1000.9677419354839,1785.741935483871,1.2670532515381492
2,0.5283074460489333,89.13600206375122,0.7887661555355171,0.7905456684624996,0.8489305843152998,934.9354838709677,989.9354838709677,1.2454558308517607
3,0.4350017011833832,82.36502814292908,0.8252895964989198,0.8608455486761327,0.8183618294688656,394.06451612903226,1251.3225806451612,0.9874263120919494
4,0.3986684387307531,86.1002426147461,0.8306426224114977,0.8077825665103378,0.8833831637422974,747.8387096774194,725.258064516129,1.1528605754390424
5,0.37037041395768994,86.83504486083984,0.8310820984364987,0.9139471507097999,0.7843185860561043,279.6774193548387,1369.3548387096773,0.8688487221629572
6,0.33661088972214626,85.04499220848083,0.8532506095624178,0.8773563620884226,0.8468037641617694,385.6774193548387,904.1935483870968,0.9967552945292987
7,0.32672944761846096,99.28654789924622,0.8421220318254764,0.7952379612101718,0.9196725060007245,900.3548387096774,487.38709677419354,1.2263645662602431
8,0.3049017967397322,99.73583459854126,0.860828445710783,0.8897693618963036,0.8474620277905008,442.9032258064516,846.483870967742,0.9656210380998161
9,0.308494822326797,101.49586892127991,0.8346079519605565,0.8381479706512684,0.8660109468294999,510.83870967741933,838.6774193548387,1.191264981255811
10,0.29839354466162454,100.7448661327362,0.865861157447297,0.8669944663049912,0.8754311555960081,571.516129032258,638.0322580645161,1.0254236552765894
11,0.29639964731151214,102.27495503425598,0.8579545333120978,0.9223912303811648,0.8144765917854488,288.4193548387097,1007.3870967741935,0.88662405926769
12,0.2770370536655054,94.46846008300781,0.8674915054023454,0.9064141943433078,0.8535427527430068,491.93548387096774,731.1612903225806,0.9541479200574977
13,0.26476272599846795,96.97336959838867,0.8715028402682059,0.9166928159030131,0.8468863226459947,377.35483870967744,786.3225806451613,0.9295151575256689
14,0.26957965475160445,98.42597603797913,0.8449497805988385,0.8002082142938571,0.9212883604369124,767.3548387096774,549.8709677419355,1.2163524760599658
15,0.26445676650300687,95.57640194892883,0.8678140700110616,0.8701489014608457,0.8793692073976807,584.0967741935484,647.8064516129032,1.0228352905911444
16,0.25392075554538734,95.6399257183075,0.8714628665256118,0.9022956277539682,0.8562821892413743,420.9032258064516,786.6774193548387,0.9575290919667921
17,0.26955232271431806,99.89502382278442,0.849439014344242,0.8193911268148135,0.9027989756963913,795.6451612903226,556.0967741935484,1.1458227550206845
18,0.256966139503124,92.03456902503967,0.8648381540739566,0.8447692139882774,0.9037184066508427,805.1290322580645,472.80645161290323,1.0902826521771574
19,0.24302221323476245,92.65099048614502,0.8688656234458477,0.9005210200912168,0.8533664026196782,433.0,744.0,0.9547291111336172
