domain,scan_id,inference_seconds,dice,precision,recall,false_positives,false_negatives,hd95_mm,assd_mm,surface_dice,boundary_precision,boundary_recall,connected_components,compactness,contour_roughness,volume_ratio,iou,probability_inside_brain,probability_boundary_band,probability_immediately_outside,probability_distant_background,prediction_path,probability_path,image_path,ground_truth_path
lesion,20190319CH_Exp4_M7,0.010429161600768566,0.7964948992937484,0.8591986455981941,0.742320819112628,499,1057,0.5,0.09251259666835772,0.8152657004830918,0.8526711185308848,0.7830154731917957,8,0.052372714096076994,12.925551951325573,0.8639687957094101,0.6618126494240383,0.4068676829338074,0.4068676829338074,0.09340399503707886,2.281074739585165e-05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190319CH_Exp4_M7_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190319CH_Exp4_M7_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190319CH_Exp4_M7/t2.nii,/workspace/mouse_stroke_lesion_raw/20190319CH_Exp4_M7/masklesion_manual.nii
lesion,20190320CH_Exp4_M12,0.009676662273705006,0.9364857790961438,0.9369762569832403,0.9359958144401814,361,367,0.10000000149011612,0.02495669076314238,0.9692470837751855,0.977427445360086,0.961283571677712,2,0.08655748011720245,10.932410306852946,0.9989536100453436,0.880557834290402,0.4028562009334564,0.4028562009334564,0.09914904832839966,0.00036057972465641797,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190320CH_Exp4_M12_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190320CH_Exp4_M12_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190320CH_Exp4_M12/t2.nii,/workspace/mouse_stroke_lesion_raw/20190320CH_Exp4_M12/masklesion_manual.nii
lesion,20190320CH_Exp4_M15,0.009917953982949257,0.9232456140350878,0.9510542168674698,0.8970170454545454,65,145,0.10000000149011612,0.024180403329948676,0.9683436970039571,0.9684579439252337,0.968236582694414,1,0.16126976442620994,8.884503046877203,0.9431818181818182,0.8574338085539716,0.6764249801635742,0.6764249801635742,0.05476130172610283,8.301062166538031e-07,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190320CH_Exp4_M15_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190320CH_Exp4_M15_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190320CH_Exp4_M15/t2.nii,/workspace/mouse_stroke_lesion_raw/20190320CH_Exp4_M15/masklesion_manual.nii
lesion,20190320CH_Exp4_M18,0.00985486339777708,0.9332209106239461,0.961348041344567,0.9066928811337757,445,1139,0.20000000298023224,0.038029317598675685,0.9323651452282158,0.937888198757764,0.9271776302554818,6,0.07469361573091485,11.483024642041865,0.9431473744572786,0.8748024027821688,0.449684202671051,0.44813472032546997,0.13866505026817322,0.00045412869076244533,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190320CH_Exp4_M18_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190320CH_Exp4_M18_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190320CH_Exp4_M18/t2.nii,/workspace/mouse_stroke_lesion_raw/20190320CH_Exp4_M18/masklesion_manual.nii
lesion,20190321CH_Exp4_M22,0.010393630713224411,0.7619967793880837,0.9403815580286169,0.6404981050351922,75,664,0.5,0.1268378282265022,0.7217226691907241,0.8247767857142857,0.6458504519309778,1,0.12618721306574956,9.641523739191769,0.6811044937736871,0.6155046826222684,0.49305984377861023,0.49305984377861023,0.03577476367354393,3.963093149650376e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190321CH_Exp4_M22_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190321CH_Exp4_M22_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190321CH_Exp4_M22/t2.nii,/workspace/mouse_stroke_lesion_raw/20190321CH_Exp4_M22/masklesion_manual.nii
lesion,20190321CH_Exp4_M26,0.010191247798502445,0.9133114215283484,0.9435483870967742,0.884952229299363,133,289,0.14142135834465194,0.029221977673030308,0.9560911191812479,0.9778393351800554,0.9362776025236593,2,0.10573702525626832,10.226847073502608,0.9378980891719745,0.8404536862003781,0.5374473333358765,0.5374473333358765,0.07227958738803864,3.849270797218196e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190321CH_Exp4_M26_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190321CH_Exp4_M26_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190321CH_Exp4_M26/t2.nii,/workspace/mouse_stroke_lesion_raw/20190321CH_Exp4_M26/masklesion_manual.nii
lesion,20190528CH_Exp5_7761,0.010077866725623608,0.9579726770257587,0.9716522107044637,0.9446729740847388,268,538,0.10000000149011612,0.02303043664564952,0.9756235028885445,0.9838570193139233,0.9677508269018743,1,0.12279944159115283,9.729383612006567,0.9722336487042369,0.9193354683746999,0.4938000738620758,0.4938000738620758,0.15109069645404816,0.00015050404181238264,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190528CH_Exp5_7761_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190528CH_Exp5_7761_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190528CH_Exp5_7761/t2.nii,/workspace/mouse_stroke_lesion_raw/20190528CH_Exp5_7761/masklesion_manual.nii
lesion,20190528CH_Exp5_7762,0.01150988694280386,0.9157970206325181,0.9670255720053835,0.8697231048570132,196,861,0.30000000447034836,0.05192658216297415,0.8997442455242967,0.9029505865623889,0.8967889908256881,1,0.0910387949615556,10.750003961872878,0.8993796338326524,0.8446730345334312,0.5697933435440063,0.5697933435440063,0.10236910730600357,1.556117354084563e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190528CH_Exp5_7762_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190528CH_Exp5_7762_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190528CH_Exp5_7762/t2.nii,/workspace/mouse_stroke_lesion_raw/20190528CH_Exp5_7762/masklesion_manual.nii
lesion,20190528CH_Exp5_7766,0.010675755329430103,0.9506386301522672,0.9380297193175564,0.9635911352329263,563,322,0.10000000149011612,0.027654056998858086,0.9669096209912537,0.9648609077598829,0.9689404934687954,1,0.11886550361993685,9.83555443266176,1.0272501130710086,0.9059211225683003,0.5781739950180054,0.5781263113021851,0.11724945902824402,0.00030505735776387155,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190528CH_Exp5_7766_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190528CH_Exp5_7766_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190528CH_Exp5_7766/t2.nii,/workspace/mouse_stroke_lesion_raw/20190528CH_Exp5_7766/masklesion_manual.nii
lesion,20190529CH_Exp5_7755,0.010462162084877491,0.9215296040941076,0.9466958744067178,0.8976666897458977,730,1478,0.360555132919089,0.06253694351744224,0.8959223646723646,0.9125069073494197,0.8804066861967947,5,0.0672268316457291,11.893323810251083,0.9482102056359482,0.8544783497001253,0.40374109148979187,0.40040531754493713,0.12710896134376526,0.0011905417777597904,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20190529CH_Exp5_7755_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20190529CH_Exp5_7755_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20190529CH_Exp5_7755/t2.nii,/workspace/mouse_stroke_lesion_raw/20190529CH_Exp5_7755/masklesion_manual.nii
