epoch,loss,epoch_seconds,balanced_validation_dice,camri_safety_eligible,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,1.517623639532498,264.2399580478668,0.6951062895658431,False,0.8530474141307631,0.7722671307026707,0.9533996295585255,57873.0,9178.5,1.2358511048376737,0.5371651650009232,0.37293329982080753,0.9648915220948429,94570.7,2024.2,2.6058177419517485
2,1.1864304468035698,250.30677318572998,0.9184344504869927,False,0.9535878150782754,0.9472128353346324,0.9602779365008307,11596.666666666666,8323.666666666666,1.014081386530018,0.88328108589571,0.8113160619834051,0.9698866259222925,13083.6,1734.5,1.1969392133614254
3,0.9203085973858833,242.63843297958374,0.9378392114444822,False,0.959739525792683,0.9558214267512034,0.964002618462431,9354.5,7938.333333333333,1.0086263031980234,0.9159388970962816,0.8643964832271648,0.9743377231483032,8856.0,1477.4,1.1278574846971832
4,0.6786705755761692,244.04410696029663,0.9573544840918853,False,0.9653447572874074,0.9765771593747511,0.9548698391866092,4778.166666666667,10037.666666666666,0.9777762852968873,0.949364210896363,0.9312417359989116,0.968438746505209,4149.3,1817.2,1.0403807714293674
5,0.4714434104306357,254.5601201057434,0.9631033313393422,False,0.9679719983518408,0.9805659689517819,0.9562354870662256,3966.6666666666665,9802.666666666666,0.9751873087520507,0.9582346643268436,0.9534347516824606,0.9632158608186254,2728.3,2119.0,1.0105094688807803
6,0.32564575171896387,268.2181351184845,0.9656277184521368,False,0.9680216194904454,0.9796384173269255,0.9572854102207798,4163.5,9617.666666666666,0.977166053488726,0.9632338174138282,0.962310374511661,0.9642985804984058,2195.2,2056.2,1.0023292102539707
7,0.24589582293161324,258.8117561340332,0.9680219415158429,False,0.9707810143844386,0.9753813475778146,0.9667691325338948,5058.333333333333,7673.5,0.9911752787413354,0.9652628686472472,0.9598396531651803,0.9708640936617874,2357.9,1677.4,1.0117291207341401
8,0.20427305277969157,257.6048331260681,0.9683786867332855,False,0.9711160602624714,0.9738199348402169,0.968891329648997,5400.0,7165.5,0.9949206543152914,0.9656413132040997,0.9546901418625486,0.976979350040137,2691.8,1325.8,1.0236294308226577
9,0.18233847910804407,255.90904021263123,0.9696322977802947,True,0.9729530337195554,0.9762287737134191,0.9701356898826683,4895.333333333333,6912.166666666667,0.9937540149361799,0.9663115618410341,0.9551874200684857,0.9778566505850463,2667.2,1275.3,1.0240908615457585
10,0.16714667648609197,245.56038093566895,0.9709551961956343,False,0.972320306377461,0.9818160150947373,0.9636342238272291,3684.6666666666665,8423.5,0.9814538994938036,0.9695900860138076,0.9695416531980561,0.969727461739358,1768.5,1743.7,1.0003777807022352
11,0.154023649570133,233.52090692520142,0.9724485048044247,True,0.9743724240035988,0.9801096298253538,0.9691307841737649,4068.3333333333335,7144.333333333333,0.9887801278231959,0.9705245856052507,0.9712558079951641,0.9698853324247565,1667.0,1735.2,0.9987831227768575
12,0.14738398125129087,239.34020519256592,0.9731917179534562,True,0.9750705359586136,0.978618483030271,0.9719193437684929,4419.166666666667,6520.333333333333,0.993132668601519,0.9713128999482986,0.9664631888435625,0.9762835792906077,1964.3,1366.4,1.010315323679318
13,0.13902494058545148,240.0101888179779,0.9733530162232484,True,0.975215569790843,0.9797540477482102,0.971131813266438,4156.166666666667,6733.0,0.9911743063760619,0.9714904626556539,0.9733999847290745,0.9696518766408904,1536.7,1748.4,0.9962873750576995
14,0.13510112544255598,244.3588421344757,0.9746279974991572,True,0.9768825072534978,0.9804128433954009,0.9736640593438549,4042.0,6067.166666666667,0.9930995024349841,0.9723734877448166,0.968571348506801,0.9762670062480984,1835.5,1368.1,1.0080892312282157
15,0.13038436749151774,257.4263789653778,0.97416703140073,True,0.9770781701182661,0.97933233756694,0.9751360872712472,4258.5,5791.333333333333,0.9957051743555801,0.971255892683194,0.9653655484317343,0.9772775393299353,2030.9,1309.5,1.012492338272016
16,0.12747132019805058,236.21031308174133,0.9753635283718338,True,0.978123101500802,0.9792623235979864,0.9772069950908923,4286.0,5290.0,0.9978856677525005,0.9726039552428656,0.9659836795134853,0.9793611366159954,1995.2,1189.7,1.0139621173557831
17,0.12319103921098369,239.82086396217346,0.9760041524853929,True,0.9777673366413785,0.9812066424662144,0.9746065026511072,3853.3333333333335,5861.166666666667,0.993254268421079,0.9742409683294072,0.9738333639575611,0.9746682995519788,1512.6,1459.8,1.0008891050005995
18,0.12131206159080778,246.83773827552795,0.9756338112170346,True,0.9772612827224806,0.9798435635204631,0.9750029168286173,4123.666666666667,5881.166666666667,0.9950358991574602,0.9740063397115888,0.972266151033687,0.9757900134913866,1610.3,1395.0,1.0037102800402766
19,0.11834252625703812,254.44613194465637,0.976244951800695,True,0.9778039956221418,0.9804355200360889,0.9754762936644688,3994.1666666666665,5767.333333333333,0.9949152034463152,0.9746859079792483,0.9754059264066166,0.9739931600111855,1420.0,1498.5,0.9986002408287409
20,0.11444738414138556,254.46101808547974,0.9770936897108888,True,0.9790236971777807,0.9838346567549822,0.9744884858332662,3340.5,5870.333333333333,0.9904750040151701,0.9751636822439969,0.9765372814655539,0.9738149992103283,1352.1,1509.2,0.9972569659079923
