domain,error_type,error_voxels,<=1 voxel_count,<=1 voxel_percent,>1 to 2 voxels_count,>1 to 2 voxels_percent,>2 to 3 voxels_count,>2 to 3 voxels_percent,>3 to 5 voxels_count,>3 to 5 voxels_percent,>5 voxels_count,>5 voxels_percent,distance_voxels_mean,distance_voxels_median,distance_voxels_p95,distance_voxels_maximum,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_maximum,le1_voxel_distance_mm_mean,le1_voxel_distance_mm_median,le1_voxel_distance_mm_p95,le1_voxel_distance_mm_maximum,gt1_to_2_voxels_distance_mm_mean,gt1_to_2_voxels_distance_mm_median,gt1_to_2_voxels_distance_mm_p95,gt1_to_2_voxels_distance_mm_maximum,gt2_to_3_voxels_distance_mm_mean,gt2_to_3_voxels_distance_mm_median,gt2_to_3_voxels_distance_mm_p95,gt2_to_3_voxels_distance_mm_maximum,gt3_to_5_voxels_distance_mm_mean,gt3_to_5_voxels_distance_mm_median,gt3_to_5_voxels_distance_mm_p95,gt3_to_5_voxels_distance_mm_maximum,gt5_voxels_distance_mm_mean,gt5_voxels_distance_mm_median,gt5_voxels_distance_mm_p95,gt5_voxels_distance_mm_maximum
CAMRI,FP,4648,4200,90.36144578,335,7.207401033,76,1.635111876,37,0.7960413081,0,0,1.085302114,1,1.414213538,4.582575798,0.1613942385,0.1000000015,0.3464101553,1,0.1481031477,0.1000000015,0.200000003,1,0.22048226,0.200000003,0.400000006,0.5,0.3869449198,0.400000006,0.6000000238,0.6000000238,0.671833396,0.6633249521,0.8485281467,0.9165151715,,,,
CAMRI,FN,33693,33624,99.79520969,67,0.1988543614,2,0.005935951088,0,0,0,0,0.01570985094,0,0,2.23606801,0.002346892841,0,0,0.400000006,0.001878992422,0,0,0.2236067951,0.2282918245,0.200000003,0.3000000119,0.400000006,0.2995352447,0.2995352447,0.314558512,0.3162277639,,,,,,,,
CAMRI,All,38341,37824,98.65157403,402,1.048485955,78,0.2034375734,37,0.09650243864,0,0,0.1453742981,0,1,4.582575798,0.02162787318,0,0.200000003,1,0.01811581105,0,0.1000000015,1,0.2217838615,0.200000003,0.400000006,0.5,0.384703666,0.400000006,0.6000000238,0.6000000238,0.671833396,0.6633249521,0.8485281467,0.9165151715,,,,
Mouse,FP,156895,131651,83.91025845,18193,11.59565314,5407,3.446253864,1558,0.9930208101,86,0.05481372893,1.149484754,1,2,7.07106781,0.1544717252,0.1000000015,0.400000006,1.044030547,0.1353442073,0.1000000015,0.3605551422,0.4000005722,0.2169112265,0.200000003,0.4123106599,0.8000011444,0.3219733834,0.3000000119,0.5385164618,0.9899504185,0.4401166737,0.400000006,0.7280109614,1.044030547,0.5205025077,0.5070306659,0.7176094055,0.8062257767
Mouse,FN,481837,480557,99.73435,1101,0.2285005095,46,0.009546796946,41,0.008509101626,92,0.01909359389,0.03316665068,0,0,8.062257767,0.003708612407,0,0,1.624807835,0.0029488164,0,0,0.4000000954,0.1904012114,0.200000003,0.3000000119,0.5385164618,0.2467037439,0.2236067951,0.3605551422,0.4472136796,0.8707913756,0.8774964809,1.004987597,1.063014627,1.23032701,1.202079773,1.518849534,1.624807835
Mouse,All,638732,612208,95.84739766,19294,3.020672207,5453,0.8537226881,1599,0.2503397356,178,0.02786771291,0.3073735237,0,1,8.062257767,0.0407413207,0,0.200000003,1.624807835,0.03141951188,0,0.1414213628,0.4000005722,0.2153984308,0.200000003,0.4123106599,0.8000011444,0.3213384151,0.3000000119,0.5385164618,0.9899504185,0.4511596262,0.400000006,0.8068436325,1.063014627,0.8873781562,0.9380832314,1.460988313,1.624807835
Combined,FP,161543,135851,84.0958754,18528,11.46939205,5483,3.394142736,1595,0.9873532125,86,0.05323659954,1.147637963,1,2,7.07106781,0.1546709239,0.1000000015,0.400000006,1.044030547,0.1357386857,0.1000000015,0.3605551422,1,0.2169757932,0.200000003,0.4123106599,0.8000011444,0.32287395,0.3000000119,0.5385164618,0.9899504185,0.4454918802,0.400000006,0.7483314455,1.044030547,0.5205025077,0.5070306659,0.7176094055,0.8062257767
Combined,FN,515530,514181,99.73832755,1168,0.2265629546,48,0.009310806355,41,0.007952980428,92,0.01784571218,0.03202573583,0,0,8.062257767,0.00361961592,0,0,1.624807835,0.002878857311,0,0,0.4000000954,0.1925747246,0.200000003,0.3000000119,0.5385164618,0.2489050627,0.2236067951,0.3605551422,0.4472136796,0.8707913756,0.8774964809,1.004987597,1.063014627,1.23032701,1.202079773,1.518849534,1.624807835
Combined,All,677073,650032,96.00619136,19696,2.908992088,5531,0.816898621,1636,0.241628303,178,0.02628963199,0.2981999218,0,1,8.062257767,0.03965898231,0,0.200000003,1.624807835,0.03064539097,0,0.1414213628,1,0.2155287713,0.200000003,0.4123106003,0.8000011444,0.3222320378,0.3000000119,0.5385164618,0.9899504185,0.4561504126,0.4099887908,0.8124037981,1.063014627,0.8873781562,0.9380832314,1.460988313,1.624807835
