transform,stage,relative_l2,cosine,subject
axis1_+20deg,encoder_level2,0.38834360241889954,0.9216631650924683,POLYIC_20190510_mouse34__E2_P1
axis1_+20deg,encoder_level3,0.28341200947761536,0.9590028524398804,POLYIC_20190510_mouse34__E2_P1
axis1_+20deg,encoder_level4,0.33227407932281494,0.9436432123184204,POLYIC_20190510_mouse34__E2_P1
axis1_+20deg,output_logits,0.2701773941516876,0.9629854559898376,POLYIC_20190510_mouse34__E2_P1
axis1_+30deg,input,0.14685216546058655,0.9895594716072083,POLYIC_20190510_mouse34__E2_P1
axis1_+30deg,encoder_level0,0.4917842745780945,0.8708133697509766,POLYIC_20190510_mouse34__E2_P1
axis1_+30deg,encoder_level1,0.38556039333343506,0.9227847456932068,POLYIC_20190510_mouse34__E2_P1
axis1_+30deg,encoder_level2,0.4607679843902588,0.8883835077285767,POLYIC_20190510_mouse34__E2_P1
axis1_+30deg,encoder_level3,0.31650033593177795,0.9485945701599121,POLYIC_20190510_mouse34__E2_P1
axis1_+30deg,encoder_level4,0.4093121588230133,0.9123966097831726,POLYIC_20190510_mouse34__E2_P1
axis1_+30deg,output_logits,0.31757405400276184,0.9485333561897278,POLYIC_20190510_mouse34__E2_P1
axis2_+5deg,input,0.13175930082798004,0.9915577173233032,POLYIC_20190510_mouse34__E2_P1
axis2_+5deg,encoder_level0,0.3337208926677704,0.9436158537864685,POLYIC_20190510_mouse34__E2_P1
axis2_+5deg,encoder_level1,0.20935587584972382,0.9778822660446167,POLYIC_20190510_mouse34__E2_P1
axis2_+5deg,encoder_level2,0.26036790013313293,0.9655709266662598,POLYIC_20190510_mouse34__E2_P1
axis2_+5deg,encoder_level3,0.2376851886510849,0.9713448286056519,POLYIC_20190510_mouse34__E2_P1
axis2_+5deg,encoder_level4,0.17370349168777466,0.9851981401443481,POLYIC_20190510_mouse34__E2_P1
axis2_+5deg,output_logits,0.14047200977802277,0.9901008605957031,POLYIC_20190510_mouse34__E2_P1
axis2_+10deg,input,0.13216911256313324,0.9915115833282471,POLYIC_20190510_mouse34__E2_P1
