epoch,loss,epoch_seconds,balanced_validation_dice,camri_safety_eligible,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,1.3120822959712573,55.26726317405701,0.7223340708401247,False,0.7943895910942834,0.8123936712325822,0.7793154056776636,58720.166666666664,73175.16666666667,0.9587011245635874,0.6502785505859661,0.500671998416121,0.933786018454731,82139.4,5734.7,1.8828085728278978
2,0.6397082645978246,54.733248233795166,0.8339940647172221,False,0.8454426810094414,0.9070748376214696,0.795559532215241,26041.0,69199.16666666667,0.8734826915139534,0.822545448425003,0.742060614054098,0.9242978316972345,28137.8,6555.6,1.2490182676986794
3,0.42210145933287485,53.971781969070435,0.913080559997596,False,0.8935956639484927,0.9400925001915668,0.8585865964143454,16504.666666666668,50578.833333333336,0.9102181565417865,0.9325654560466992,0.9113226356803754,0.954967418045138,8070.1,3899.8,1.048208568924068
4,0.3137910743909223,53.710049629211426,0.9435535852645905,False,0.9307410138668671,0.9544422420664526,0.9107574647645255,13885.666666666666,31779.166666666668,0.9531186804095167,0.956366156662314,0.9502613473502386,0.9626382225125607,4370.3,3236.3,1.013220684317146
5,0.2677332019167287,53.425647497177124,0.955225414916463,False,0.9473289784731502,0.9615609314281651,0.9353115665835728,11542.833333333334,23185.833333333332,0.9724897319358221,0.9631218513597757,0.9626495064686866,0.9636706112926084,3248.4,3148.0,1.0012411515473827
6,0.25147309127662865,54.500378131866455,0.9576907251761122,False,0.9489050272597903,0.9727075780148423,0.9287936923721892,7941.333333333333,25603.333333333332,0.9548293108929204,0.9664764230924341,0.9624215950128511,0.9706349140582666,3291.1,2542.6,1.0086816713775153
7,0.23834828713110515,53.942912340164185,0.9576060643528568,False,0.9498882177356838,0.9752924130571214,0.9287562253610165,6962.833333333333,25653.666666666668,0.9525760797667906,0.9653239109700298,0.9766748317990313,0.9542739136072754,1980.1,3959.9,0.9771457766958663
8,0.22379717603325844,53.243765354156494,0.9610416314412236,False,0.9540760705741621,0.977709887916509,0.9339093325217211,6488.333333333333,23697.833333333332,0.9553052541306822,0.9680071923082849,0.9742848863973064,0.9618451555360833,2202.0,3305.0,0.987313265004558
9,0.20803803178880895,53.698585987091064,0.9648574310538756,False,0.9587173255343885,0.973457697758917,0.9462096603023401,7837.333333333333,19490.5,0.972130973215271,0.9709975365733625,0.968392588589879,0.9736560703991959,2755.7,2281.3,1.0055251917076842
10,0.19029056999300206,53.17422556877136,0.9683692791965905,False,0.9636711998734033,0.9807606426525767,0.9484893456673141,5779.0,18361.5,0.9671521481665893,0.9730673585197778,0.971156104378766,0.9750281229322093,2512.2,2162.5,1.004077079720197
